ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,744 valid responses,363,300,90,20,14,9,60,48,6,102,49,28,7,301,205,105,33,22,17,8,234,87,74,52,36,12,11,42,15,12,,,,,,,,,,,,,,,,,,,,,
ID,Please select the statement belOw that best describes yOu.,Please select the statement belOw that best describes yOur current teaching Of biOinfOrmatics cOn...,Sex,"Highest earned degree. If ""other,"" please explain.",Which of the following best describes your level of bioinformatics training?,What is the Carnegie classification of your institution?,Is your institution classified as minority-serving?,Region,Division,"In your opinion, what do you think are the most important challenges currently facing those educating undergrad life scientists in bioinformatics",Faculty Issues - General,Faculty - No Expertise/Training,Facutly - Time,Faculty - Differences of opinion,Faculty - Content Development,Faculty - Not enough Faculty,Facilities - General,Facilities - Computer Labs limited or not available,Facilities - Computers are too old /inadequate,Resources - General,Resources - Acces to Approp. Software,Resources - Funding (general),Resources - Funding (software License fees),Student Issues - General,Student Issues - Lack Approp Background Knowledge/Skills,Student Issues - No interest in Bioinf,Student issues - Intimidated by topic,Student Isses - Multitude of varying student backgrounds,Student Issues - Lack Basic Computing Knowledge,Student Issues - Career prospects,Curriculum Issues - General,Curric Issues - Lack of integration of maerial,Curric Isues - To much conent in Life Sci curric,Curric Issues - How quickly the material/tech changes,Curriculum - Access to developed Bioinf Lesson Plans/Bioinf Curric,Curric Issues - Making Comp Sci courses consistently relevant,Curric Issues - To much curric influence from Professional schools,Inst/Dept Support - General,Inst/Dept Support - Inter Departmental Cooperation,Inst/Dept Support - No IT support,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,4,9,3,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,#NULL!,2,4,2,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3,2,4,3,2,1,SO,7,Lack of training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,1,4,2,4,2,WE,9,resistance to replacing outdated course content with modern relevant material.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,2,3,8,4,1,WE,9,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,4,1,4,8,4,1,SO,7,Getting them to take courses in programming and statistics.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2,1,4,2,3,1,WE,9,Finding ways to make students interested and engaged in the material presented.,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,4,2,4,9,4,3,MW,3,"Biology students often fear computer programming and command line usage, which hinders learning.",,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,2,2,4,2,4,3,MW,3,"Time and staffing. We don't have enough faculty to teach all of the courses we need. We teach three excellent bioinformatics courses on the graduate level, which are heavily enrolled, but do not currently have the ability to extend those to the undergradute level due to a lack of faculty resources.",1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,2,2,4,3,1,3,NE,2,Dedication to understand,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,#NULL!,#NULL!,1,4,2,1,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,1,1,4,3,4,2,SO,7,Many college freshmen are unprepared for a rigorous undergraduate program in science.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,3,2,4,2,3,1,SO,5,I sense students are intimidated by the computer and the amount of information they can find.,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,3,2,2,1,1,3,SO,5,"I can't speak for the 4-year universities, but it would be very difficult to integrate a bioinformatics course here given the lack of facilities or faculty training and the limited biological knowledge of our incoming students.",1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,#NULL!,#NULL!,1,4,1,1,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,3,1,4,8,2,2,MW,3,Lack of expertise in up-to-date methods.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,3,3,4,2,1,1,WE,9,training and resources,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,1,2,4,2,4,1,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,3,1,4,2,2,2,SO,5,Getting formal training in bioinformatics,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,#NULL!,#NULL!,2,4,2,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,3,1,4,1,4,1,SO,5,Time to develop new content.,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,3,3,2,2,1,1,WE,9,That bioinformatics is just one aspect of a large and complicated discipline called biology and departments and students can do it all.,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,2,2,4,8,2,2,NE,2,Student training in computational approaches tends to be poor to nonexistent.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,2,2,4,3,2,3,NE,2,How quickly the technologies/approaches change and the new software packages/programs that are created.,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,3,2,4,3,1,1,WE,9,"Developing appropriate expertise.Having access to appropriate technology, including up-to-date equipment and software.",1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,3,1,2,3,4,1,SO,5,Ensuring instructors in the life sciences are well trained and confident in their use of bioinformatics and capable of teaching the skills necessary for students to become knowledgeable and confident in their use of bioinformatics. Incorporating bioinformtics into classes outside of computer science and math/stats,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,1,2,4,8,3,3,NE,2,"- Lack of proper training of professors and instructors.- Lack of understanding how to integrate the material into a course, and how to make it useful for both instructor and students.- Lack of computer literacy in students (both at the undergraduate nd masters level). For example, my course has introduced students to basic computer skills ranging from Excel to the use of the command line.- Missing infrastructure and communication between life sciences and computing sciences to share resources and cpabilities.",1,1,,,,,1,,,1,,,,1,,,,,1,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
36,1,3,1,4,3,3,1,NE,2,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,1,4,2,2,2,NE,1,Lack of clarity about what constitutes bioinformatics.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1,2,4,8,4,1,NE,2,Students coming from different backgrounds.,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,3,1,4,9,5,3,SO,5,"lack of prior prep, poor study skills, lack of motivation, poor math skills",,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,3,2,4,2,2,1,SO,5,Bioinformatics should be included as integrated in all the courses,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,3,1,4,3,3,3,NE,2,Lack of training and educational resources to implement into their own classes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,#NULL!,#NULL!,1,2,8,1,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2,3,1,2,1,1,3,SO,5,"There is so much content to cover already....what to leave out?  Students are arriving very under-prepared.  It takes a long time to get them back to ground zero.   I think we actually need mandatory computer training in high school.",,,,,,,,,,,,,,1,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,2,2,4,2,2,1,SO,5,"Inspiring especially pre-health students to understand the importanceIT support and computer access in laboratoriesGetting computer science required course to be consistently relevant",,,,,,,1,1,,,,,,1,,1,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
45,1,3,2,4,3,2,1,SO,5,Limitations of time.,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
