"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Associate's College","Faculty Issues: Expertise/training",14,138,10.1449275362319,176,0.0795454545454545,"Associates"
"2","2_Baccalaureate College","Faculty Issues: Expertise/training",50,138,36.231884057971,228,0.219298245614035,"Baccalaureate"
"3","3_Master's (Small, Medium, Large)","Faculty Issues: Expertise/training",42,138,30.4347826086957,204,0.205882352941176,"Masters"
"4","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Expertise/training",32,138,23.1884057971014,358,0.0893854748603352,"Doctoral"
"5","1_Associate's College","Faculty Issues: Time",5,68,7.35294117647059,176,0.0284090909090909,"Associates"
"6","2_Baccalaureate College","Faculty Issues: Time",28,68,41.1764705882353,228,0.12280701754386,"Baccalaureate"
"7","3_Master's (Small, Medium, Large)","Faculty Issues: Time",18,68,26.4705882352941,204,0.0882352941176471,"Masters"
"8","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Time",17,68,25,358,0.0474860335195531,"Doctoral"
"9","1_Associate's College","Faculty Issues: Too few faculty",1,40,2.5,176,0.00568181818181818,"Associates"
"10","2_Baccalaureate College","Faculty Issues: Too few faculty",23,40,57.5,228,0.100877192982456,"Baccalaureate"
"11","3_Master's (Small, Medium, Large)","Faculty Issues: Too few faculty",7,40,17.5,204,0.0343137254901961,"Masters"
"12","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Too few faculty",9,40,22.5,358,0.0251396648044693,"Doctoral"
"13","1_Associate's College","Faculty Issues: Lack of interest",4,28,14.2857142857143,176,0.0227272727272727,"Associates"
"14","2_Baccalaureate College","Faculty Issues: Lack of interest",9,28,32.1428571428571,228,0.0394736842105263,"Baccalaureate"
"15","3_Master's (Small, Medium, Large)","Faculty Issues: Lack of interest",8,28,28.5714285714286,204,0.0392156862745098,"Masters"
"16","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Lack of interest",7,28,25,358,0.0195530726256983,"Doctoral"
"17","1_Associate's College","Curriculum Issues: No space",11,48,22.9166666666667,176,0.0625,"Associates"
"18","2_Baccalaureate College","Curriculum Issues: No space",12,48,25,228,0.0526315789473684,"Baccalaureate"
"19","3_Master's (Small, Medium, Large)","Curriculum Issues: No space",13,48,27.0833333333333,204,0.0637254901960784,"Masters"
"20","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: No space",12,48,25,358,0.0335195530726257,"Doctoral"
"21","1_Associate's College","Curriculum Issues: Incompatible with current curriculum",6,25,24,176,0.0340909090909091,"Associates"
"22","2_Baccalaureate College","Curriculum Issues: Incompatible with current curriculum",5,25,20,228,0.0219298245614035,"Baccalaureate"
"23","3_Master's (Small, Medium, Large)","Curriculum Issues: Incompatible with current curriculum",8,25,32,204,0.0392156862745098,"Masters"
"24","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Incompatible with current curriculum",6,25,24,358,0.0167597765363128,"Doctoral"
"25","1_Associate's College","Curriculum Issues: Integration needed at every level",3,20,15,176,0.0170454545454545,"Associates"
"26","2_Baccalaureate College","Curriculum Issues: Integration needed at every level",6,20,30,228,0.0263157894736842,"Baccalaureate"
"27","3_Master's (Small, Medium, Large)","Curriculum Issues: Integration needed at every level",6,20,30,204,0.0294117647058824,"Masters"
"28","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Integration needed at every level",5,20,25,358,0.0139664804469274,"Doctoral"
"29","1_Associate's College","Curriculum Issues: Bioinformatics curriculum is under development",5,18,27.7777777777778,176,0.0284090909090909,"Associates"
"30","2_Baccalaureate College","Curriculum Issues: Bioinformatics curriculum is under development",9,18,50,228,0.0394736842105263,"Baccalaureate"
"31","3_Master's (Small, Medium, Large)","Curriculum Issues: Bioinformatics curriculum is under development",3,18,16.6666666666667,204,0.0147058823529412,"Masters"
"32","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,358,0.00279329608938547,"Doctoral"
"33","1_Associate's College","Curriculum Issues: Not required for life sci/pre-med majors",1,12,8.33333333333333,176,0.00568181818181818,"Associates"
"34","2_Baccalaureate College","Curriculum Issues: Not required for life sci/pre-med majors",3,12,25,228,0.0131578947368421,"Baccalaureate"
"35","3_Master's (Small, Medium, Large)","Curriculum Issues: Not required for life sci/pre-med majors",2,12,16.6666666666667,204,0.00980392156862745,"Masters"
"36","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Not required for life sci/pre-med majors",6,12,50,358,0.0167597765363128,"Doctoral"
"37","1_Associate's College","Curriculum Issues: Class size",0,4,0,176,0,"Associates"
"38","2_Baccalaureate College","Curriculum Issues: Class size",1,4,25,228,0.0043859649122807,"Baccalaureate"
"39","3_Master's (Small, Medium, Large)","Curriculum Issues: Class size",1,4,25,204,0.00490196078431373,"Masters"
"40","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Class size",2,4,50,358,0.00558659217877095,"Doctoral"
"41","1_Associate's College","Curriculum Issues: Too few seats",0,3,0,176,0,"Associates"
"42","2_Baccalaureate College","Curriculum Issues: Too few seats",0,3,0,228,0,"Baccalaureate"
"43","3_Master's (Small, Medium, Large)","Curriculum Issues: Too few seats",1,3,33.3333333333333,204,0.00490196078431373,"Masters"
"44","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Too few seats",2,3,66.6666666666667,358,0.00558659217877095,"Doctoral"
"45","1_Associate's College","Student Issues: Lack of interest",7,35,20,176,0.0397727272727273,"Associates"
"46","2_Baccalaureate College","Student Issues: Lack of interest",10,35,28.5714285714286,228,0.043859649122807,"Baccalaureate"
"47","3_Master's (Small, Medium, Large)","Student Issues: Lack of interest",9,35,25.7142857142857,204,0.0441176470588235,"Masters"
"48","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: Lack of interest",9,35,25.7142857142857,358,0.0251396648044693,"Doctoral"
"49","1_Associate's College","Student Issues: Background knowledge",5,28,17.8571428571429,176,0.0284090909090909,"Associates"
"50","2_Baccalaureate College","Student Issues: Background knowledge",9,28,32.1428571428571,228,0.0394736842105263,"Baccalaureate"
"51","3_Master's (Small, Medium, Large)","Student Issues: Background knowledge",7,28,25,204,0.0343137254901961,"Masters"
"52","4_Doctoral University (High, Higher, Highest Research Activity)","Student Issues: Background knowledge",7,28,25,358,0.0195530726256983,"Doctoral"
"53","1_Associate's College","Institutional: Institutional inertia",6,24,25,176,0.0340909090909091,"Associates"
"54","2_Baccalaureate College","Institutional: Institutional inertia",4,24,16.6666666666667,228,0.0175438596491228,"Baccalaureate"
"55","3_Master's (Small, Medium, Large)","Institutional: Institutional inertia",7,24,29.1666666666667,204,0.0343137254901961,"Masters"
"56","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional: Institutional inertia",7,24,29.1666666666667,358,0.0195530726256983,"Doctoral"
"57","1_Associate's College","Institutional: Inter-departmental cooperation",1,15,6.66666666666667,176,0.00568181818181818,"Associates"
"58","2_Baccalaureate College","Institutional: Inter-departmental cooperation",7,15,46.6666666666667,228,0.0307017543859649,"Baccalaureate"
"59","3_Master's (Small, Medium, Large)","Institutional: Inter-departmental cooperation",4,15,26.6666666666667,204,0.0196078431372549,"Masters"
"60","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional: Inter-departmental cooperation",3,15,20,358,0.00837988826815642,"Doctoral"
"61","1_Associate's College","Institutional: IT support",0,5,0,176,0,"Associates"
"62","2_Baccalaureate College","Institutional: IT support",2,5,40,228,0.0087719298245614,"Baccalaureate"
"63","3_Master's (Small, Medium, Large)","Institutional: IT support",3,5,60,204,0.0147058823529412,"Masters"
"64","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional: IT support",0,5,0,358,0,"Doctoral"
"65","1_Associate's College","Institutional: State regulation",2,2,100,176,0.0113636363636364,"Associates"
"66","2_Baccalaureate College","Institutional: State regulation",0,2,0,228,0,"Baccalaureate"
"67","3_Master's (Small, Medium, Large)","Institutional: State regulation",0,2,0,204,0,"Masters"
"68","4_Doctoral University (High, Higher, Highest Research Activity)","Institutional: State regulation",0,2,0,358,0,"Doctoral"
"69","1_Associate's College","Resource Issues: Funding",8,23,34.7826086956522,176,0.0454545454545455,"Associates"
"70","2_Baccalaureate College","Resource Issues: Funding",7,23,30.4347826086957,228,0.0307017543859649,"Baccalaureate"
"71","3_Master's (Small, Medium, Large)","Resource Issues: Funding",6,23,26.0869565217391,204,0.0294117647058824,"Masters"
"72","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Funding",2,23,8.69565217391304,358,0.00558659217877095,"Doctoral"
"73","1_Associate's College","Resource Issues: Access to software",2,10,20,176,0.0113636363636364,"Associates"
"74","2_Baccalaureate College","Resource Issues: Access to software",3,10,30,228,0.0131578947368421,"Baccalaureate"
"75","3_Master's (Small, Medium, Large)","Resource Issues: Access to software",2,10,20,204,0.00980392156862745,"Masters"
"76","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to software",3,10,30,358,0.00837988826815642,"Doctoral"
"77","1_Associate's College","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,176,0.00568181818181818,"Associates"
"78","2_Baccalaureate College","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,228,0.0043859649122807,"Baccalaureate"
"79","3_Master's (Small, Medium, Large)","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,204,0.00490196078431373,"Masters"
"80","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,358,0.00279329608938547,"Doctoral"
"81","1_Associate's College","Facilities: Access to computer(s)/labs",2,18,11.1111111111111,176,0.0113636363636364,"Associates"
"82","2_Baccalaureate College","Facilities: Access to computer(s)/labs",6,18,33.3333333333333,228,0.0263157894736842,"Baccalaureate"
"83","3_Master's (Small, Medium, Large)","Facilities: Access to computer(s)/labs",8,18,44.4444444444444,204,0.0392156862745098,"Masters"
"84","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities: Access to computer(s)/labs",2,18,11.1111111111111,358,0.00558659217877095,"Doctoral"
"85","1_Associate's College","Facilities: Servers",0,2,0,176,0,"Associates"
"86","2_Baccalaureate College","Facilities: Servers",1,2,50,228,0.0043859649122807,"Baccalaureate"
"87","3_Master's (Small, Medium, Large)","Facilities: Servers",1,2,50,204,0.00490196078431373,"Masters"
"88","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities: Servers",0,2,0,358,0,"Doctoral"
