"","Var2","chi_test"
"1",Faculty Issues: Expertise/Training,0.0989505247376312
"2",Faculty Issues: Time,0.00549725137431284
"3",Faculty Issues: Differences of opinion,0.575712143928036
"4",Faculty Issues: Content development,0.752123938030985
"5",Faculty Issues: Too few faculty,0.015992003998001
"6",Faculities Issues: Access to computer labs,0.169415292353823
"7",Faculities Issues: Inadaquate computers,0.410794602698651
"8",Resource Issues: Access to software,0.800599700149925
"9",Resource Issues: Funding,0.259370314842579
"10",Resource Issues: Software/license fees,0.849075462268866
"11",Student Issues: Lack of background skills/knowledge,0.000499750124937531
"12",Student Issues: Lack of interest,0.0079960019990005
"13",Student Issues: Intimidated by topic,0.00199900049975012
"14",Student Issues: Varying student backrounds,0.000499750124937531
"15",Student Issues: Lack of basic computing skills,0.0949525237381309
"16",Student Issues: Career prospects,0.0749625187406297
"17",Curriculum Issues: Lack of integration,0.00249875062468766
"18",Curriculum Issues: Too much content,0.0279860069965017
"19",Curriculum Issues: Quickly changing technologies,0.0224887556221889
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.847576211894053
"21",Curriculum Issues: Difficulty establishing relevance,0.0864567716141929
"22",Curriculum Issues: Influence from professional schools,0.301849075462269
"23",Institutional Issues: Lack of inter-departmental cooperation,0.0769615192403798
"24",Institutional Issues: Lack of IT support,0.326336831584208
