"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.122438780609695
"2",Faculty Issues: Time,0.608695652173913
"3",Faculty Issues: Curriculum design/integration,0.645177411294353
"4",Faculty Issues: Lack of interest,0.11344327836082
"5",Faculty Issues: New Faculty,1
"6",Curriculum Issues: No space,0.32783608195902
"7",Curriculum Issues: Incompatible with current curriculum,0.0174912543728136
"8",Curriculum Issues: Time needed to develop,0.457271364317841
"9",Curriculum Issues: No control,0.0124937531234383
"10",Curriculum Issues: Covered elsewhere,0.385307346326837
"11",Curriculum Issues: Class size,0.0864567716141929
"12",Curriculum Issues: Plan for future coverage,0.957021489255372
"13",Curriculum Issues: Too much content,0.909045477261369
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,1
"16",Resource Issues: Access to lesson plans,0.769115442278861
"17",Resource Issues: Access to intro content,0.0339830084957521
"18",Resource Issues: Unable to vet content,0.776111944027986
"19",Resource Issues: Funding,0.651174412793603
"20",Resource Issues: No appropriate textbook,0.491754122938531
"21",Resource Issues: No access to online exercises,0.428785607196402
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.0314842578710645
"24",Student Issues: Interest in topic,0.43728135932034
"25",Facilities: Access to equipment,0.934532733633183
"26",Institutional: Inertia,1
"27",State Restrictions,1
"28",Accreditation,1
