"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Associate's College","Faculty Issues: Expertise/training",34,160,21.25,176,0.193181818181818,"Associates"
"2","2_Baccalaureate College","Faculty Issues: Expertise/training",52,160,32.5,228,0.228070175438596,"Baccalaureate"
"3","3_Master's (Small, Medium, Large)","Faculty Issues: Expertise/training",41,160,25.625,204,0.200980392156863,"Masters"
"4","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Expertise/training",33,160,20.625,358,0.0921787709497207,"Doctoral"
"5","1_Associate's College","Faculty Issues: Time",32,127,25.1968503937008,176,0.181818181818182,"Associates"
"6","2_Baccalaureate College","Faculty Issues: Time",32,127,25.1968503937008,228,0.140350877192982,"Baccalaureate"
"7","3_Master's (Small, Medium, Large)","Faculty Issues: Time",26,127,20.4724409448819,204,0.127450980392157,"Masters"
"8","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Time",37,127,29.1338582677165,358,0.103351955307263,"Doctoral"
"9","1_Associate's College","Faculty Issues: Curriculum design/integration",6,28,21.4285714285714,176,0.0340909090909091,"Associates"
"10","2_Baccalaureate College","Faculty Issues: Curriculum design/integration",5,28,17.8571428571429,228,0.0219298245614035,"Baccalaureate"
"11","3_Master's (Small, Medium, Large)","Faculty Issues: Curriculum design/integration",7,28,25,204,0.0343137254901961,"Masters"
"12","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Curriculum design/integration",10,28,35.7142857142857,358,0.0279329608938547,"Doctoral"
"13","1_Associate's College","Faculty Issues: Lack of interest",2,8,25,176,0.0113636363636364,"Associates"
"14","2_Baccalaureate College","Faculty Issues: Lack of interest",5,8,62.5,228,0.0219298245614035,"Baccalaureate"
"15","3_Master's (Small, Medium, Large)","Faculty Issues: Lack of interest",1,8,12.5,204,0.00490196078431373,"Masters"
"16","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Lack of interest",0,8,0,358,0,"Doctoral"
"17","1_Associate's College","Faculty Issues: New Faculty",0,2,0,176,0,"Associates"
"18","2_Baccalaureate College","Faculty Issues: New Faculty",0,2,0,228,0,"Baccalaureate"
"19","3_Master's (Small, Medium, Large)","Faculty Issues: New Faculty",1,2,50,204,0.00490196078431373,"Masters"
"20","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: New Faculty",1,2,50,358,0.00279329608938547,"Doctoral"
"21","1_Associate's College","Curriculum Issues: No space",26,100,26,176,0.147727272727273,"Associates"
"22","2_Baccalaureate College","Curriculum Issues: No space",31,100,31,228,0.135964912280702,"Baccalaureate"
"23","3_Master's (Small, Medium, Large)","Curriculum Issues: No space",18,100,18,204,0.0882352941176471,"Masters"
"24","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: No space",25,100,25,358,0.0698324022346369,"Doctoral"
"25","1_Associate's College","Curriculum Issues: Incompatible with current curriculum",19,49,38.7755102040816,176,0.107954545454545,"Associates"
"26","2_Baccalaureate College","Curriculum Issues: Incompatible with current curriculum",5,49,10.2040816326531,228,0.0219298245614035,"Baccalaureate"
"27","3_Master's (Small, Medium, Large)","Curriculum Issues: Incompatible with current curriculum",9,49,18.3673469387755,204,0.0441176470588235,"Masters"
"28","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Incompatible with current curriculum",16,49,32.6530612244898,358,0.0446927374301676,"Doctoral"
"29","1_Associate's College","Curriculum Issues: Time needed to develop",9,30,30,176,0.0511363636363636,"Associates"
"30","2_Baccalaureate College","Curriculum Issues: Time needed to develop",10,30,33.3333333333333,228,0.043859649122807,"Baccalaureate"
"31","3_Master's (Small, Medium, Large)","Curriculum Issues: Time needed to develop",4,30,13.3333333333333,204,0.0196078431372549,"Masters"
"32","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Time needed to develop",7,30,23.3333333333333,358,0.0195530726256983,"Doctoral"
"33","1_Associate's College","Curriculum Issues: No control",10,19,52.6315789473684,176,0.0568181818181818,"Associates"
"34","2_Baccalaureate College","Curriculum Issues: No control",1,19,5.26315789473684,228,0.0043859649122807,"Baccalaureate"
"35","3_Master's (Small, Medium, Large)","Curriculum Issues: No control",2,19,10.5263157894737,204,0.00980392156862745,"Masters"
"36","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: No control",6,19,31.5789473684211,358,0.0167597765363128,"Doctoral"
"37","1_Associate's College","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,176,0.0113636363636364,"Associates"
"38","2_Baccalaureate College","Curriculum Issues: Covered elsewhere",5,15,33.3333333333333,228,0.0219298245614035,"Baccalaureate"
"39","3_Master's (Small, Medium, Large)","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,204,0.00980392156862745,"Masters"
"40","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Covered elsewhere",6,15,40,358,0.0167597765363128,"Doctoral"
"41","1_Associate's College","Curriculum Issues: Class size",0,8,0,176,0,"Associates"
