"","Var1","Var2","value","summed_score","percentage","proportion"
"1","Q06_scored_sub_Assoc.1.22.","Q06_Inst.Dept.Support...State.Regulation",2,2,100,0.0113636363636364
"2","Q06_scored_sub_Bacca.1.22.","Q06_Inst.Dept.Support...State.Regulation",0,2,0,0
"3","Q06_scored_sub_Master.1.22.","Q06_Inst.Dept.Support...State.Regulation",0,2,0,0
"4","Q06_scored_sub_Doc.1.22.","Q06_Inst.Dept.Support...State.Regulation",0,2,0,0
"5","Q06_scored_sub_Assoc.1.22.","Q06_Facilities...Servers",0,2,0,0
"6","Q06_scored_sub_Bacca.1.22.","Q06_Facilities...Servers",1,2,50,0.0043859649122807
"7","Q06_scored_sub_Master.1.22.","Q06_Facilities...Servers",1,2,50,0.00490196078431373
"8","Q06_scored_sub_Doc.1.22.","Q06_Facilities...Servers",0,2,0,0
"9","Q06_scored_sub_Assoc.1.22.","Q06_Curric.Issues...Not.enough.classes.seats.available",0,3,0,0
"10","Q06_scored_sub_Bacca.1.22.","Q06_Curric.Issues...Not.enough.classes.seats.available",0,3,0,0
"11","Q06_scored_sub_Master.1.22.","Q06_Curric.Issues...Not.enough.classes.seats.available",1,3,33.3333333333333,0.00490196078431373
"12","Q06_scored_sub_Doc.1.22.","Q06_Curric.Issues...Not.enough.classes.seats.available",2,3,66.6666666666667,0.00558659217877095
"13","Q06_scored_sub_Assoc.1.22.","Q06_Curric.Issue...Class.Size.too.large",0,4,0,0
"14","Q06_scored_sub_Bacca.1.22.","Q06_Curric.Issue...Class.Size.too.large",1,4,25,0.0043859649122807
"15","Q06_scored_sub_Master.1.22.","Q06_Curric.Issue...Class.Size.too.large",1,4,25,0.00490196078431373
"16","Q06_scored_sub_Doc.1.22.","Q06_Curric.Issue...Class.Size.too.large",2,4,50,0.00558659217877095
"17","Q06_scored_sub_Assoc.1.22.","Q06_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,4,25,0.00568181818181818
"18","Q06_scored_sub_Bacca.1.22.","Q06_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,4,25,0.0043859649122807
"19","Q06_scored_sub_Master.1.22.","Q06_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,4,25,0.00490196078431373
"20","Q06_scored_sub_Doc.1.22.","Q06_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,4,25,0.00279329608938547
"21","Q06_scored_sub_Assoc.1.22.","Q06_Inst.Dept.Support...IT.Supprt",0,5,0,0
"22","Q06_scored_sub_Bacca.1.22.","Q06_Inst.Dept.Support...IT.Supprt",2,5,40,0.0087719298245614
"23","Q06_scored_sub_Master.1.22.","Q06_Inst.Dept.Support...IT.Supprt",3,5,60,0.0147058823529412
"24","Q06_scored_sub_Doc.1.22.","Q06_Inst.Dept.Support...IT.Supprt",0,5,0,0
"25","Q06_scored_sub_Assoc.1.22.","Q06_Resource.Issues...Access.to.Approp.Software..Op.sys",2,10,20,0.0113636363636364
"26","Q06_scored_sub_Bacca.1.22.","Q06_Resource.Issues...Access.to.Approp.Software..Op.sys",3,10,30,0.0131578947368421
"27","Q06_scored_sub_Master.1.22.","Q06_Resource.Issues...Access.to.Approp.Software..Op.sys",2,10,20,0.00980392156862745
"28","Q06_scored_sub_Doc.1.22.","Q06_Resource.Issues...Access.to.Approp.Software..Op.sys",3,10,30,0.00837988826815642
"29","Q06_scored_sub_Assoc.1.22.","Q06_Curric.Isues...Not.a.req.for.Life.Sci.Majors..Pre.Med",1,12,8.33333333333333,0.00568181818181818
"30","Q06_scored_sub_Bacca.1.22.","Q06_Curric.Isues...Not.a.req.for.Life.Sci.Majors..Pre.Med",3,12,25,0.0131578947368421
"31","Q06_scored_sub_Master.1.22.","Q06_Curric.Isues...Not.a.req.for.Life.Sci.Majors..Pre.Med",2,12,16.6666666666667,0.00980392156862745
"32","Q06_scored_sub_Doc.1.22.","Q06_Curric.Isues...Not.a.req.for.Life.Sci.Majors..Pre.Med",6,12,50,0.0167597765363128
