"","Var1","Var2","value"
"1","q29.30_Assoc_var_summed.1.6.","q29_Faculty_issues_sum",8
"2","q29.30_Bacca_var_summed.1.6.","q29_Faculty_issues_sum",12
"3","q29.30_Master_var_summed.1.6.","q29_Faculty_issues_sum",9
"4","q29.30_Doc_var_summed.1.6.","q29_Faculty_issues_sum",5
"5","chiValues","q29_Faculty_issues_sum",0.446276861569215
"6","q29.30_Assoc_var_summed.1.6.","q29_Facilities_issues_sum",48
"7","q29.30_Bacca_var_summed.1.6.","q29_Facilities_issues_sum",52
"8","q29.30_Master_var_summed.1.6.","q29_Facilities_issues_sum",46
"9","q29.30_Doc_var_summed.1.6.","q29_Facilities_issues_sum",55
"10","chiValues","q29_Facilities_issues_sum",0.8055972013993
"11","q29.30_Assoc_var_summed.1.6.","q29_Resources_issues_sum",36
"12","q29.30_Bacca_var_summed.1.6.","q29_Resources_issues_sum",62
"13","q29.30_Master_var_summed.1.6.","q29_Resources_issues_sum",47
"14","q29.30_Doc_var_summed.1.6.","q29_Resources_issues_sum",29
"15","chiValues","q29_Resources_issues_sum",0.00199900049975012
"16","q29.30_Assoc_var_summed.1.6.","q29_Institutional_issues_sum",26
"17","q29.30_Bacca_var_summed.1.6.","q29_Institutional_issues_sum",48
"18","q29.30_Master_var_summed.1.6.","q29_Institutional_issues_sum",33
"19","q29.30_Doc_var_summed.1.6.","q29_Institutional_issues_sum",14
"20","chiValues","q29_Institutional_issues_sum",0.000499750124937531
"21","q29.30_Assoc_var_summed.1.6.","q29_Student_issues_sum",14
"22","q29.30_Bacca_var_summed.1.6.","q29_Student_issues_sum",3
"23","q29.30_Master_var_summed.1.6.","q29_Student_issues_sum",5
"24","q29.30_Doc_var_summed.1.6.","q29_Student_issues_sum",4
"25","chiValues","q29_Student_issues_sum",0.00899550224887556
"26","q29.30_Assoc_var_summed.1.6.","q29_Curriculum_issues_sum",2
"27","q29.30_Bacca_var_summed.1.6.","q29_Curriculum_issues_sum",2
"28","q29.30_Master_var_summed.1.6.","q29_Curriculum_issues_sum",1
"29","q29.30_Doc_var_summed.1.6.","q29_Curriculum_issues_sum",4
"30","chiValues","q29_Curriculum_issues_sum",0.64367816091954
