"","Var1","Var2","value"
"1","q29.30_Assoc_var_reduced.1.6.","q29_Faculty_issues_reduced",8
"2","q29.30_Bacca_var_reduced.1.6.","q29_Faculty_issues_reduced",12
"3","q29.30_Master_var_reduced.1.6.","q29_Faculty_issues_reduced",8
"4","q29.30_Doc_var_reduced.1.6.","q29_Faculty_issues_reduced",4
"5","chiValues","q29_Faculty_issues_reduced",0.263868065967017
"6","q29.30_Assoc_var_reduced.1.6.","q29_Facilities_issues_reduced",43
"7","q29.30_Bacca_var_reduced.1.6.","q29_Facilities_issues_reduced",49
"8","q29.30_Master_var_reduced.1.6.","q29_Facilities_issues_reduced",38
"9","q29.30_Doc_var_reduced.1.6.","q29_Facilities_issues_reduced",45
"10","chiValues","q29_Facilities_issues_reduced",0.727136431784108
"11","q29.30_Assoc_var_reduced.1.6.","q29_Resources_issues_reduced",29
"12","q29.30_Bacca_var_reduced.1.6.","q29_Resources_issues_reduced",45
"13","q29.30_Master_var_reduced.1.6.","q29_Resources_issues_reduced",34
"14","q29.30_Doc_var_reduced.1.6.","q29_Resources_issues_reduced",21
"15","chiValues","q29_Resources_issues_reduced",0.0264867566216892
"16","q29.30_Assoc_var_reduced.1.6.","q29_Institutional_issues_reduced",26
"17","q29.30_Bacca_var_reduced.1.6.","q29_Institutional_issues_reduced",47
"18","q29.30_Master_var_reduced.1.6.","q29_Institutional_issues_reduced",33
"19","q29.30_Doc_var_reduced.1.6.","q29_Institutional_issues_reduced",14
"20","chiValues","q29_Institutional_issues_reduced",0.000999500249875062
"21","q29.30_Assoc_var_reduced.1.6.","q29_Student_issues_reduced",9
"22","q29.30_Bacca_var_reduced.1.6.","q29_Student_issues_reduced",2
"23","q29.30_Master_var_reduced.1.6.","q29_Student_issues_reduced",3
"24","q29.30_Doc_var_reduced.1.6.","q29_Student_issues_reduced",3
"25","chiValues","q29_Student_issues_reduced",0.0719640179910045
"26","q29.30_Assoc_var_reduced.1.6.","q29_Curriculum_issues_reduced",2
"27","q29.30_Bacca_var_reduced.1.6.","q29_Curriculum_issues_reduced",1
"28","q29.30_Master_var_reduced.1.6.","q29_Curriculum_issues_reduced",1
"29","q29.30_Doc_var_reduced.1.6.","q29_Curriculum_issues_reduced",4
"30","chiValues","q29_Curriculum_issues_reduced",0.567716141929036
