"","Var1","Var2","value"
"1","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...No.Expertise.Training",7
"2","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...No.Expertise.Training",10
"3","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...No.Expertise.Training",7
"4","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...No.Expertise.Training",3
"5","chiValues","Q29.30_Faculty...No.Expertise.Training",0.32783608195902
"6","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...Time",1
"7","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...Time",1
"8","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...Time",2
"9","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...Time",2
"10","chiValues","Q29.30_Faculty...Time",1
"11","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",37
"12","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",41
"13","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",34
"14","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",42
"15","chiValues","Q29.30_Facilities...Computer.Labs.limited.or.not.available",0.80759620189905
"16","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",4
"17","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",6
"18","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",7
"19","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",7
"20","chiValues","Q29.30_Facilities...Computers.are.too.old..inadequate",0.887056471764118
"21","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Servers",1
"22","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Servers",4
"23","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Servers",2
"24","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Servers",2
"25","chiValues","Q29.30_Facilities...Servers",0.656671664167916
"26","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Internet.Access.Limited",6
"27","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Internet.Access.Limited",1
"28","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Internet.Access.Limited",3
"29","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Internet.Access.Limited",4
"30","chiValues","Q29.30_Facilities...Internet.Access.Limited",0.329835082458771
"31","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",6
"32","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",17
"33","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",15
"34","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",12
"35","chiValues","Q29.30_Resources...Operating.System.Availability.Issues",0.156421789105447
"36","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Approp..Software",13
"37","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Approp..Software",9
"38","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Approp..Software",13
"39","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Approp..Software",6
"40","chiValues","Q29.30_Resources...Approp..Software",0.336831584207896
"41","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...no.high.performance.systems.available",13
"42","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...no.high.performance.systems.available",28
"43","Q30_scored_sub_Master.1.22.","Q29.30_Resources...no.high.performance.systems.available",15
"44","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...no.high.performance.systems.available",7
"45","chiValues","Q29.30_Resources...no.high.performance.systems.available",0.000999500249875062
"46","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Funding",4
"47","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Funding",8
"48","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Funding",4
"49","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Funding",4
"50","chiValues","Q29.30_Resources...Funding",0.52223888055972
"51","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",26
"52","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",45
"53","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",32
"54","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",13
"55","chiValues","Q29.30_Inst.Dept.Support...No.IT.support",0.000499750124937531
"56","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",4
"57","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",2
"58","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",3
"59","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",1
"60","chiValues","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",0.699650174912544
"61","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",7
"62","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",1
"63","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",1
"64","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",2
"65","chiValues","Q29.30_Student.Issues...No.access.to.computers.at.home",0.0279860069965017
