"","Var1","Var2","value"
"1","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...No.Expertise.Training",7
"2","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...No.Expertise.Training",10
"3","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...No.Expertise.Training",7
"4","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...No.Expertise.Training",3
"5","chiValues","Q29.30_Faculty...No.Expertise.Training",0.319340329835082
"6","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...Time",1
"7","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...Time",1
"8","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...Time",2
"9","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...Time",2
"10","chiValues","Q29.30_Faculty...Time",1
"11","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0
"12","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",1
"13","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0
"14","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0
"15","chiValues","Q29.30_Faculty...no.computer.sci.Faculty",1
"16","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",37
"17","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",41
"18","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",34
"19","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computer.Labs.limited.or.not.available",42
"20","chiValues","Q29.30_Facilities...Computer.Labs.limited.or.not.available",0.792603698150925
"21","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",4
"22","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",6
"23","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",7
"24","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Computers.are.too.old..inadequate",7
"25","chiValues","Q29.30_Facilities...Computers.are.too.old..inadequate",0.877561219390305
"26","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Servers",1
"27","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Servers",4
"28","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Servers",2
"29","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Servers",2
"30","chiValues","Q29.30_Facilities...Servers",0.661669165417291
"31","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Internet.Access.Limited",6
"32","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Internet.Access.Limited",1
"33","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Internet.Access.Limited",3
"34","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Internet.Access.Limited",4
"35","chiValues","Q29.30_Facilities...Internet.Access.Limited",0.314842578710645
"36","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",6
"37","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",17
"38","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",15
"39","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Operating.System.Availability.Issues",12
"40","chiValues","Q29.30_Resources...Operating.System.Availability.Issues",0.131934032983508
"41","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Approp..Software",13
"42","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Approp..Software",9
"43","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Approp..Software",13
"44","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Approp..Software",6
"45","chiValues","Q29.30_Resources...Approp..Software",0.333333333333333
"46","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...no.high.performance.systems.available",13
"47","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...no.high.performance.systems.available",28
"48","Q30_scored_sub_Master.1.22.","Q29.30_Resources...no.high.performance.systems.available",15
"49","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...no.high.performance.systems.available",7
"50","chiValues","Q29.30_Resources...no.high.performance.systems.available",0.00149925037481259
"51","Q30_scored_sub_Assoc.1.22.","Q29.30_Resources...Funding",4
"52","Q30_scored_sub_Bacca.1.22.","Q29.30_Resources...Funding",8
"53","Q30_scored_sub_Master.1.22.","Q29.30_Resources...Funding",4
"54","Q30_scored_sub_Doc.1.22.","Q29.30_Resources...Funding",4
"55","chiValues","Q29.30_Resources...Funding",0.527736131934033
"56","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",26
"57","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",45
"58","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",32
"59","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...No.IT.support",13
"60","chiValues","Q29.30_Inst.Dept.Support...No.IT.support",0.00199900049975012
"61","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",0
"62","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",0
"63","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",1
"64","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",1
"65","chiValues","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",1
"66","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0
"67","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",3
"68","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0
"69","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0
"70","chiValues","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0.0679660169915042
"71","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",4
"72","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",2
"73","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",3
"74","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",1
"75","chiValues","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",0.713643178410795
"76","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",3
"77","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",0
"78","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",1
"79","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",1
"80","chiValues","Q29.30_Student.Issues...Basic.Computing.Knowledge",0.416291854072964
"81","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",7
"82","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",1
"83","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",1
"84","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...No.access.to.computers.at.home",2
"85","chiValues","Q29.30_Student.Issues...No.access.to.computers.at.home",0.0314842578710645
"86","Q30_scored_sub_Assoc.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",1
"87","Q30_scored_sub_Bacca.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",1
