"","Q30_scored_sub_Assoc.1.22.","Q30_scored_sub_Bacca.1.22.","Q30_scored_sub_Master.1.22.","Q30_scored_sub_Doc.1.22."
"Q29.30_Faculty...No.Expertise.Training",7,10,7,3
"Q29.30_Faculty...Time",1,1,2,2
"Q29.30_Faculty...not.interested.in.topic",0,0,0,0
"Q29.30_Faculty...no.computer.sci.Faculty",0,1,0,0
"Q29.30_Facilities...Computer.Labs.limited.or.not.available",37,41,34,42
"Q29.30_Facilities...Computers.are.too.old..inadequate",4,6,7,7
"Q29.30_Facilities...Servers",1,4,2,2
"Q29.30_Facilities...Internet.Access.Limited",6,1,3,4
"Q29.30_Resources...Operating.System.Availability.Issues",6,17,15,12
"Q29.30_Resources...Approp..Software",13,9,13,6
"Q29.30_Resources...no.high.performance.systems.available",13,28,15,7
"Q29.30_Resources...Funding",4,8,4,4
"Q29.30_Inst.Dept.Support...No.IT.support",26,45,32,13
"Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",0,0,1,1
"Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0,3,0,0
"Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",4,2,3,1
"Q29.30_Student.Issues...Basic.Computing.Knowledge",3,0,1,1
"Q29.30_Student.Issues...No.access.to.computers.at.home",7,1,1,2
"Q29.30_Student.Issues...No.interest.in.Bioinf",0,0,0,0
"Q29.30_Curriculum...Need.to.Develop.new.program",1,1,0,2
"Q29.30_Curriculum.Class.Size.too.large",1,0,1,1
"Q29.30_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0,1,0,1
