"","Var1","Var2","value","summed_score","percentage"
"1","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0,1,0
"2","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",1,1,100
"3","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0,1,0
"4","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...no.computer.sci.Faculty",0,1,0
"5","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",0,2,0
"6","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",0,2,0
"7","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",1,2,50
"8","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...No.Sub.to.Pay.site.Databases",1,2,50
"9","Q30_scored_sub_Assoc.1.22.","Q29.30_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0,2,0
"10","Q30_scored_sub_Bacca.1.22.","Q29.30_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,2,50
"11","Q30_scored_sub_Master.1.22.","Q29.30_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",0,2,0
"12","Q30_scored_sub_Doc.1.22.","Q29.30_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,2,50
"13","Q30_scored_sub_Assoc.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0,3,0
"14","Q30_scored_sub_Bacca.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",3,3,100
"15","Q30_scored_sub_Master.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0,3,0
"16","Q30_scored_sub_Doc.1.22.","Q29.30_Inst.Dept.Support...Comp.Sci.Dept.Will.not.support.Bioinf",0,3,0
"17","Q30_scored_sub_Assoc.1.22.","Q29.30_Curriculum.Class.Size.too.large",1,3,33.3333333333333
"18","Q30_scored_sub_Bacca.1.22.","Q29.30_Curriculum.Class.Size.too.large",0,3,0
"19","Q30_scored_sub_Master.1.22.","Q29.30_Curriculum.Class.Size.too.large",1,3,33.3333333333333
"20","Q30_scored_sub_Doc.1.22.","Q29.30_Curriculum.Class.Size.too.large",1,3,33.3333333333333
"21","Q30_scored_sub_Assoc.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",1,4,25
"22","Q30_scored_sub_Bacca.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",1,4,25
"23","Q30_scored_sub_Master.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",0,4,0
"24","Q30_scored_sub_Doc.1.22.","Q29.30_Curriculum...Need.to.Develop.new.program",2,4,50
"25","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",3,5,60
"26","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",0,5,0
"27","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",1,5,20
"28","Q30_scored_sub_Doc.1.22.","Q29.30_Student.Issues...Basic.Computing.Knowledge",1,5,20
"29","Q30_scored_sub_Assoc.1.22.","Q29.30_Faculty...Time",1,6,16.6666666666667
"30","Q30_scored_sub_Bacca.1.22.","Q29.30_Faculty...Time",1,6,16.6666666666667
"31","Q30_scored_sub_Master.1.22.","Q29.30_Faculty...Time",2,6,33.3333333333333
"32","Q30_scored_sub_Doc.1.22.","Q29.30_Faculty...Time",2,6,33.3333333333333
"33","Q30_scored_sub_Assoc.1.22.","Q29.30_Facilities...Servers",1,9,11.1111111111111
"34","Q30_scored_sub_Bacca.1.22.","Q29.30_Facilities...Servers",4,9,44.4444444444444
"35","Q30_scored_sub_Master.1.22.","Q29.30_Facilities...Servers",2,9,22.2222222222222
"36","Q30_scored_sub_Doc.1.22.","Q29.30_Facilities...Servers",2,9,22.2222222222222
"37","Q30_scored_sub_Assoc.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",4,10,40
"38","Q30_scored_sub_Bacca.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",2,10,20
"39","Q30_scored_sub_Master.1.22.","Q29.30_Student.Issues...Access.to.Approp.Software.off.campus",3,10,30
