"","Var1","Var2","value"
"1","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...No.Expertise.Training",57
"2","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...No.Expertise.Training",85
"3","Q33_scored_sub_Master.1.24.","Q33_Faculty...No.Expertise.Training",62
"4","Q33_scored_sub_Doc.1.24.","Q33_Faculty...No.Expertise.Training",68
"5","chiValues","Q33_Faculty...No.Expertise.Training",0.0864567716141929
"6","Q33_scored_sub_Assoc.1.24.","Q33_Facutly...Time",15
"7","Q33_scored_sub_Bacca.1.24.","Q33_Facutly...Time",22
"8","Q33_scored_sub_Master.1.24.","Q33_Facutly...Time",12
"9","Q33_scored_sub_Doc.1.24.","Q33_Facutly...Time",33
"10","chiValues","Q33_Facutly...Time",0.00649675162418791
"11","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Differences.of.opinion",3
"12","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Differences.of.opinion",2
"13","Q33_scored_sub_Master.1.24.","Q33_Faculty...Differences.of.opinion",6
"14","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Differences.of.opinion",4
"15","chiValues","Q33_Faculty...Differences.of.opinion",0.561719140429785
"16","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Content.Development",3
"17","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Content.Development",3
"18","Q33_scored_sub_Master.1.24.","Q33_Faculty...Content.Development",2
"19","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Content.Development",5
"20","chiValues","Q33_Faculty...Content.Development",0.757621189405297
"21","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Not.enough.Faculty",0
"22","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Not.enough.Faculty",1
"23","Q33_scored_sub_Master.1.24.","Q33_Faculty...Not.enough.Faculty",1
"24","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Not.enough.Faculty",6
"25","chiValues","Q33_Faculty...Not.enough.Faculty",0.0164917541229385
"26","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",8
"27","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",14
"28","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",7
"29","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",16
"30","chiValues","Q33_Facilities...Computer.Labs.limited.or.not.available",0.15792103948026
"31","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",0
"32","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1
"33","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1
"34","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",3
"35","chiValues","Q33_Facilities...Computers.are.too.old..inadequate",0.385307346326837
"36","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Acces.to.Approp..Software",13
"37","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Acces.to.Approp..Software",9
"38","Q33_scored_sub_Master.1.24.","Q33_Resources...Acces.to.Approp..Software",10
"39","Q33_scored_sub_Doc.1.24.","Q33_Resources...Acces.to.Approp..Software",13
"40","chiValues","Q33_Resources...Acces.to.Approp..Software",0.799100449775112
"41","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Funding..general.",5
"42","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..general.",8
"43","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..general.",11
"44","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..general.",4
"45","chiValues","Q33_Resources...Funding..general.",0.255872063968016
"46","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Funding..software.License.fees.",1
"47","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..software.License.fees.",1
"48","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..software.License.fees.",3
"49","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..software.License.fees.",2
"50","chiValues","Q33_Resources...Funding..software.License.fees.",0.84407796101949
"51","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",24
"52","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",37
"53","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",38
"54","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",87
"55","chiValues","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",0.000499750124937531
"56","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",13
"57","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",19
"58","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",32
"59","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",31
"60","chiValues","Q33_Student.Issues...No.interest.in.Bioinf",0.0129935032483758
"61","Q33_scored_sub_Assoc.1.24.","Q33_Student.issues...Intimidated.by.topic",2
"62","Q33_scored_sub_Bacca.1.24.","Q33_Student.issues...Intimidated.by.topic",3
"63","Q33_scored_sub_Master.1.24.","Q33_Student.issues...Intimidated.by.topic",8
"64","Q33_scored_sub_Doc.1.24.","Q33_Student.issues...Intimidated.by.topic",16
"65","chiValues","Q33_Student.issues...Intimidated.by.topic",0.00199900049975012
"66","Q33_scored_sub_Assoc.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",2
"67","Q33_scored_sub_Bacca.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",2
"68","Q33_scored_sub_Master.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",3
"69","Q33_scored_sub_Doc.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",15
"70","chiValues","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",0.000499750124937531
"71","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Lack.Basic.Computing.Knowledge",1
