"","Q33_scored_sub_Assoc.1.24.","Q33_scored_sub_Bacca.1.24.","Q33_scored_sub_Master.1.24.","Q33_scored_sub_Doc.1.24."
"Q33_Faculty...No.Expertise.Training",57,85,62,68
"Q33_Facutly...Time",15,22,12,33
"Q33_Faculty...Differences.of.opinion",3,2,6,4
"Q33_Faculty...Content.Development",3,3,2,5
"Q33_Faculty...Not.enough.Faculty",0,1,1,6
"Q33_Facilities...Computer.Labs.limited.or.not.available",8,14,7,16
"Q33_Facilities...Computers.are.too.old..inadequate",0,1,1,3
"Q33_Resources...Acces.to.Approp..Software",13,9,10,13
"Q33_Resources...Funding..general.",5,8,11,4
"Q33_Resources...Funding..software.License.fees.",1,1,3,2
"Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",24,37,38,87
"Q33_Student.Issues...No.interest.in.Bioinf",13,19,32,31
"Q33_Student.issues...Intimidated.by.topic",2,3,8,16
"Q33_Student.Isses...Multitude.of.varying.student.backgrounds",2,2,3,15
"Q33_Student.Issues...Lack.Basic.Computing.Knowledge",1,8,5,3
"Q33_Student.Issues...Career.prospects",3,0,0,4
"Q33_Curric.Issues...Lack.of.integration.of.maerial",11,17,20,35
"Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",9,19,14,26
"Q33_Curric.Issues...How.quickly.the.material.tech.changes",6,21,11,12
"Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",11,8,8,7
"Q33_Curric.Issues...Making.Comp.Sci.courses.consistently.relevant",2,4,0,6
"Q33_Curric.Issues...To.much.curric.influence.from.Professional.schools",0,3,4,4
"Q33_Inst.Dept.Support...Inter.Departmental.Cooperation",1,6,6,1
"Q33_Inst.Dept.Support...No.IT.support",2,4,3,0
