"","Var1","Var2","value","summed_score","percentage","proportion"
"1","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",0,5,0,0
"2","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1,5,20,0.0043859649122807
"3","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1,5,20,0.00490196078431373
"4","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",3,5,60,0.00837988826815642
"5","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Funding..software.License.fees.",1,7,14.2857142857143,0.00568181818181818
"6","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..software.License.fees.",1,7,14.2857142857143,0.0043859649122807
"7","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..software.License.fees.",3,7,42.8571428571429,0.0147058823529412
"8","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..software.License.fees.",2,7,28.5714285714286,0.00558659217877095
"9","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Career.prospects",3,7,42.8571428571429,0.0170454545454545
"10","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Career.prospects",0,7,0,0
"11","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Career.prospects",0,7,0,0
"12","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Career.prospects",4,7,57.1428571428571,0.0111731843575419
"13","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Not.enough.Faculty",0,8,0,0
"14","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Not.enough.Faculty",1,8,12.5,0.0043859649122807
"15","Q33_scored_sub_Master.1.24.","Q33_Faculty...Not.enough.Faculty",1,8,12.5,0.00490196078431373
"16","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Not.enough.Faculty",6,8,75,0.0167597765363128
"17","Q33_scored_sub_Assoc.1.24.","Q33_Inst.Dept.Support...No.IT.support",2,9,22.2222222222222,0.0113636363636364
"18","Q33_scored_sub_Bacca.1.24.","Q33_Inst.Dept.Support...No.IT.support",4,9,44.4444444444444,0.0175438596491228
"19","Q33_scored_sub_Master.1.24.","Q33_Inst.Dept.Support...No.IT.support",3,9,33.3333333333333,0.0147058823529412
