"","Var1","Var2","value"
"1","Assoc_var_reduced.1.8.","q38_Faculty_issues_reduced",63
"2","Bacca_var_reduced.1.8.","q38_Faculty_issues_reduced",71
"3","Doc_var_reduced.1.8.","q38_Faculty_issues_reduced",67
"4","Master_var_reduced.1.8.","q38_Faculty_issues_reduced",62
"5","chiValues","q38_Faculty_issues_reduced",0.84207896051974
"6","Assoc_var_reduced.1.8.","q38_Curriculum_issues_reduced",56
"7","Bacca_var_reduced.1.8.","q38_Curriculum_issues_reduced",45
"8","Doc_var_reduced.1.8.","q38_Curriculum_issues_reduced",57
"9","Master_var_reduced.1.8.","q38_Curriculum_issues_reduced",35
"10","chiValues","q38_Curriculum_issues_reduced",0.079960019990005
"11","Assoc_var_reduced.1.8.","q38_Resources_issues_reduced",25
"12","Bacca_var_reduced.1.8.","q38_Resources_issues_reduced",15
"13","Doc_var_reduced.1.8.","q38_Resources_issues_reduced",21
"14","Master_var_reduced.1.8.","q38_Resources_issues_reduced",14
"15","chiValues","q38_Resources_issues_reduced",0.227386306846577
"16","Assoc_var_reduced.1.8.","q38_Student_issues_reduced",19
"17","Bacca_var_reduced.1.8.","q38_Student_issues_reduced",9
"18","Doc_var_reduced.1.8.","q38_Student_issues_reduced",15
"19","Master_var_reduced.1.8.","q38_Student_issues_reduced",11
"20","chiValues","q38_Student_issues_reduced",0.239380309845077
"21","Assoc_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"22","Bacca_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"23","Doc_var_reduced.1.8.","q38_Facilities_issues_reduced",6
"24","Master_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"25","chiValues","q38_Facilities_issues_reduced",0.932033983008496
"26","Assoc_var_reduced.1.8.","q38_Institutional_issues_reduced",0
"27","Bacca_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"28","Doc_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"29","Master_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"30","chiValues","q38_Institutional_issues_reduced",1
"31","Assoc_var_reduced.1.8.","q38_State_issues_reduced",1
"32","Bacca_var_reduced.1.8.","q38_State_issues_reduced",0
"33","Doc_var_reduced.1.8.","q38_State_issues_reduced",0
"34","Master_var_reduced.1.8.","q38_State_issues_reduced",0
"35","chiValues","q38_State_issues_reduced",1
"36","Assoc_var_reduced.1.8.","q38_Accredited_issues_reduced",1
"37","Bacca_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"38","Doc_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"39","Master_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"40","chiValues","q38_Accredited_issues_reduced",1
