"","Var1","Var2","value"
"1","q38_Assoc_var_reduced.1.8.","q38_Faculty_issues_reduced",63
"2","q38_Bacca_var_reduced.1.8.","q38_Faculty_issues_reduced",71
"3","q38_Doc_var_reduced.1.8.","q38_Faculty_issues_reduced",67
"4","q38_Master_var_reduced.1.8.","q38_Faculty_issues_reduced",62
"5","chiValues","q38_Faculty_issues_reduced",0.858570714642679
"6","q38_Assoc_var_reduced.1.8.","q38_Curriculum_issues_reduced",56
"7","q38_Bacca_var_reduced.1.8.","q38_Curriculum_issues_reduced",45
"8","q38_Doc_var_reduced.1.8.","q38_Curriculum_issues_reduced",57
"9","q38_Master_var_reduced.1.8.","q38_Curriculum_issues_reduced",35
"10","chiValues","q38_Curriculum_issues_reduced",0.0894552723638181
"11","q38_Assoc_var_reduced.1.8.","q38_Resources_issues_reduced",25
"12","q38_Bacca_var_reduced.1.8.","q38_Resources_issues_reduced",15
"13","q38_Doc_var_reduced.1.8.","q38_Resources_issues_reduced",21
"14","q38_Master_var_reduced.1.8.","q38_Resources_issues_reduced",14
"15","chiValues","q38_Resources_issues_reduced",0.235882058970515
"16","q38_Assoc_var_reduced.1.8.","q38_Student_issues_reduced",19
"17","q38_Bacca_var_reduced.1.8.","q38_Student_issues_reduced",9
"18","q38_Doc_var_reduced.1.8.","q38_Student_issues_reduced",15
"19","q38_Master_var_reduced.1.8.","q38_Student_issues_reduced",11
"20","chiValues","q38_Student_issues_reduced",0.23688155922039
"21","q38_Assoc_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"22","q38_Bacca_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"23","q38_Doc_var_reduced.1.8.","q38_Facilities_issues_reduced",6
"24","q38_Master_var_reduced.1.8.","q38_Facilities_issues_reduced",4
"25","chiValues","q38_Facilities_issues_reduced",0.935032483758121
"26","q38_Assoc_var_reduced.1.8.","q38_Institutional_issues_reduced",0
"27","q38_Bacca_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"28","q38_Doc_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"29","q38_Master_var_reduced.1.8.","q38_Institutional_issues_reduced",1
"30","chiValues","q38_Institutional_issues_reduced",1
"31","q38_Assoc_var_reduced.1.8.","q38_State_issues_reduced",1
"32","q38_Bacca_var_reduced.1.8.","q38_State_issues_reduced",0
"33","q38_Doc_var_reduced.1.8.","q38_State_issues_reduced",0
"34","q38_Master_var_reduced.1.8.","q38_State_issues_reduced",0
"35","chiValues","q38_State_issues_reduced",1
"36","q38_Assoc_var_reduced.1.8.","q38_Accredited_issues_reduced",1
"37","q38_Bacca_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"38","q38_Doc_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"39","q38_Master_var_reduced.1.8.","q38_Accredited_issues_reduced",0
"40","chiValues","q38_Accredited_issues_reduced",1
