"","Var1","Var2","value"
"1","scored_sub_Assoc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",34
"2","scored_sub_Bacca.1.28.","Q38_Faculty.Issue...No.Expertise..Training",52
"3","scored_sub_Master.1.28.","Q38_Faculty.Issue...No.Expertise..Training",41
"4","scored_sub_Doc.1.28.","Q38_Faculty.Issue...No.Expertise..Training",33
"5","chiValues","Q38_Faculty.Issue...No.Expertise..Training",0.129435282358821
"6","scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Time",32
"7","scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Time",32
"8","scored_sub_Master.1.28.","Q38_Faculty.Issue...Time",26
"9","scored_sub_Doc.1.28.","Q38_Faculty.Issue...Time",37
"10","chiValues","Q38_Faculty.Issue...Time",0.617191404297851
"11","scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",6
"12","scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",5
"13","scored_sub_Master.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",7
"14","scored_sub_Doc.1.28.","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",10
"15","chiValues","Q38_Faculty.Issue...Does.not.know.how.to.design.curricula.or.incorporate.with.existing.curriculum",0.647176411794103
"16","scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",2
"17","scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",5
"18","scored_sub_Master.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",1
"19","scored_sub_Doc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0
"20","chiValues","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0.103948025987006
"21","scored_sub_Assoc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"22","scored_sub_Bacca.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0
"23","scored_sub_Master.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"24","scored_sub_Doc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"25","chiValues","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1
"26","scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",26
"27","scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",31
"28","scored_sub_Master.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",18
"29","scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",25
"30","chiValues","Q38_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",0.341329335332334
"31","scored_sub_Assoc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",19
"32","scored_sub_Bacca.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",5
"33","scored_sub_Master.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",9
"34","scored_sub_Doc.1.28.","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",16
"35","chiValues","Q38_Curric.Issues...Does.not.Fit.into.current.Current.Course.Structure",0.015992003998001
"36","scored_sub_Assoc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",9
"37","scored_sub_Bacca.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",10
"38","scored_sub_Master.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",4
"39","scored_sub_Doc.1.28.","Q38_Curriculum.Issue...Time.for.Curriculum.Development",7
"40","chiValues","Q38_Curriculum.Issue...Time.for.Curriculum.Development",0.450274862568716
"41","scored_sub_Assoc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",10
"42","scored_sub_Bacca.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",1
"43","scored_sub_Master.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",2
"44","scored_sub_Doc.1.28.","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",6
"45","chiValues","Q38_Curric.Issues...Lack.of.Curric.Control.not.in.curent.Curric.",0.0144927536231884
"46","scored_sub_Assoc.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"47","scored_sub_Bacca.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",5
"48","scored_sub_Master.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2
"49","scored_sub_Doc.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",6
"50","chiValues","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",0.394302848575712
"51","scored_sub_Assoc.1.28.","Q38_Curric.Issue...Class.Size",0
"52","scored_sub_Bacca.1.28.","Q38_Curric.Issue...Class.Size",1
"53","scored_sub_Master.1.28.","Q38_Curric.Issue...Class.Size",2
"54","scored_sub_Doc.1.28.","Q38_Curric.Issue...Class.Size",5
"55","chiValues","Q38_Curric.Issue...Class.Size",0.101449275362319
"56","scored_sub_Assoc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"57","scored_sub_Bacca.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",1
"58","scored_sub_Master.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2
"59","scored_sub_Doc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",3
"60","chiValues","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",0.957021489255372
"61","scored_sub_Assoc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0
"62","scored_sub_Bacca.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"63","scored_sub_Master.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",2
"64","scored_sub_Doc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1
"65","chiValues","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0.906046976511744
"66","scored_sub_Assoc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"67","scored_sub_Bacca.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"68","scored_sub_Master.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"69","scored_sub_Doc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0
"70","chiValues","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1
"71","scored_sub_Assoc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"72","scored_sub_Bacca.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"73","scored_sub_Master.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",9
"74","scored_sub_Doc.1.28.","Q38_Resources...Access.to.Quality.Exercises..Content",10
"75","chiValues","Q38_Resources...Access.to.Quality.Exercises..Content",1
