"","Var1","Var2","value"
"1","Assoc_var_summed.1.8.","q38_Faculty_issues_sum",74
"2","Bacca_var_summed.1.8.","q38_Faculty_issues_sum",94
"3","Doc_var_summed.1.8.","q38_Faculty_issues_sum",81
"4","Master_var_summed.1.8.","q38_Faculty_issues_sum",76
"5","chiValues","q38_Faculty_issues_sum",0.422288855572214
"6","Assoc_var_summed.1.8.","q38_Curriculum_issues_sum",68
"7","Bacca_var_summed.1.8.","q38_Curriculum_issues_sum",55
"8","Doc_var_summed.1.8.","q38_Curriculum_issues_sum",69
"9","Master_var_summed.1.8.","q38_Curriculum_issues_sum",42
"10","chiValues","q38_Curriculum_issues_sum",0.0339830084957521
"11","Assoc_var_summed.1.8.","q38_Resources_issues_sum",37
"12","Bacca_var_summed.1.8.","q38_Resources_issues_sum",30
"13","Doc_var_summed.1.8.","q38_Resources_issues_sum",32
"14","Master_var_summed.1.8.","q38_Resources_issues_sum",23
"15","chiValues","q38_Resources_issues_sum",0.377311344327836
"16","Assoc_var_summed.1.8.","q38_Student_issues_sum",20
"17","Bacca_var_summed.1.8.","q38_Student_issues_sum",9
"18","Doc_var_summed.1.8.","q38_Student_issues_sum",15
"19","Master_var_summed.1.8.","q38_Student_issues_sum",11
"20","chiValues","q38_Student_issues_sum",0.168915542228886
"21","Assoc_var_summed.1.8.","q38_Facilities_issues_sum",4
"22","Bacca_var_summed.1.8.","q38_Facilities_issues_sum",4
"23","Doc_var_summed.1.8.","q38_Facilities_issues_sum",6
"24","Master_var_summed.1.8.","q38_Facilities_issues_sum",4
"25","chiValues","q38_Facilities_issues_sum",0.936531734132934
"26","Assoc_var_summed.1.8.","q38_Institutional_issues_sum",0
"27","Bacca_var_summed.1.8.","q38_Institutional_issues_sum",1
"28","Doc_var_summed.1.8.","q38_Institutional_issues_sum",1
"29","Master_var_summed.1.8.","q38_Institutional_issues_sum",1
"30","chiValues","q38_Institutional_issues_sum",1
"31","Assoc_var_summed.1.8.","q38_State_issues_sum",1
"32","Bacca_var_summed.1.8.","q38_State_issues_sum",0
"33","Doc_var_summed.1.8.","q38_State_issues_sum",0
"34","Master_var_summed.1.8.","q38_State_issues_sum",0
"35","chiValues","q38_State_issues_sum",1
"36","Assoc_var_summed.1.8.","q38_Accredited_issues_sum",1
"37","Bacca_var_summed.1.8.","q38_Accredited_issues_sum",0
"38","Doc_var_summed.1.8.","q38_Accredited_issues_sum",0
"39","Master_var_summed.1.8.","q38_Accredited_issues_sum",0
"40","chiValues","q38_Accredited_issues_sum",1
