"","Var1","Var2","value","summed_score","percentage","proportion"
"1","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0,0
"2","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0,0
"3","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1,1,100,0.00490196078431373
"4","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0,0
"5","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0,0
"6","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0,0
"7","Q38_scored_sub_Master.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0,0
"8","Q38_scored_sub_Doc.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",1,1,100,0.00279329608938547
"9","Q38_scored_sub_Assoc.1.28.","Q38_State.restrictions",1,1,100,0.00568181818181818
"10","Q38_scored_sub_Bacca.1.28.","Q38_State.restrictions",0,1,0,0
"11","Q38_scored_sub_Master.1.28.","Q38_State.restrictions",0,1,0,0
"12","Q38_scored_sub_Doc.1.28.","Q38_State.restrictions",0,1,0,0
"13","Q38_scored_sub_Assoc.1.28.","Q38_Not.accredited",1,1,100,0.00568181818181818
"14","Q38_scored_sub_Bacca.1.28.","Q38_Not.accredited",0,1,0,0
"15","Q38_scored_sub_Master.1.28.","Q38_Not.accredited",0,1,0,0
"16","Q38_scored_sub_Doc.1.28.","Q38_Not.accredited",0,1,0,0
"17","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0,2,0,0
"18","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0,2,0,0
"19","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1,2,50,0.00490196078431373
"20","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1,2,50,0.00279329608938547
"21","Q38_scored_sub_Assoc.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",0,3,0,0
"22","Q38_scored_sub_Bacca.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333,0.0043859649122807
"23","Q38_scored_sub_Master.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333,0.00490196078431373
"24","Q38_scored_sub_Doc.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333,0.00279329608938547
"25","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0,4,0,0
"26","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1,4,25,0.0043859649122807
"27","Q38_scored_sub_Master.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",2,4,50,0.00980392156862745
"28","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1,4,25,0.00279329608938547
"29","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",1,5,20,0.00568181818181818
"30","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",3,5,60,0.0131578947368421
"31","Q38_scored_sub_Master.1.28.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",0,5,0,0
"32","Q38_scored_sub_Doc.1.28.","Q38_Resource.Issues...Access.to.Quality.Online.Exerices.Conent",1,5,20,0.00279329608938547
"33","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",2,8,25,0.0113636363636364
"34","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",5,8,62.5,0.0219298245614035
"35","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",1,8,12.5,0.00490196078431373
"36","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issue...Lack.of.Faculty.interest.at.Institution",0,8,0,0
"37","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issue...Class.Size",0,8,0,0
"38","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issue...Class.Size",1,8,12.5,0.0043859649122807
"39","Q38_scored_sub_Master.1.28.","Q38_Curric.Issue...Class.Size",2,8,25,0.00980392156862745
"40","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issue...Class.Size",5,8,62.5,0.0139664804469274
"41","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2,8,25,0.0113636363636364
"42","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",1,8,12.5,0.0043859649122807
"43","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",2,8,25,0.00980392156862745
"44","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Plans.to.teach.Bioinf..In.the.future..but.not.currently.available.",3,8,37.5,0.00837988826815642
"45","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues...Funding",3,8,37.5,0.0170454545454545
"46","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues...Funding",1,8,12.5,0.0043859649122807
"47","Q38_scored_sub_Master.1.28.","Q38_Resource.Issues...Funding",1,8,12.5,0.00490196078431373
"48","Q38_scored_sub_Doc.1.28.","Q38_Resource.Issues...Funding",3,8,37.5,0.00837988826815642
"49","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues...Not.available.in.course.textbook",4,9,44.4444444444444,0.0227272727272727
"50","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues...Not.available.in.course.textbook",1,9,11.1111111111111,0.0043859649122807
"51","Q38_scored_sub_Master.1.28.","Q38_Resource.Issues...Not.available.in.course.textbook",1,9,11.1111111111111,0.00490196078431373
"52","Q38_scored_sub_Doc.1.28.","Q38_Resource.Issues...Not.available.in.course.textbook",3,9,33.3333333333333,0.00837988826815642
"53","Q38_scored_sub_Assoc.1.28.","Q38_Student.Issues...Lack.of.interest.in.topic",2,10,20,0.0113636363636364
"54","Q38_scored_sub_Bacca.1.28.","Q38_Student.Issues...Lack.of.interest.in.topic",5,10,50,0.0219298245614035
"55","Q38_scored_sub_Master.1.28.","Q38_Student.Issues...Lack.of.interest.in.topic",1,10,10,0.00490196078431373
"56","Q38_scored_sub_Doc.1.28.","Q38_Student.Issues...Lack.of.interest.in.topic",2,10,20,0.00558659217877095
"57","Q38_scored_sub_Assoc.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",8,13,61.5384615384615,0.0454545454545455
"58","Q38_scored_sub_Bacca.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",1,13,7.69230769230769,0.0043859649122807
"59","Q38_scored_sub_Master.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",2,13,15.3846153846154,0.00980392156862745
"60","Q38_scored_sub_Doc.1.28.","Q38_Resources...Access.to.Approp.Introductory.Content",2,13,15.3846153846154,0.00558659217877095
"61","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2,15,13.3333333333333,0.0113636363636364
"62","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",5,15,33.3333333333333,0.0219298245614035
"63","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Bioinf..Taught.in.other.courses.at.institution",2,15,13.3333333333333,0.00980392156862745
