Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Faculty Issues: Expertise/training,57.0,272.0,20.955882352941178,176.0,0.32386363636363635,Associates,57.0,119.0,8.253925939928152e-6,0.06913373137722045,0.3462535380028498,0.3014737347244229
2_Baccalaureate College,Faculty Issues: Expertise/training,85.0,272.0,31.25,228.0,0.37280701754385964,Baccalaureate,85.0,143.0,8.253925939928152e-6,0.06276583374406029,0.3962065608256365,0.3494074742620828
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,62.0,272.0,22.794117647058822,204.0,0.30392156862745096,Masters,62.0,142.0,8.253925939928152e-6,0.0631164925720932,0.3231040320562244,0.2847391051986775
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,68.0,272.0,25.0,358.0,0.18994413407821228,Doctoral,68.0,290.0,8.253925939928152e-6,0.04063282393589853,0.19766210063586898,0.1822261675205556
1_Associate's College,Faculty Issues: Time,15.0,82.0,18.29268292682927,176.0,0.08522727272727272,Associates,15.0,161.0,0.4890924665815699,0.041251301644753935,0.08874300866290516,0.08171153679164028
2_Baccalaureate College,Faculty Issues: Time,22.0,82.0,26.82926829268293,228.0,0.09649122807017543,Baccalaureate,22.0,206.0,0.4890924665815699,0.03832575959773997,0.10018932768048368,0.09279312845986719
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,12.0,82.0,14.634146341463413,204.0,0.058823529411764705,Masters,12.0,192.0,0.4890924665815699,0.03228821803486611,0.06072283635499212,0.05692422246853729
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,33.0,82.0,40.243902439024396,358.0,0.09217877094972067,Doctoral,33.0,325.0,0.4890924665815699,0.029965546422989157,0.0949409581898286,0.08941658370961274
1_Associate's College,Faculities Issues: Access to computer labs,8.0,45.0,17.77777777777778,176.0,0.045454545454545456,Associates,8.0,168.0,0.6035024047976569,0.03077362970392369,0.046853346804723806,0.044055744104367106
2_Baccalaureate College,Faculities Issues: Access to computer labs,14.0,45.0,31.11111111111111,228.0,0.06140350877192982,Baccalaureate,14.0,214.0,0.6035024047976569,0.031161383058113848,0.06331692702988417,0.05949009051397546
"3_Master's (Small, Medium, Large)",Faculities Issues: Access to computer labs,7.0,45.0,15.555555555555555,204.0,0.03431372549019608,Masters,7.0,197.0,0.6035024047976569,0.024979570853630357,0.03517086762733046,0.0334565833530617
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculities Issues: Access to computer labs,16.0,45.0,35.55555555555556,358.0,0.0446927374301676,Doctoral,16.0,342.0,0.6035024047976569,0.021404081472814848,0.04564934442336603,0.04373613043696917
1_Associate's College,Resource Issues: Access to software,13.0,45.0,28.888888888888886,176.0,0.07386363636363637,Associates,13.0,163.0,0.25231326163506973,0.03864066283831914,0.07671777623237586,0.07100949649489688
2_Baccalaureate College,Resource Issues: Access to software,9.0,45.0,20.0,228.0,0.039473684210526314,Baccalaureate,9.0,219.0,0.25231326163506973,0.02527488176532367,0.04047137691178909,0.038475991509263535
"3_Master's (Small, Medium, Large)",Resource Issues: Access to software,10.0,45.0,22.22222222222222,204.0,0.049019607843137254,Masters,10.0,194.0,0.25231326163506973,0.029628093385599998,0.05047196536203921,0.0475672503242353
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to software,13.0,45.0,28.888888888888886,358.0,0.036312849162011177,Doctoral,13.0,345.0,0.25231326163506973,0.01937781363305202,0.03701651278555776,0.035609185538464594
