Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Faculty Issues: Expertise/training,34.0,160.0,21.25,119.0,0.2857142857142857,Associates,34.0,85.0,0.0036945893840987882,0.08116645351130616,0.3089047010032303,0.2625238704253411
2_Baccalaureate College,Faculty Issues: Expertise/training,52.0,160.0,32.5,121.0,0.4297520661157025,Baccalaureate,52.0,69.0,0.0036945893840987882,0.0882056191366127,0.46765861318267654,0.39184551904872844
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,41.0,160.0,25.624999999999996,93.0,0.44086021505376344,Masters,41.0,52.0,0.0036945893840987882,0.10090606451183,0.48534568435467773,0.39637474575284914
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,33.0,160.0,20.625,127.0,0.25984251968503935,Doctoral,33.0,94.0,0.0036945893840987882,0.07627169647915111,0.2796611494788345,0.24002388989124418
1_Associate's College,Faculty Issues: Time,32.0,127.0,25.196850393700785,119.0,0.2689075630252101,Associates,32.0,87.0,0.966300065158467,0.07966402851821176,0.29032982279481323,0.24748530325560691
2_Baccalaureate College,Faculty Issues: Time,32.0,127.0,25.196850393700785,121.0,0.2644628099173554,Baccalaureate,32.0,89.0,0.966300065158467,0.07858506704589,0.2852456375658552,0.24367998226885554
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,26.0,127.0,20.47244094488189,93.0,0.27956989247311825,Masters,26.0,67.0,0.966300065158467,0.09121111054372408,0.3050697728401809,0.2540700121060556
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,37.0,127.0,29.133858267716533,127.0,0.29133858267716534,Doctoral,37.0,90.0,0.966300065158467,0.07902502216799702,0.31436162063162115,0.2683155447227095
1_Associate's College,Faculty Issues: Curriculum design/integration,6.0,28.0,21.428571428571427,119.0,0.05042016806722689,Associates,6.0,113.0,0.5553792682098105,0.039313571149044095,0.052402364931884576,0.04843797120256921
2_Baccalaureate College,Faculty Issues: Curriculum design/integration,5.0,28.0,17.857142857142858,121.0,0.04132231404958678,Baccalaureate,5.0,116.0,0.5553792682098105,0.035463699009565225,0.04278775615742005,0.039856871941753504
"3_Master's (Small, Medium, Large)",Faculty Issues: Curriculum design/integration,7.0,28.0,25.0,93.0,0.07526881720430108,Masters,7.0,86.0,0.5553792682098105,0.053619395541810985,0.07930468568594276,0.0712329487226594
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Curriculum design/integration,10.0,28.0,35.714285714285715,127.0,0.07874015748031496,Doctoral,10.0,117.0,0.5553792682098105,0.0468420011552584,0.0824285040279731,0.07505181093265682
1_Associate's College,Curriculum Issues: No space,26.0,100.0,26.0,119.0,0.2184873949579832,Associates,26.0,93.0,0.6374612666452002,0.07424304867349527,0.23470856525639391,0.20226622465957247
2_Baccalaureate College,Curriculum Issues: No space,31.0,100.0,31.0,121.0,0.256198347107438,Baccalaureate,31.0,90.0,0.6374612666452002,0.07778075191114392,0.27612564718384675,0.23627104703102922
"3_Master's (Small, Medium, Large)",Curriculum Issues: No space,18.0,100.0,18.0,93.0,0.1935483870967742,Masters,18.0,75.0,0.6374612666452002,0.08029537901689879,0.2090894281968191,0.17800734599672927
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: No space,25.0,100.0,25.0,127.0,0.1968503937007874,Doctoral,25.0,102.0,0.6374612666452002,0.06915325068642544,0.21046323832409952,0.1832375490774753
1_Associate's College,Curriculum Issues: Incompatible with current curriculum,19.0,49.0,38.775510204081634,119.0,0.15966386554621848,Associates,19.0,100.0,0.022974764822134924,0.06581190307259463,0.170171648389742,0.14915608270269495
2_Baccalaureate College,Curriculum Issues: Incompatible with current curriculum,5.0,49.0,10.204081632653061,121.0,0.04132231404958678,Baccalaureate,5.0,116.0,0.022974764822134924,0.035463699009565225,0.04278775615742005,0.039856871941753504
"3_Master's (Small, Medium, Large)",Curriculum Issues: Incompatible with current curriculum,9.0,49.0,18.367346938775512,93.0,0.0967741935483871,Masters,9.0,84.0,0.022974764822134924,0.06008755960447853,0.10258911867140115,0.09095926842537304
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Incompatible with current curriculum,16.0,49.0,32.6530612244898,127.0,0.12598425196850394,Doctoral,16.0,111.0,0.022974764822134924,0.057711716331677036,0.13325501938036877,0.11871348455663912
