"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Associate's College","Faculty Issues: Expertise/training",34,160,21.25,119,0.285714285714286,"Associates"
"2","2_Baccalaureate College","Faculty Issues: Expertise/training",52,160,32.5,121,0.429752066115702,"Baccalaureate"
"3","3_Master's (Small, Medium, Large)","Faculty Issues: Expertise/training",41,160,25.625,93,0.440860215053763,"Masters"
"4","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Expertise/training",33,160,20.625,127,0.259842519685039,"Doctoral"
"5","1_Associate's College","Faculty Issues: Time",32,127,25.1968503937008,119,0.26890756302521,"Associates"
"6","2_Baccalaureate College","Faculty Issues: Time",32,127,25.1968503937008,121,0.264462809917355,"Baccalaureate"
"7","3_Master's (Small, Medium, Large)","Faculty Issues: Time",26,127,20.4724409448819,93,0.279569892473118,"Masters"
"8","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Time",37,127,29.1338582677165,127,0.291338582677165,"Doctoral"
"9","1_Associate's College","Faculty Issues: Curriculum design/integration",6,28,21.4285714285714,119,0.0504201680672269,"Associates"
"10","2_Baccalaureate College","Faculty Issues: Curriculum design/integration",5,28,17.8571428571429,121,0.0413223140495868,"Baccalaureate"
"11","3_Master's (Small, Medium, Large)","Faculty Issues: Curriculum design/integration",7,28,25,93,0.0752688172043011,"Masters"
"12","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Curriculum design/integration",10,28,35.7142857142857,127,0.078740157480315,"Doctoral"
"13","1_Associate's College","Faculty Issues: Lack of interest",2,8,25,119,0.0168067226890756,"Associates"
"14","2_Baccalaureate College","Faculty Issues: Lack of interest",5,8,62.5,121,0.0413223140495868,"Baccalaureate"
"15","3_Master's (Small, Medium, Large)","Faculty Issues: Lack of interest",1,8,12.5,93,0.010752688172043,"Masters"
"16","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Lack of interest",0,8,0,127,0,"Doctoral"
"17","1_Associate's College","Faculty Issues: New Faculty",0,2,0,119,0,"Associates"
"18","2_Baccalaureate College","Faculty Issues: New Faculty",0,2,0,121,0,"Baccalaureate"
"19","3_Master's (Small, Medium, Large)","Faculty Issues: New Faculty",1,2,50,93,0.010752688172043,"Masters"
"20","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: New Faculty",1,2,50,127,0.0078740157480315,"Doctoral"
"21","1_Associate's College","Curriculum Issues: No space",26,100,26,119,0.218487394957983,"Associates"
"22","2_Baccalaureate College","Curriculum Issues: No space",31,100,31,121,0.256198347107438,"Baccalaureate"
"23","3_Master's (Small, Medium, Large)","Curriculum Issues: No space",18,100,18,93,0.193548387096774,"Masters"
"24","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: No space",25,100,25,127,0.196850393700787,"Doctoral"
"25","1_Associate's College","Curriculum Issues: Incompatible with current curriculum",19,49,38.7755102040816,119,0.159663865546218,"Associates"
"26","2_Baccalaureate College","Curriculum Issues: Incompatible with current curriculum",5,49,10.2040816326531,121,0.0413223140495868,"Baccalaureate"
"27","3_Master's (Small, Medium, Large)","Curriculum Issues: Incompatible with current curriculum",9,49,18.3673469387755,93,0.0967741935483871,"Masters"
"28","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Incompatible with current curriculum",16,49,32.6530612244898,127,0.125984251968504,"Doctoral"
"29","1_Associate's College","Curriculum Issues: Time needed to develop",9,30,30,119,0.0756302521008403,"Associates"
"30","2_Baccalaureate College","Curriculum Issues: Time needed to develop",10,30,33.3333333333333,121,0.0826446280991736,"Baccalaureate"
"31","3_Master's (Small, Medium, Large)","Curriculum Issues: Time needed to develop",4,30,13.3333333333333,93,0.043010752688172,"Masters"
"32","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: Time needed to develop",7,30,23.3333333333333,127,0.0551181102362205,"Doctoral"
"33","1_Associate's College","Curriculum Issues: No control",10,19,52.6315789473684,119,0.0840336134453782,"Associates"
"34","2_Baccalaureate College","Curriculum Issues: No control",1,19,5.26315789473684,121,0.00826446280991736,"Baccalaureate"
"35","3_Master's (Small, Medium, Large)","Curriculum Issues: No control",2,19,10.5263157894737,93,0.021505376344086,"Masters"
"36","4_Doctoral University (High, Higher, Highest Research Activity)","Curriculum Issues: No control",6,19,31.5789473684211,127,0.047244094488189,"Doctoral"
