Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Dedicated course for life-science majors,Faculty Issues: Expertise/training,12.0,146.0,8.21917808219178,132.0,0.09090909090909091,Dedicated_Course,12.0,120.0,0.05175859061707617,0.0490420301802564,0.09536745728911422,0.0864507245290676
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Expertise/training,48.0,146.0,32.87671232876712,263.0,0.18250950570342206,Integrating_Bioinformatics,48.0,215.0,0.05175859061707617,0.046682522685884645,0.19102950984381165,0.17398950156303247
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Expertise/training,86.0,146.0,58.9041095890411,591.0,0.1455160744500846,Not_Integrating_Bioinformatics,86.0,505.0,0.05175859061707617,0.028429013149664284,0.1496529528441136,0.14137919605605562
1_Dedicated course for life-science majors,Faculty Issues: Time,10.0,72.0,13.88888888888889,132.0,0.07575757575757576,Dedicated_Course,10.0,122.0,0.37330038937208193,0.04514057736306043,0.07917731646689852,0.072337835048253
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Time,24.0,72.0,33.33333333333333,263.0,0.09125475285171103,Integrating_Bioinformatics,24.0,239.0,0.37330038937208193,0.03480318897150268,0.0944307092597569,0.08807879644366516
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Time,38.0,72.0,52.77777777777778,591.0,0.06429780033840947,Not_Integrating_Bioinformatics,38.0,553.0,0.37330038937208193,0.019775215898351274,0.0655693032218906,0.06302629745492834
1_Dedicated course for life-science majors,Faculty Issues: Too few faculty,10.0,44.0,22.727272727272727,132.0,0.07575757575757576,Dedicated_Course,10.0,122.0,0.047156232918356696,0.04514057736306043,0.07917731646689852,0.072337835048253
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Too few faculty,15.0,44.0,34.090909090909086,263.0,0.057034220532319393,Integrating_Bioinformatics,15.0,248.0,0.047156232918356696,0.028027601772028597,0.0586327529527773,0.05543568811186149
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Too few faculty,19.0,44.0,43.18181818181818,591.0,0.032148900169204735,Not_Integrating_Bioinformatics,19.0,572.0,0.047156232918356696,0.014221378149871726,0.03260610183561347,0.031691698502796
1_Dedicated course for life-science majors,Faculty Issues: Lack of interest,7.0,32.0,21.875,132.0,0.05303030303030303,Dedicated_Course,7.0,125.0,0.3551130425761136,0.03822884885132227,0.0550575904693883,0.05100301559121776
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Lack of interest,8.0,32.0,25.0,263.0,0.030418250950570342,Integrating_Bioinformatics,8.0,255.0,0.3551130425761136,0.020755325658229653,0.03104959165500318,0.029786910246137503
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Lack of interest,17.0,32.0,53.125,591.0,0.028764805414551606,Not_Integrating_Bioinformatics,17.0,574.0,0.3551130425761136,0.013475574102541018,0.02915242768146057,0.02837718314764264
1_Dedicated course for life-science majors,Curriculum Issues: No space,7.0,50.0,14.000000000000002,132.0,0.05303030303030303,Dedicated_Course,7.0,125.0,0.7441756074805431,0.03822884885132227,0.0550575904693883,0.05100301559121776
2_Include 'substantial' bioinformatics in courses for life-science majors,Curriculum Issues: No space,11.0,50.0,22.0,263.0,0.04182509505703422,Integrating_Bioinformatics,11.0,252.0,0.7441756074805431,0.024194189685856803,0.0428370193404731,0.040813170773595336
