"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Dedicated course for life-science majors","Faculty Issues: Expertise/training",12,146,8.21917808219178,132,0.0909090909090909,"Dedicated_Course"
"2","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",48,146,32.8767123287671,263,0.182509505703422,"Integrating_Bioinformatics"
"3","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",86,146,58.9041095890411,591,0.145516074450085,"Not_Integrating_Bioinformatics"
"4","1_Dedicated course for life-science majors","Faculty Issues: Time",10,72,13.8888888888889,132,0.0757575757575758,"Dedicated_Course"
"5","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",24,72,33.3333333333333,263,0.091254752851711,"Integrating_Bioinformatics"
"6","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",38,72,52.7777777777778,591,0.0642978003384095,"Not_Integrating_Bioinformatics"
"7","1_Dedicated course for life-science majors","Faculty Issues: Too few faculty",10,44,22.7272727272727,132,0.0757575757575758,"Dedicated_Course"
"8","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Too few faculty",15,44,34.0909090909091,263,0.0570342205323194,"Integrating_Bioinformatics"
"9","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Too few faculty",19,44,43.1818181818182,591,0.0321489001692047,"Not_Integrating_Bioinformatics"
"10","1_Dedicated course for life-science majors","Faculty Issues: Lack of interest",7,32,21.875,132,0.053030303030303,"Dedicated_Course"
"11","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Lack of interest",8,32,25,263,0.0304182509505703,"Integrating_Bioinformatics"
"12","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Lack of interest",17,32,53.125,591,0.0287648054145516,"Not_Integrating_Bioinformatics"
"13","1_Dedicated course for life-science majors","Curriculum Issues: No space",7,50,14,132,0.053030303030303,"Dedicated_Course"
"14","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No space",11,50,22,263,0.0418250950570342,"Integrating_Bioinformatics"
"15","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No space",32,50,64,591,0.0541455160744501,"Not_Integrating_Bioinformatics"
"16","1_Dedicated course for life-science majors","Curriculum Issues: Incompatible with current curriculum",7,27,25.9259259259259,132,0.053030303030303,"Dedicated_Course"
"17","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Incompatible with current curriculum",6,27,22.2222222222222,263,0.0228136882129278,"Integrating_Bioinformatics"
"18","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Incompatible with current curriculum",14,27,51.8518518518518,591,0.0236886632825719,"Not_Integrating_Bioinformatics"
"19","1_Dedicated course for life-science majors","Curriculum Issues: Integration needed at every level",5,22,22.7272727272727,132,0.0378787878787879,"Dedicated_Course"
"20","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Integration needed at every level",5,22,22.7272727272727,263,0.0190114068441065,"Integrating_Bioinformatics"
"21","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Integration needed at every level",12,22,54.5454545454545,591,0.0203045685279188,"Not_Integrating_Bioinformatics"
"22","1_Dedicated course for life-science majors","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,132,0.00757575757575758,"Dedicated_Course"
"23","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Bioinformatics curriculum is under development",6,18,33.3333333333333,263,0.0228136882129278,"Integrating_Bioinformatics"
"24","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Bioinformatics curriculum is under development",11,18,61.1111111111111,591,0.0186125211505922,"Not_Integrating_Bioinformatics"
"25","1_Dedicated course for life-science majors","Curriculum Issues: Not required for life sci/pre-med majors",2,13,15.3846153846154,132,0.0151515151515152,"Dedicated_Course"
"26","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Not required for life sci/pre-med majors",5,13,38.4615384615385,263,0.0190114068441065,"Integrating_Bioinformatics"
"27","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Not required for life sci/pre-med majors",6,13,46.1538461538462,591,0.0101522842639594,"Not_Integrating_Bioinformatics"
"28","1_Dedicated course for life-science majors","Curriculum Issues: Class size",0,4,0,132,0,"Dedicated_Course"
"29","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Class size",0,4,0,263,0,"Integrating_Bioinformatics"
"30","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Class size",4,4,100,591,0.00676818950930626,"Not_Integrating_Bioinformatics"
"31","1_Dedicated course for life-science majors","Curriculum Issues: Too few seats",0,4,0,132,0,"Dedicated_Course"
"32","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Too few seats",0,4,0,263,0,"Integrating_Bioinformatics"
"33","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Too few seats",4,4,100,591,0.00676818950930626,"Not_Integrating_Bioinformatics"
"34","1_Dedicated course for life-science majors","Student Issues: Lack of interest",8,38,21.0526315789474,132,0.0606060606060606,"Dedicated_Course"
"35","2_Include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Lack of interest",12,38,31.5789473684211,263,0.0456273764258555,"Integrating_Bioinformatics"
"36","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Lack of interest",18,38,47.3684210526316,591,0.0304568527918782,"Not_Integrating_Bioinformatics"
"37","1_Dedicated course for life-science majors","Student Issues: Background knowledge",8,31,25.8064516129032,132,0.0606060606060606,"Dedicated_Course"
"38","2_Include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Background knowledge",12,31,38.7096774193548,263,0.0456273764258555,"Integrating_Bioinformatics"
"39","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Student Issues: Background knowledge",11,31,35.4838709677419,591,0.0186125211505922,"Not_Integrating_Bioinformatics"
"40","1_Dedicated course for life-science majors","Institutional: Institutional inertia",3,25,12,132,0.0227272727272727,"Dedicated_Course"
"41","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional: Institutional inertia",5,25,20,263,0.0190114068441065,"Integrating_Bioinformatics"
"42","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional: Institutional inertia",17,25,68,591,0.0287648054145516,"Not_Integrating_Bioinformatics"
"43","1_Dedicated course for life-science majors","Institutional: Inter-departmental cooperation",5,15,33.3333333333333,132,0.0378787878787879,"Dedicated_Course"
"44","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional: Inter-departmental cooperation",6,15,40,263,0.0228136882129278,"Integrating_Bioinformatics"
"45","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional: Inter-departmental cooperation",4,15,26.6666666666667,591,0.00676818950930626,"Not_Integrating_Bioinformatics"
"46","1_Dedicated course for life-science majors","Institutional: IT support",2,7,28.5714285714286,132,0.0151515151515152,"Dedicated_Course"
"47","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional: IT support",3,7,42.8571428571429,263,0.0114068441064639,"Integrating_Bioinformatics"
"48","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional: IT support",2,7,28.5714285714286,591,0.00338409475465313,"Not_Integrating_Bioinformatics"
"49","1_Dedicated course for life-science majors","Institutional: State regulation",0,2,0,132,0,"Dedicated_Course"
"50","2_Include 'substantial' bioinformatics in courses for life-science majors","Institutional: State regulation",1,2,50,263,0.00380228136882129,"Integrating_Bioinformatics"
"51","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Institutional: State regulation",1,2,50,591,0.00169204737732657,"Not_Integrating_Bioinformatics"
"52","1_Dedicated course for life-science majors","Resource Issues: Funding",1,25,4,132,0.00757575757575758,"Dedicated_Course"
