"","Dedicated_Course","Integrating_Bioinformatics","Not_Integrating_Bioinformatics"
"Faculty Issues: Expertise/training","12","48","86"
"Faculty Issues: Time","10","24","38"
"Faculty Issues: Too few faculty","10","15","19"
"Faculty Issues: Lack of interest"," 7"," 8","17"
"Curriculum Issues: No space"," 7","11","32"
"Curriculum Issues: Incompatible with current curriculum"," 7"," 6","14"
"Curriculum Issues: Integration needed at every level"," 5"," 5","12"
"Curriculum Issues: Bioinformatics curriculum is under development"," 1"," 6","11"
"Curriculum Issues: Not required for life sci/pre-med majors","2","5","6"
"Curriculum Issues: Class size","0","0","4"
"Curriculum Issues: Too few seats","0","0","4"
"Student Issues: Lack of interest"," 8","12","18"
"Student Issues: Background knowledge"," 8","12","11"
"Institutional: Institutional inertia"," 3"," 5","17"
"Institutional: Inter-departmental cooperation","5","6","4"
"Institutional: IT support","2","3","2"
"Institutional: State regulation","0","1","1"
"Resource Issues: Funding"," 1","10","14"
"Resource Issues: Access to software","1","3","6"
"Resource Issues: Access to bioinformatics lesson plans/curricula","0","1","3"
"Facilities: Access to computer(s)/labs"," 3"," 5","11"
"Facilities: Servers","1","2","0"
