Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Dedicated course for life-science majors,Facilities Issues: Access to computer labs,19.0,162.0,11.728395061728394,132.0,0.14393939393939395,Dedicated.Course,19.0,113.0,0.7944522968199402,0.059882954092754584,0.1525589100588056,0.1353198778199823
2_Include 'substantial' bioinformatics in courses for life-science majors,Facilities Issues: Access to computer labs,44.0,162.0,27.160493827160494,263.0,0.16730038022813687,Integrating.Bioinformatics,44.0,219.0,0.7944522968199402,0.04510896514342799,0.17484712724833015,0.15975363320794359
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Facilities Issues: Access to computer labs,99.0,162.0,61.111111111111114,591.0,0.16751269035532995,Not.Integrating.Bioinformatics,99.0,492.0,0.7944522968199402,0.030106967820705984,0.17255598953341775,0.16246939117724216
1_Dedicated course for life-science majors,Resource Issues: Access to operating systems,9.0,53.0,16.9811320754717,132.0,0.06818181818181818,Dedicated.Course,9.0,123.0,0.529389343510634,0.0429992622812259,0.07111358606462903,0.06525005029900732
2_Include 'substantial' bioinformatics in courses for life-science majors,Resource Issues: Access to operating systems,16.0,53.0,30.18867924528302,263.0,0.060836501901140684,Integrating.Bioinformatics,16.0,247.0,0.529389343510634,0.028888363240375435,0.06259396886633463,0.05907903493594674
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Resource Issues: Access to operating systems,28.0,53.0,52.83018867924528,591.0,0.047377326565143825,Not.Integrating.Bioinformatics,28.0,563.0,0.529389343510634,0.017127740831033092,0.04818879313581883,0.04656585999446882
1_Dedicated course for life-science majors,Resource Issues: Apropriate software,10.0,44.0,22.727272727272727,132.0,0.07575757575757576,Dedicated.Course,10.0,122.0,0.024663493569605514,0.04514057736306043,0.07917731646689852,0.072337835048253
2_Include 'substantial' bioinformatics in courses for life-science majors,Resource Issues: Apropriate software,16.0,44.0,36.36363636363637,263.0,0.060836501901140684,Integrating.Bioinformatics,16.0,247.0,0.024663493569605514,0.028888363240375435,0.06259396886633463,0.05907903493594674
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Resource Issues: Apropriate software,18.0,44.0,40.909090909090914,591.0,0.030456852791878174,Not.Integrating.Bioinformatics,18.0,573.0,0.024663493569605514,0.013854167473940826,0.030878807131186015,0.030034898452570333
1_Dedicated course for life-science majors,Resource Issues: Access to high-performance computing,5.0,66.0,7.575757575757576,132.0,0.03787878787878788,Dedicated.Course,5.0,127.0,0.34736969553051755,0.032566722746750466,0.039112375861619336,0.036645199895956423
2_Include 'substantial' bioinformatics in courses for life-science majors,Resource Issues: Access to high-performance computing,18.0,66.0,27.27272727272727,263.0,0.06844106463878327,Integrating.Bioinformatics,18.0,245.0,0.34736969553051755,0.030516432614571255,0.07052964177590222,0.06635248750166432
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Resource Issues: Access to high-performance computing,43.0,66.0,65.15151515151516,591.0,0.0727580372250423,Not.Integrating.Bioinformatics,43.0,548.0,0.34736969553051755,0.020940708759595795,0.07428164209249175,0.07123443235759286
1_Dedicated course for life-science majors,Institutional Issues: Access to IT support,21.0,127.0,16.535433070866144,132.0,0.1590909090909091,Dedicated.Course,21.0,111.0,0.0970707302068135,0.06239622722809977,0.16901758160447042,0.14916423657734776
2_Include 'substantial' bioinformatics in courses for life-science majors,Institutional Issues: Access to IT support,41.0,127.0,32.28346456692913,263.0,0.155893536121673,Integrating.Bioinformatics,41.0,222.0,0.0970707302068135,0.04384124552099028,0.16272810291391865,0.14905896932942736
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Institutional Issues: Access to IT support,65.0,127.0,51.181102362204726,591.0,0.10998307952622674,Not.Integrating.Bioinformatics,65.0,526.0,0.0970707302068135,0.025224143015083363,0.11275730845343557,0.10720885059901791
