Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Dedicated course for life-science majors,Faculty Issues: Expertise/training,27.0,282.0,9.574468085106384,132.0,0.20454545454545456,Dedicated.Course,27.0,105.0,0.06378579614028596,0.0688119279323801,0.21862062162253232,0.1904702874683768
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Expertise/training,74.0,282.0,26.24113475177305,263.0,0.2813688212927757,Integrating.Bioinformatics,74.0,189.0,0.06378579614028596,0.054345204863166345,0.29665986752803924,0.2660777750575121
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Expertise/training,181.0,282.0,64.18439716312056,591.0,0.3062605752961083,Not.Integrating.Bioinformatics,181.0,410.0,0.06378579614028596,0.03716191498769097,0.31764180475934356,0.294879345832873
1_Dedicated course for life-science majors,Faculty Issues: Time,8.0,83.0,9.63855421686747,132.0,0.06060606060606061,Dedicated.Course,8.0,124.0,0.24516908596827539,0.040704556788381696,0.06307300344172011,0.05813911777040111
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculty Issues: Time,28.0,83.0,33.734939759036145,263.0,0.10646387832699619,Integrating.Bioinformatics,28.0,235.0,0.24516908596827539,0.037275837953778174,0.11043240860344405,0.10249534805054833
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculty Issues: Time,47.0,83.0,56.62650602409639,591.0,0.07952622673434856,Not.Integrating.Bioinformatics,47.0,544.0,0.24516908596827539,0.02181299242344976,0.08126093171557046,0.07779152175312666
1_Dedicated course for life-science majors,Faculities Issues: Access to computer labs,5.0,44.0,11.363636363636363,132.0,0.03787878787878788,Dedicated.Course,5.0,127.0,0.8655195943714674,0.032566722746750466,0.039112375861619336,0.036645199895956423
2_Include 'substantial' bioinformatics in courses for life-science majors,Faculities Issues: Access to computer labs,13.0,44.0,29.545454545454547,263.0,0.049429657794676805,Integrating.Bioinformatics,13.0,250.0,0.8655195943714674,0.026197276794304346,0.050724580221771697,0.048134735367581914
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Faculities Issues: Access to computer labs,26.0,44.0,59.09090909090909,591.0,0.043993231810490696,Not.Integrating.Bioinformatics,26.0,565.0,0.8655195943714674,0.01653399369170813,0.044720615627723205,0.04326584799325819
1_Dedicated course for life-science majors,Resource Issues: Access to software,6.0,44.0,13.636363636363635,132.0,0.045454545454545456,Dedicated.Course,6.0,126.0,0.0038055513670814407,0.03553432678700441,0.04706974212668202,0.043839348782408895
2_Include 'substantial' bioinformatics in courses for life-science majors,Resource Issues: Access to software,21.0,44.0,47.72727272727273,263.0,0.07984790874524715,Integrating.Bioinformatics,21.0,242.0,0.0038055513670814407,0.032759087696157985,0.08246365339018752,0.07723216410030678
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Resource Issues: Access to software,17.0,44.0,38.63636363636363,591.0,0.028764805414551606,Not.Integrating.Bioinformatics,17.0,574.0,0.0038055513670814407,0.013475574102541018,0.02915242768146057,0.02837718314764264
1_Dedicated course for life-science majors,Student Issues: Lack of background skills/knowledge,45.0,171.0,26.31578947368421,132.0,0.3409090909090909,Dedicated.Course,45.0,87.0,2.7501994603851517e-7,0.08086360101381806,0.36847622761834703,0.31334195419983474
2_Include 'substantial' bioinformatics in courses for life-science majors,Student Issues: Lack of background skills/knowledge,42.0,171.0,24.561403508771928,263.0,0.1596958174904943,Integrating.Bioinformatics,42.0,221.0,2.7501994603851517e-7,0.04427262270822913,0.16676597016633318,0.15262566481465542
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Student Issues: Lack of background skills/knowledge,84.0,171.0,49.122807017543856,591.0,0.14213197969543148,Not.Integrating.Bioinformatics,84.0,507.0,2.7501994603851517e-7,0.02815208028708162,0.14613329059917912,0.13813066879168384
1_Dedicated course for life-science majors,Student Issues: Lack of interest,17.0,93.0,18.27956989247312,132.0,0.12878787878787878,Dedicated.Course,17.0,115.0,0.03221320526143255,0.05714267606306278,0.13614716282630354,0.12142859474945403
2_Include 'substantial' bioinformatics in courses for life-science majors,Student Issues: Lack of interest,32.0,93.0,34.40860215053764,263.0,0.12167300380228137,Integrating.Bioinformatics,32.0,231.0,0.03221320526143255,0.03950894631363787,0.12648017597732475,0.11686583162723797
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Student Issues: Lack of interest,44.0,93.0,47.31182795698925,591.0,0.07445008460236886,Not.Integrating.Bioinformatics,44.0,547.0,0.03221320526143255,0.021163469718076554,0.07602570671335933,0.0728744624913784
1_Dedicated course for life-science majors,Student Issues: Intimidated by topic,9.0,30.0,30.0,132.0,0.06818181818181818,Dedicated.Course,9.0,123.0,0.0014548355071528143,0.0429992622812259,0.07111358606462903,0.06525005029900732
2_Include 'substantial' bioinformatics in courses for life-science majors,Student Issues: Intimidated by topic,12.0,30.0,40.0,263.0,0.045627376425855515,Integrating.Bioinformatics,12.0,251.0,0.0014548355071528143,0.025219818226938667,0.0467780905654877,0.04447666228622333
"3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors",Student Issues: Intimidated by topic,9.0,30.0,30.0,591.0,0.015228426395939087,Not.Integrating.Bioinformatics,9.0,582.0,0.0014548355071528143,0.009873010905884121,0.015378776815825647,0.015078075976052527
1_Dedicated course for life-science majors,Curriculum Issues: Lack of integration,11.0,75.0,14.666666666666666,132.0,0.08333333333333333,Dedicated.Course,11.0,121.0,0.7692479963776004,0.04714940558650715,0.08726245046554226,0.0794042162011244
2_Include 'substantial' bioinformatics in courses for life-science majors,Curriculum Issues: Lack of integration,22.0,75.0,29.333333333333332,263.0,0.08365019011406843,Integrating.Bioinformatics,22.0,241.0,0.7692479963776004,0.03346064666826978,0.08644917956920888,0.080851200658928
