"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Dedicated course for life-science majors","Faculty Issues: Expertise/training",0,187,0,132,0,"Dedicated.Course"
"2","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",0,187,0,263,0,"Integrating.Bioinformatics"
"3","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Expertise/training",187,187,100,591,0.316412859560068,"Not.Integrating.Bioinformatics"
"4","1_Dedicated course for life-science majors","Faculty Issues: Time",0,147,0,132,0,"Dedicated.Course"
"5","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",0,147,0,263,0,"Integrating.Bioinformatics"
"6","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Time",147,147,100,591,0.248730964467005,"Not.Integrating.Bioinformatics"
"7","1_Dedicated course for life-science majors","Faculty Issues: Curriculum design/integration",0,36,0,132,0,"Dedicated.Course"
"8","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Curriculum design/integration",0,36,0,263,0,"Integrating.Bioinformatics"
"9","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Curriculum design/integration",36,36,100,591,0.0609137055837563,"Not.Integrating.Bioinformatics"
"10","1_Dedicated course for life-science majors","Faculty Issues: Lack of interest",0,9,0,132,0,"Dedicated.Course"
"11","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Lack of interest",0,9,0,263,0,"Integrating.Bioinformatics"
"12","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: Lack of interest",9,9,100,591,0.0152284263959391,"Not.Integrating.Bioinformatics"
"13","1_Dedicated course for life-science majors","Faculty Issues: New Faculty",0,4,0,132,0,"Dedicated.Course"
"14","2_Include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: New Faculty",0,4,0,263,0,"Integrating.Bioinformatics"
"15","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Faculty Issues: New Faculty",4,4,100,591,0.00676818950930626,"Not.Integrating.Bioinformatics"
"16","1_Dedicated course for life-science majors","Curriculum Issues: No space",0,112,0,132,0,"Dedicated.Course"
"17","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No space",0,112,0,263,0,"Integrating.Bioinformatics"
"18","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No space",112,112,100,591,0.189509306260575,"Not.Integrating.Bioinformatics"
"19","1_Dedicated course for life-science majors","Curriculum Issues: Incompatible with current curriculum",0,60,0,132,0,"Dedicated.Course"
"20","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Incompatible with current curriculum",0,60,0,263,0,"Integrating.Bioinformatics"
"21","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Incompatible with current curriculum",60,60,100,591,0.101522842639594,"Not.Integrating.Bioinformatics"
"22","1_Dedicated course for life-science majors","Curriculum Issues: Time needed to develop",0,36,0,132,0,"Dedicated.Course"
"23","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Time needed to develop",0,36,0,263,0,"Integrating.Bioinformatics"
"24","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Time needed to develop",36,36,100,591,0.0609137055837563,"Not.Integrating.Bioinformatics"
"25","1_Dedicated course for life-science majors","Curriculum Issues: No control",0,27,0,132,0,"Dedicated.Course"
"26","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No control",0,27,0,263,0,"Integrating.Bioinformatics"
"27","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: No control",27,27,100,591,0.0456852791878173,"Not.Integrating.Bioinformatics"
"28","1_Dedicated course for life-science majors","Curriculum Issues: Covered elsewhere",0,16,0,132,0,"Dedicated.Course"
"29","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Covered elsewhere",0,16,0,263,0,"Integrating.Bioinformatics"
"30","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Covered elsewhere",16,16,100,591,0.027072758037225,"Not.Integrating.Bioinformatics"
"31","1_Dedicated course for life-science majors","Curriculum Issues: Class size",0,8,0,132,0,"Dedicated.Course"
"32","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Class size",0,8,0,263,0,"Integrating.Bioinformatics"
"33","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Class size",8,8,100,591,0.0135363790186125,"Not.Integrating.Bioinformatics"
"34","1_Dedicated course for life-science majors","Curriculum Issues: Plan for future coverage",0,9,0,132,0,"Dedicated.Course"
"35","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Plan for future coverage",0,9,0,263,0,"Integrating.Bioinformatics"
"36","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Plan for future coverage",9,9,100,591,0.0152284263959391,"Not.Integrating.Bioinformatics"
"37","1_Dedicated course for life-science majors","Curriculum Issues: Too much content",0,6,0,132,0,"Dedicated.Course"
"38","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Too much content",0,6,0,263,0,"Integrating.Bioinformatics"
"39","3_Do NOT currently, but would like to include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Too much content",6,6,100,591,0.0101522842639594,"Not.Integrating.Bioinformatics"
"40","1_Dedicated course for life-science majors","Curriculum Issues: Content requires several courses",0,1,0,132,0,"Dedicated.Course"
"41","2_Include 'substantial' bioinformatics in courses for life-science majors","Curriculum Issues: Content requires several courses",0,1,0,263,0,"Integrating.Bioinformatics"
