"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1970-1979","Faculty Issues: Expertise/training",4,142,2.8169014084507,51,0.0784313725490196,"K1970D1979"
"2","1980-1989","Faculty Issues: Expertise/training",21,142,14.7887323943662,190,0.110526315789474,"K1980D1989"
"3","1990-1999","Faculty Issues: Expertise/training",39,142,27.4647887323944,284,0.137323943661972,"K1990D1999"
"4","2000-2010","Faculty Issues: Expertise/training",55,142,38.7323943661972,345,0.159420289855072,"K2000D2010"
"5","2010-2016","Faculty Issues: Expertise/training",23,142,16.1971830985916,149,0.154362416107383,"K2010D2016"
"6","1970-1979","Faculty Issues: Time",4,69,5.79710144927536,51,0.0784313725490196,"K1970D1979"
"7","1980-1989","Faculty Issues: Time",8,69,11.5942028985507,190,0.0421052631578947,"K1980D1989"
"8","1990-1999","Faculty Issues: Time",25,69,36.231884057971,284,0.0880281690140845,"K1990D1999"
"9","2000-2010","Faculty Issues: Time",23,69,33.3333333333333,345,0.0666666666666667,"K2000D2010"
"10","2010-2016","Faculty Issues: Time",9,69,13.0434782608696,149,0.0604026845637584,"K2010D2016"
"11","1970-1979","Faculty Issues: Too few faculty",1,43,2.32558139534884,51,0.0196078431372549,"K1970D1979"
"12","1980-1989","Faculty Issues: Too few faculty",8,43,18.6046511627907,190,0.0421052631578947,"K1980D1989"
"13","1990-1999","Faculty Issues: Too few faculty",10,43,23.2558139534884,284,0.0352112676056338,"K1990D1999"
"14","2000-2010","Faculty Issues: Too few faculty",18,43,41.8604651162791,345,0.0521739130434783,"K2000D2010"
"15","2010-2016","Faculty Issues: Too few faculty",6,43,13.953488372093,149,0.0402684563758389,"K2010D2016"
"16","1970-1979","Faculty Issues: Lack of interest",1,30,3.33333333333333,51,0.0196078431372549,"K1970D1979"
"17","1980-1989","Faculty Issues: Lack of interest",5,30,16.6666666666667,190,0.0263157894736842,"K1980D1989"
"18","1990-1999","Faculty Issues: Lack of interest",10,30,33.3333333333333,284,0.0352112676056338,"K1990D1999"
"19","2000-2010","Faculty Issues: Lack of interest",9,30,30,345,0.0260869565217391,"K2000D2010"
"20","2010-2016","Faculty Issues: Lack of interest",5,30,16.6666666666667,149,0.0335570469798658,"K2010D2016"
"21","1970-1979","Curriculum Issues: No space",0,48,0,51,0,"K1970D1979"
"22","1980-1989","Curriculum Issues: No space",2,48,4.16666666666667,190,0.0105263157894737,"K1980D1989"
"23","1990-1999","Curriculum Issues: No space",17,48,35.4166666666667,284,0.0598591549295775,"K1990D1999"
"24","2000-2010","Curriculum Issues: No space",24,48,50,345,0.0695652173913043,"K2000D2010"
"25","2010-2016","Curriculum Issues: No space",5,48,10.4166666666667,149,0.0335570469798658,"K2010D2016"
"26","1970-1979","Curriculum Issues: Incompatible with current curriculum",1,26,3.84615384615385,51,0.0196078431372549,"K1970D1979"
"27","1980-1989","Curriculum Issues: Incompatible with current curriculum",4,26,15.3846153846154,190,0.0210526315789474,"K1980D1989"
"28","1990-1999","Curriculum Issues: Incompatible with current curriculum",7,26,26.9230769230769,284,0.0246478873239437,"K1990D1999"
"29","2000-2010","Curriculum Issues: Incompatible with current curriculum",10,26,38.4615384615385,345,0.0289855072463768,"K2000D2010"
"30","2010-2016","Curriculum Issues: Incompatible with current curriculum",4,26,15.3846153846154,149,0.0268456375838926,"K2010D2016"
"31","1970-1979","Curriculum Issues: Integration needed at every level",1,21,4.76190476190476,51,0.0196078431372549,"K1970D1979"
"32","1980-1989","Curriculum Issues: Integration needed at every level",4,21,19.047619047619,190,0.0210526315789474,"K1980D1989"
"33","1990-1999","Curriculum Issues: Integration needed at every level",7,21,33.3333333333333,284,0.0246478873239437,"K1990D1999"
"34","2000-2010","Curriculum Issues: Integration needed at every level",9,21,42.8571428571429,345,0.0260869565217391,"K2000D2010"
"35","2010-2016","Curriculum Issues: Integration needed at every level",0,21,0,149,0,"K2010D2016"
"36","1970-1979","Curriculum Issues: Bioinformatics curriculum is under development",0,18,0,51,0,"K1970D1979"
"37","1980-1989","Curriculum Issues: Bioinformatics curriculum is under development",2,18,11.1111111111111,190,0.0105263157894737,"K1980D1989"
"38","1990-1999","Curriculum Issues: Bioinformatics curriculum is under development",8,18,44.4444444444444,284,0.028169014084507,"K1990D1999"
"39","2000-2010","Curriculum Issues: Bioinformatics curriculum is under development",7,18,38.8888888888889,345,0.0202898550724638,"K2000D2010"
"40","2010-2016","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,149,0.00671140939597315,"K2010D2016"
"41","1970-1979","Curriculum Issues: Not required for life sci/pre-med majors",0,12,0,51,0,"K1970D1979"
"42","1980-1989","Curriculum Issues: Not required for life sci/pre-med majors",1,12,8.33333333333333,190,0.00526315789473684,"K1980D1989"
"43","1990-1999","Curriculum Issues: Not required for life sci/pre-med majors",5,12,41.6666666666667,284,0.0176056338028169,"K1990D1999"
"44","2000-2010","Curriculum Issues: Not required for life sci/pre-med majors",4,12,33.3333333333333,345,0.0115942028985507,"K2000D2010"
"45","2010-2016","Curriculum Issues: Not required for life sci/pre-med majors",2,12,16.6666666666667,149,0.0134228187919463,"K2010D2016"
"46","1970-1979","Curriculum Issues: Class size",1,3,33.3333333333333,51,0.0196078431372549,"K1970D1979"
"47","1980-1989","Curriculum Issues: Class size",0,3,0,190,0,"K1980D1989"
"48","1990-1999","Curriculum Issues: Class size",1,3,33.3333333333333,284,0.00352112676056338,"K1990D1999"
"49","2000-2010","Curriculum Issues: Class size",0,3,0,345,0,"K2000D2010"
"50","2010-2016","Curriculum Issues: Class size",1,3,33.3333333333333,149,0.00671140939597315,"K2010D2016"
"51","1970-1979","Curriculum Issues: Too few seats",0,3,0,51,0,"K1970D1979"
"52","1980-1989","Curriculum Issues: Too few seats",1,3,33.3333333333333,190,0.00526315789473684,"K1980D1989"
"53","1990-1999","Curriculum Issues: Too few seats",1,3,33.3333333333333,284,0.00352112676056338,"K1990D1999"
"54","2000-2010","Curriculum Issues: Too few seats",0,3,0,345,0,"K2000D2010"
"55","2010-2016","Curriculum Issues: Too few seats",1,3,33.3333333333333,149,0.00671140939597315,"K2010D2016"
"56","1970-1979","Student Issues: Lack of interest",0,36,0,51,0,"K1970D1979"
"57","1980-1989","Student Issues: Lack of interest",3,36,8.33333333333333,190,0.0157894736842105,"K1980D1989"
"58","1990-1999","Student Issues: Lack of interest",16,36,44.4444444444444,284,0.0563380281690141,"K1990D1999"
"59","2000-2010","Student Issues: Lack of interest",10,36,27.7777777777778,345,0.0289855072463768,"K2000D2010"
"60","2010-2016","Student Issues: Lack of interest",7,36,19.4444444444444,149,0.0469798657718121,"K2010D2016"
"61","1970-1979","Student Issues: Background knowledge",2,29,6.89655172413793,51,0.0392156862745098,"K1970D1979"
"62","1980-1989","Student Issues: Background knowledge",6,29,20.6896551724138,190,0.0315789473684211,"K1980D1989"
"63","1990-1999","Student Issues: Background knowledge",7,29,24.1379310344828,284,0.0246478873239437,"K1990D1999"
"64","2000-2010","Student Issues: Background knowledge",10,29,34.4827586206897,345,0.0289855072463768,"K2000D2010"
"65","2010-2016","Student Issues: Background knowledge",4,29,13.7931034482759,149,0.0268456375838926,"K2010D2016"
"66","1970-1979","Institutional: Institutional inertia",0,24,0,51,0,"K1970D1979"
"67","1980-1989","Institutional: Institutional inertia",5,24,20.8333333333333,190,0.0263157894736842,"K1980D1989"
"68","1990-1999","Institutional: Institutional inertia",5,24,20.8333333333333,284,0.0176056338028169,"K1990D1999"
"69","2000-2010","Institutional: Institutional inertia",7,24,29.1666666666667,345,0.0202898550724638,"K2000D2010"
"70","2010-2016","Institutional: Institutional inertia",7,24,29.1666666666667,149,0.0469798657718121,"K2010D2016"
"71","1970-1979","Institutional: Inter-departmental cooperation",0,15,0,51,0,"K1970D1979"
"72","1980-1989","Institutional: Inter-departmental cooperation",4,15,26.6666666666667,190,0.0210526315789474,"K1980D1989"
"73","1990-1999","Institutional: Inter-departmental cooperation",6,15,40,284,0.0211267605633803,"K1990D1999"
"74","2000-2010","Institutional: Inter-departmental cooperation",4,15,26.6666666666667,345,0.0115942028985507,"K2000D2010"
"75","2010-2016","Institutional: Inter-departmental cooperation",1,15,6.66666666666667,149,0.00671140939597315,"K2010D2016"
"76","1970-1979","Institutional: IT support",0,7,0,51,0,"K1970D1979"
"77","1980-1989","Institutional: IT support",1,7,14.2857142857143,190,0.00526315789473684,"K1980D1989"
"78","1990-1999","Institutional: IT support",2,7,28.5714285714286,284,0.00704225352112676,"K1990D1999"
"79","2000-2010","Institutional: IT support",4,7,57.1428571428571,345,0.0115942028985507,"K2000D2010"
"80","2010-2016","Institutional: IT support",0,7,0,149,0,"K2010D2016"
