Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1980-1989,Faculty Issues: Expertise/training,21.0,138.0,15.217391304347828,190.0,0.11052631578947368,K1980D1989,21.0,169.0,0.452115010461756,0.044583143756289446,0.11545392641516883,0.10559870516377853
1990-1999,Faculty Issues: Expertise/training,39.0,138.0,28.26086956521739,284.0,0.13732394366197184,K1990D1999,39.0,245.0,0.452115010461756,0.04003003101973798,0.14282102538651334,0.13182686193743035
2000-2009,Faculty Issues: Expertise/training,55.0,138.0,39.85507246376812,345.0,0.15942028985507245,K2000D2009,55.0,290.0,0.452115010461756,0.03862778381034466,0.16557834234657667,0.15326223736356823
2010-2016,Faculty Issues: Expertise/training,23.0,138.0,16.666666666666664,149.0,0.15436241610738255,K2010D2016,23.0,126.0,0.452115010461756,0.05801200543254509,0.1633172894291848,0.1454075427855803
1980-1989,Faculty Issues: Time,8.0,65.0,12.307692307692308,190.0,0.042105263157894736,K1980D1989,8.0,182.0,0.2627163175385201,0.028556066002085705,0.04330762383166677,0.040902902484122705
1990-1999,Faculty Issues: Time,25.0,65.0,38.46153846153847,284.0,0.0880281690140845,K1990D1999,25.0,259.0,0.2627163175385201,0.032952659235387774,0.09092893127072074,0.08512740675744826
2000-2009,Faculty Issues: Time,23.0,65.0,35.38461538461539,345.0,0.06666666666666667,K2000D2009,23.0,322.0,0.2627163175385201,0.026321540437650233,0.06842143602917668,0.06491189730415665
2010-2016,Faculty Issues: Time,9.0,65.0,13.846153846153847,149.0,0.06040268456375839,K2010D2016,9.0,140.0,0.2627163175385201,0.038251983604750545,0.0627132070633742,0.05809216206414259
1980-1989,Faculty Issues: Too few faculty,8.0,42.0,19.047619047619047,190.0,0.042105263157894736,K1980D1989,8.0,182.0,0.767049308220107,0.028556066002085705,0.04330762383166677,0.040902902484122705
1990-1999,Faculty Issues: Too few faculty,10.0,42.0,23.809523809523807,284.0,0.035211267605633804,K1990D1999,10.0,274.0,0.767049308220107,0.021436104342936007,0.03596606001207521,0.0344564751991924
2000-2009,Faculty Issues: Too few faculty,18.0,42.0,42.857142857142854,345.0,0.05217391304347826,K2000D2009,18.0,327.0,0.767049308220107,0.023465487289207172,0.0533981993368282,0.05094962675012832
2010-2016,Faculty Issues: Too few faculty,6.0,42.0,14.285714285714285,149.0,0.040268456375838924,K2010D2016,6.0,143.0,0.767049308220107,0.03156547524076544,0.04153954933855431,0.038997363413123536
1980-1989,Faculty Issues: Lack of interest,5.0,29.0,17.24137931034483,190.0,0.02631578947368421,K1980D1989,5.0,185.0,0.8962659745372659,0.022760854155092203,0.026914759319870845,0.025716819627497573
1990-1999,Faculty Issues: Lack of interest,10.0,29.0,34.48275862068966,284.0,0.035211267605633804,K1990D1999,10.0,274.0,0.8962659745372659,0.021436104342936007,0.03596606001207521,0.0344564751991924
2000-2009,Faculty Issues: Lack of interest,9.0,29.0,31.03448275862069,345.0,0.02608695652173913,K2000D2009,9.0,336.0,0.8962659745372659,0.01681939390859397,0.026525723319354624,0.025648189724123634
2010-2016,Faculty Issues: Lack of interest,5.0,29.0,17.24137931034483,149.0,0.03355704697986577,K2010D2016,5.0,144.0,0.8962659745372659,0.02891578164945428,0.03452737522313605,0.032586718736595494
1980-1989,Institutional: Institutional inertia,5.0,24.0,20.833333333333336,190.0,0.02631578947368421,K1980D1989,5.0,185.0,0.26715049027475163,0.022760854155092203,0.026914759319870845,0.025716819627497573
1990-1999,Institutional: Institutional inertia,5.0,24.0,20.833333333333336,284.0,0.017605633802816902,K1990D1999,5.0,279.0,0.26715049027475163,0.015295288911576254,0.017874917058302398,0.017336350547331406
2000-2009,Institutional: Institutional inertia,7.0,24.0,29.166666666666668,345.0,0.020289855072463767,K2000D2009,7.0,338.0,0.26715049027475163,0.014877392421280566,0.02059171520854772,0.019987994936379812
2010-2016,Institutional: Institutional inertia,7.0,24.0,29.166666666666668,149.0,0.04697986577181208,K2010D2016,7.0,142.0,0.26715049027475163,0.03397518894209018,0.04857601558788343,0.045383715955740735
