"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1980-1989","Faculty Issues: Expertise/training",21,138,15.2173913043478,190,0.110526315789474,"K1980D1989"
"2","1990-1999","Faculty Issues: Expertise/training",39,138,28.2608695652174,284,0.137323943661972,"K1990D1999"
"3","2000-2010","Faculty Issues: Expertise/training",55,138,39.8550724637681,345,0.159420289855072,"K2000D2010"
"4","2010-2016","Faculty Issues: Expertise/training",23,138,16.6666666666667,149,0.154362416107383,"K2010D2016"
"5","1980-1989","Faculty Issues: Time",8,65,12.3076923076923,190,0.0421052631578947,"K1980D1989"
"6","1990-1999","Faculty Issues: Time",25,65,38.4615384615385,284,0.0880281690140845,"K1990D1999"
"7","2000-2010","Faculty Issues: Time",23,65,35.3846153846154,345,0.0666666666666667,"K2000D2010"
"8","2010-2016","Faculty Issues: Time",9,65,13.8461538461538,149,0.0604026845637584,"K2010D2016"
"9","1980-1989","Faculty Issues: Too few faculty",8,42,19.047619047619,190,0.0421052631578947,"K1980D1989"
"10","1990-1999","Faculty Issues: Too few faculty",10,42,23.8095238095238,284,0.0352112676056338,"K1990D1999"
"11","2000-2010","Faculty Issues: Too few faculty",18,42,42.8571428571429,345,0.0521739130434783,"K2000D2010"
"12","2010-2016","Faculty Issues: Too few faculty",6,42,14.2857142857143,149,0.0402684563758389,"K2010D2016"
"13","1980-1989","Faculty Issues: Lack of interest",5,29,17.2413793103448,190,0.0263157894736842,"K1980D1989"
"14","1990-1999","Faculty Issues: Lack of interest",10,29,34.4827586206897,284,0.0352112676056338,"K1990D1999"
"15","2000-2010","Faculty Issues: Lack of interest",9,29,31.0344827586207,345,0.0260869565217391,"K2000D2010"
"16","2010-2016","Faculty Issues: Lack of interest",5,29,17.2413793103448,149,0.0335570469798658,"K2010D2016"
"17","1980-1989","Curriculum Issues: No space",2,48,4.16666666666667,190,0.0105263157894737,"K1980D1989"
"18","1990-1999","Curriculum Issues: No space",17,48,35.4166666666667,284,0.0598591549295775,"K1990D1999"
"19","2000-2010","Curriculum Issues: No space",24,48,50,345,0.0695652173913043,"K2000D2010"
