"","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Faculty Issues: Expertise/training","21","39","55","23"
"Faculty Issues: Time"," 8","25","23"," 9"
"Faculty Issues: Too few faculty"," 8","10","18"," 6"
"Faculty Issues: Lack of interest"," 5","10"," 9"," 5"
"Curriculum Issues: No space"," 2","17","24"," 5"
"Curriculum Issues: Incompatible with current curriculum"," 4"," 7","10"," 4"
"Curriculum Issues: Integration needed at every level","4","7","9","0"
"Curriculum Issues: Bioinformatics curriculum is under development","2","8","7","1"
"Curriculum Issues: Not required for life sci/pre-med majors","1","5","4","2"
"Curriculum Issues: Class size","0","1","0","1"
"Curriculum Issues: Too few seats","1","1","0","1"
"Student Issues: Lack of interest"," 3","16","10"," 7"
"Student Issues: Background knowledge"," 6"," 7","10"," 4"
"Institutional: Institutional inertia","5","5","7","7"
"Institutional: Inter-departmental cooperation","4","6","4","1"
"Institutional: IT support","1","2","4","0"
"Institutional: State regulation","0","1","0","1"
"Resource Issues: Funding"," 2","10"," 8"," 5"
"Resource Issues: Access to software","0","2","4","3"
"Resource Issues: Access to bioinformatics lesson plans/curricula","0","2","0","2"
"Facilities: Access to computer(s)/labs","1","4","9","3"
"Facilities: Servers","1","0","2","0"
