"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1970-1979","Faculty Issues: Expertise/training",2,26,7.69230769230769,51,0.0392156862745098,"K1970D1979"
"2","1980-1989","Faculty Issues: Expertise/training",4,26,15.3846153846154,190,0.0210526315789474,"K1980D1989"
"3","1990-1999","Faculty Issues: Expertise/training",11,26,42.3076923076923,284,0.0387323943661972,"K1990D1999"
"4","2000-2010","Faculty Issues: Expertise/training",6,26,23.0769230769231,345,0.0173913043478261,"K2000D2010"
"5","2010-2016","Faculty Issues: Expertise/training",3,26,11.5384615384615,149,0.0201342281879195,"K2010D2016"
"6","1970-1979","Faculty Issues: Time",1,8,12.5,51,0.0196078431372549,"K1970D1979"
"7","1980-1989","Faculty Issues: Time",0,8,0,190,0,"K1980D1989"
"8","1990-1999","Faculty Issues: Time",2,8,25,284,0.00704225352112676,"K1990D1999"
"9","2000-2010","Faculty Issues: Time",4,8,50,345,0.0115942028985507,"K2000D2010"
"10","2010-2016","Faculty Issues: Time",1,8,12.5,149,0.00671140939597315,"K2010D2016"
"11","1970-1979","Faculty Issues: No interest in topic",0,1,0,51,0,"K1970D1979"
"12","1980-1989","Faculty Issues: No interest in topic",0,1,0,190,0,"K1980D1989"
"13","1990-1999","Faculty Issues: No interest in topic",0,1,0,284,0,"K1990D1999"
"14","2000-2010","Faculty Issues: No interest in topic",0,1,0,345,0,"K2000D2010"
"15","2010-2016","Faculty Issues: No interest in topic",1,1,100,149,0.00671140939597315,"K2010D2016"
"16","1970-1979","Faculty Issues: No comp-sci faculty",0,1,0,51,0,"K1970D1979"
"17","1980-1989","Faculty Issues: No comp-sci faculty",0,1,0,190,0,"K1980D1989"
"18","1990-1999","Faculty Issues: No comp-sci faculty",0,1,0,284,0,"K1990D1999"
"19","2000-2010","Faculty Issues: No comp-sci faculty",1,1,100,345,0.00289855072463768,"K2000D2010"
"20","2010-2016","Faculty Issues: No comp-sci faculty",0,1,0,149,0,"K2010D2016"
"21","1970-1979","Facilities Issues: Access to computer labs",2,154,1.2987012987013,51,0.0392156862745098,"K1970D1979"
"22","1980-1989","Facilities Issues: Access to computer labs",23,154,14.9350649350649,190,0.121052631578947,"K1980D1989"
"23","1990-1999","Facilities Issues: Access to computer labs",40,154,25.974025974026,284,0.140845070422535,"K1990D1999"
"24","2000-2010","Facilities Issues: Access to computer labs",60,154,38.961038961039,345,0.173913043478261,"K2000D2010"
"25","2010-2016","Facilities Issues: Access to computer labs",29,154,18.8311688311688,149,0.194630872483221,"K2010D2016"
"26","1970-1979","Facilities Issues: Inadaquate computers",1,25,4,51,0.0196078431372549,"K1970D1979"
"27","1980-1989","Facilities Issues: Inadaquate computers",6,25,24,190,0.0315789473684211,"K1980D1989"
"28","1990-1999","Facilities Issues: Inadaquate computers",8,25,32,284,0.028169014084507,"K1990D1999"
"29","2000-2010","Facilities Issues: Inadaquate computers",8,25,32,345,0.0231884057971014,"K2000D2010"
"30","2010-2016","Facilities Issues: Inadaquate computers",2,25,8,149,0.0134228187919463,"K2010D2016"
"31","1970-1979","Facilities Issues: Access to servers",0,11,0,51,0,"K1970D1979"
"32","1980-1989","Facilities Issues: Access to servers",2,11,18.1818181818182,190,0.0105263157894737,"K1980D1989"
"33","1990-1999","Facilities Issues: Access to servers",1,11,9.09090909090909,284,0.00352112676056338,"K1990D1999"
"34","2000-2010","Facilities Issues: Access to servers",7,11,63.6363636363636,345,0.0202898550724638,"K2000D2010"
"35","2010-2016","Facilities Issues: Access to servers",1,11,9.09090909090909,149,0.00671140939597315,"K2010D2016"
"36","1970-1979","Facilities Issues: Access to internet",0,15,0,51,0,"K1970D1979"
"37","1980-1989","Facilities Issues: Access to internet",6,15,40,190,0.0315789473684211,"K1980D1989"
"38","1990-1999","Facilities Issues: Access to internet",4,15,26.6666666666667,284,0.0140845070422535,"K1990D1999"
