"","K1970D1979","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Faculty Issues: Expertise/training"," 2"," 4","11"," 6"," 3"
"Faculty Issues: Time","1","0","2","4","1"
"Faculty Issues: No interest in topic","0","0","0","0","1"
"Faculty Issues: No comp-sci faculty","0","0","0","1","0"
"Facilities Issues: Access to computer labs"," 2","23","40","60","29"
"Facilities Issues: Inadaquate computers","1","6","8","8","2"
"Facilities Issues: Access to servers","0","2","1","7","1"
"Facilities Issues: Access to internet","0","6","4","4","1"
"Resource Issues: Access to operating systems"," 0"," 6","11","21","12"
"Resource Issues: Apropriate software"," 0"," 4","10","20","10"
"Resource Issues: Access to high-performance computing"," 2"," 9","15","19","17"
"Resource Issues: Funding","0","2","8","9","2"
"Institutional Issues: Access to IT support"," 3","19","26","53","21"
"Institutional Issues: Subscriptions/licenses","0","0","1","2","0"
"Institutional Issues: No support from comp-sci faculty","1","0","2","0","1"
"Student Issues: Access to software off-campus","0","1","2","3","4"
"Student Issues: Basic computing knowledge","0","1","1","0","2"
"Student Issues: Access to computers Off-campus","0","1","1","5","5"
"Student Issues: No interest in bioinformatics","0","0","0","0","0"
"Curriculum Issues: New program development required","0","1","2","1","0"
"Curriculum Issues: Class size","0","0","0","2","1"
"Curriculum Issues: Access to bioinformatics lesson plans","0","1","1","0","0"
