"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1980-1989","Faculty Issues: Expertise/training",4,24,16.6666666666667,190,0.0210526315789474,"K1980D1989"
"2","1990-1999","Faculty Issues: Expertise/training",11,24,45.8333333333333,284,0.0387323943661972,"K1990D1999"
"3","2000-2009","Faculty Issues: Expertise/training",6,24,25,345,0.0173913043478261,"K2000D2009"
"4","2010-2016","Faculty Issues: Expertise/training",3,24,12.5,149,0.0201342281879195,"K2010D2016"
"5","1980-1989","Faculty Issues: Time",0,7,0,190,0,"K1980D1989"
"6","1990-1999","Faculty Issues: Time",2,7,28.5714285714286,284,0.00704225352112676,"K1990D1999"
"7","2000-2009","Faculty Issues: Time",4,7,57.1428571428571,345,0.0115942028985507,"K2000D2009"
"8","2010-2016","Faculty Issues: Time",1,7,14.2857142857143,149,0.00671140939597315,"K2010D2016"
"9","1980-1989","Faculty Issues: No interest in topic",0,1,0,190,0,"K1980D1989"
"10","1990-1999","Faculty Issues: No interest in topic",0,1,0,284,0,"K1990D1999"
"11","2000-2009","Faculty Issues: No interest in topic",0,1,0,345,0,"K2000D2009"
"12","2010-2016","Faculty Issues: No interest in topic",1,1,100,149,0.00671140939597315,"K2010D2016"
"13","1980-1989","Faculty Issues: No comp-sci faculty",0,1,0,190,0,"K1980D1989"
"14","1990-1999","Faculty Issues: No comp-sci faculty",0,1,0,284,0,"K1990D1999"
"15","2000-2009","Faculty Issues: No comp-sci faculty",1,1,100,345,0.00289855072463768,"K2000D2009"
"16","2010-2016","Faculty Issues: No comp-sci faculty",0,1,0,149,0,"K2010D2016"
"17","1980-1989","Facilities Issues: Access to computer labs",23,152,15.1315789473684,190,0.121052631578947,"K1980D1989"
"18","1990-1999","Facilities Issues: Access to computer labs",40,152,26.3157894736842,284,0.140845070422535,"K1990D1999"
"19","2000-2009","Facilities Issues: Access to computer labs",60,152,39.4736842105263,345,0.173913043478261,"K2000D2009"
"20","2010-2016","Facilities Issues: Access to computer labs",29,152,19.0789473684211,149,0.194630872483221,"K2010D2016"
"21","1980-1989","Facilities Issues: Inadaquate computers",6,24,25,190,0.0315789473684211,"K1980D1989"
"22","1990-1999","Facilities Issues: Inadaquate computers",8,24,33.3333333333333,284,0.028169014084507,"K1990D1999"
"23","2000-2009","Facilities Issues: Inadaquate computers",8,24,33.3333333333333,345,0.0231884057971014,"K2000D2009"
"24","2010-2016","Facilities Issues: Inadaquate computers",2,24,8.33333333333333,149,0.0134228187919463,"K2010D2016"
"25","1980-1989","Facilities Issues: Access to servers",2,11,18.1818181818182,190,0.0105263157894737,"K1980D1989"
"26","1990-1999","Facilities Issues: Access to servers",1,11,9.09090909090909,284,0.00352112676056338,"K1990D1999"
