Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1970-1979,Faculty Issues: Expertise/training,10.0,289.0,3.4602076124567476,51.0,0.19607843137254902,K1970D1979,10.0,41.0,0.6357034168601958,0.10896443096838372,0.2174440060722321,0.17471285667286593
1980-1989,Faculty Issues: Expertise/training,57.0,289.0,19.72318339100346,190.0,0.3,K1980D1989,57.0,133.0,0.6357034168601958,0.06515997933611534,0.3195479938008346,0.2804520061991654
1990-1999,Faculty Issues: Expertise/training,84.0,289.0,29.06574394463668,284.0,0.29577464788732394,K1990D1999,84.0,200.0,0.6357034168601958,0.053079304274963615,0.31147416041935544,0.28007513535529244
2000-2010,Faculty Issues: Expertise/training,98.0,289.0,33.910034602076124,345.0,0.28405797101449276,K2000D2010,98.0,247.0,0.6357034168601958,0.047586193132649196,0.2975752084840569,0.27054073354492864
2010-2016,Faculty Issues: Expertise/training,40.0,289.0,13.84083044982699,149.0,0.2684563758389262,K2010D2016,40.0,109.0,0.6357034168601958,0.0711560666170894,0.2875586756019032,0.24935407607594917
1970-1979,Faculty Issues: Time,6.0,87.0,6.896551724137931,51.0,0.11764705882352941,K1970D1979,6.0,45.0,0.8974775836941185,0.08842492679670647,0.1280499913878478,0.10724412625921101
1980-1989,Faculty Issues: Time,17.0,87.0,19.54022988505747,190.0,0.08947368421052632,K1980D1989,17.0,173.0,0.8974775836941185,0.04058496743640288,0.09310497077062552,0.08584239765042712
1990-1999,Faculty Issues: Time,25.0,87.0,28.735632183908045,284.0,0.0880281690140845,K1990D1999,25.0,259.0,0.8974775836941185,0.032952659235387774,0.09092893127072074,0.08512740675744826
2000-2010,Faculty Issues: Time,28.0,87.0,32.18390804597701,345.0,0.08115942028985507,K2000D2010,28.0,317.0,0.8974775836941185,0.028815628416233835,0.08349807998740448,0.07882076059230565
2010-2016,Faculty Issues: Time,11.0,87.0,12.643678160919542,149.0,0.0738255033557047,K2010D2016,11.0,138.0,0.8974775836941185,0.041986007032594204,0.07692514145878213,0.07072586525262728
1970-1979,Student Issues: Lack of background skills/knowledge,14.0,197.0,7.1065989847715745,51.0,0.27450980392156865,K1970D1979,14.0,37.0,0.5100788288534122,0.12247789305774663,0.30813118632957753,0.24088842151355977
1980-1989,Student Issues: Lack of background skills/knowledge,40.0,197.0,20.304568527918782,190.0,0.21052631578947367,K1980D1989,40.0,150.0,0.5100788288534122,0.05796866713046326,0.22273024571167646,0.19832238586727088
1990-1999,Student Issues: Lack of background skills/knowledge,54.0,197.0,27.411167512690355,284.0,0.19014084507042253,K1990D1999,54.0,230.0,0.5100788288534122,0.045638501769692905,0.1988185883646599,0.18146310177618516
2000-2010,Student Issues: Lack of background skills/knowledge,64.0,197.0,32.48730964467005,345.0,0.1855072463768116,K2000D2010,64.0,281.0,0.5100788288534122,0.041016877470389033,0.19311617437131856,0.17789831838230463
2010-2016,Student Issues: Lack of background skills/knowledge,25.0,197.0,12.690355329949238,149.0,0.16778523489932887,K2010D2016,25.0,124.0,0.5100788288534122,0.05999976305551181,0.17785230923750198,0.15771816056115576
1970-1979,Curriculum Issues: Lack of integration,5.0,82.0,6.097560975609756,51.0,0.09803921568627451,K1970D1979,5.0,46.0,0.5344744133619291,0.08161251188958954,0.10604044234211663,0.09003798903043239
1980-1989,Curriculum Issues: Lack of integration,11.0,82.0,13.414634146341465,190.0,0.05789473684210526,K1980D1989,11.0,179.0,0.5344744133619291,0.033207833865745065,0.05981729564485892,0.0559721780393516
1990-1999,Curriculum Issues: Lack of integration,20.0,82.0,24.390243902439025,284.0,0.07042253521126761,K1990D1999,20.0,264.0,0.5344744133619291,0.029756890181918197,0.07251809085788156,0.06832697956465365
2000-2010,Curriculum Issues: Lack of integration,31.0,82.0,37.80487804878049,345.0,0.08985507246376812,K2000D2010,31.0,314.0,0.5344744133619291,0.03017623959898516,0.09256656065961896,0.08714358426791727
2010-2016,Curriculum Issues: Lack of integration,15.0,82.0,18.29268292682927,149.0,0.10067114093959731,K2010D2016,15.0,134.0,0.5344744133619291,0.04831330161160219,0.10553489613539618,0.09580738574379843
