"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1970-1979","Faculty Issues: Expertise/training",10,289,3.46020761245675,51,0.196078431372549,"K1970D1979"
"2","1980-1989","Faculty Issues: Expertise/training",57,289,19.7231833910035,190,0.3,"K1980D1989"
"3","1990-1999","Faculty Issues: Expertise/training",84,289,29.0657439446367,284,0.295774647887324,"K1990D1999"
"4","2000-2009","Faculty Issues: Expertise/training",98,289,33.9100346020761,345,0.284057971014493,"K2000D2009"
"5","2010-2016","Faculty Issues: Expertise/training",40,289,13.840830449827,149,0.268456375838926,"K2010D2016"
"6","1970-1979","Faculty Issues: Time",6,87,6.89655172413793,51,0.117647058823529,"K1970D1979"
"7","1980-1989","Faculty Issues: Time",17,87,19.5402298850575,190,0.0894736842105263,"K1980D1989"
"8","1990-1999","Faculty Issues: Time",25,87,28.735632183908,284,0.0880281690140845,"K1990D1999"
"9","2000-2009","Faculty Issues: Time",28,87,32.183908045977,345,0.0811594202898551,"K2000D2009"
"10","2010-2016","Faculty Issues: Time",11,87,12.6436781609195,149,0.0738255033557047,"K2010D2016"
"11","1970-1979","Faculty Issues: Differences of opinion",0,17,0,51,0,"K1970D1979"
"12","1980-1989","Faculty Issues: Differences of opinion",5,17,29.4117647058824,190,0.0263157894736842,"K1980D1989"
"13","1990-1999","Faculty Issues: Differences of opinion",6,17,35.2941176470588,284,0.0211267605633803,"K1990D1999"
"14","2000-2009","Faculty Issues: Differences of opinion",2,17,11.7647058823529,345,0.00579710144927536,"K2000D2009"
"15","2010-2016","Faculty Issues: Differences of opinion",4,17,23.5294117647059,149,0.0268456375838926,"K2010D2016"
"16","1970-1979","Faculty Issues: Content development",0,13,0,51,0,"K1970D1979"
"17","1980-1989","Faculty Issues: Content development",1,13,7.69230769230769,190,0.00526315789473684,"K1980D1989"
"18","1990-1999","Faculty Issues: Content development",4,13,30.7692307692308,284,0.0140845070422535,"K1990D1999"
"19","2000-2009","Faculty Issues: Content development",7,13,53.8461538461538,345,0.0202898550724638,"K2000D2009"
"20","2010-2016","Faculty Issues: Content development",1,13,7.69230769230769,149,0.00671140939597315,"K2010D2016"
"21","1970-1979","Faculty Issues: Too few faculty",2,9,22.2222222222222,51,0.0392156862745098,"K1970D1979"
"22","1980-1989","Faculty Issues: Too few faculty",3,9,33.3333333333333,190,0.0157894736842105,"K1980D1989"
"23","1990-1999","Faculty Issues: Too few faculty",2,9,22.2222222222222,284,0.00704225352112676,"K1990D1999"
"24","2000-2009","Faculty Issues: Too few faculty",1,9,11.1111111111111,345,0.00289855072463768,"K2000D2009"
"25","2010-2016","Faculty Issues: Too few faculty",1,9,11.1111111111111,149,0.00671140939597315,"K2010D2016"
"26","1970-1979","Faculities Issues: Access to computer labs",1,46,2.17391304347826,51,0.0196078431372549,"K1970D1979"
"27","1980-1989","Faculities Issues: Access to computer labs",7,46,15.2173913043478,190,0.0368421052631579,"K1980D1989"
