"","K1970D1979","K1980D1989","K1990D1999","K2000D2010","K2010D2016"
"Faculty Issues: Expertise/training","10","57","84","98","40"
"Faculty Issues: Time"," 6","17","25","28","11"
"Faculty Issues: Differences of opinion","0","5","6","2","4"
"Faculty Issues: Content development","0","1","4","7","1"
"Faculty Issues: Too few faculty","2","3","2","1","1"
"Faculities Issues: Access to computer labs"," 1"," 7","15","16"," 7"
"Faculities Issues: Inadaquate computers","1","0","2","3","0"
"Resource Issues: Access to software"," 1","14","14","14"," 6"
"Resource Issues: Funding"," 0"," 6","13"," 7"," 2"
"Resource Issues: Software/license fees","0","0","4","3","0"
"Student Issues: Lack of background skills/knowledge","14","40","54","64","25"
"Student Issues: Lack of interest"," 4","22","28","33","13"
"Student Issues: Intimidated by topic"," 2"," 4","10"," 7"," 8"
"Student Issues: Varying student backrounds","1","5","6","9","1"
"Student Issues: Lack of basic computing skills","0","1","6","6","4"
"Student Issues: Career prospects","0","1","1","4","1"
"Curriculum Issues: Lack of integration"," 5","11","20","31","15"
"Curriculum Issues: Too much content"," 4","15","18","23","10"
"Curriculum Issues: Quickly changing technologies"," 4"," 9","18","17"," 4"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum"," 0"," 4"," 8","18"," 5"
"Curriculum Issues: Difficulty establishing relevance","0","3","5","3","1"
"Curriculum Issues: Influence from professional schools","1","2","2","3","3"
"Institutional Issues: Lack of inter-departmental cooperation","0","6","3","4","2"
"Institutional Issues: Lack of IT support","0","2","4","4","2"
