Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1980-1989,Faculty Issues: Expertise/training,57.0,279.0,20.43010752688172,190.0,0.3,K1980D1989,57.0,133.0,0.9143980435763677,0.06515997933611534,0.3195479938008346,0.2804520061991654
1990-1999,Faculty Issues: Expertise/training,84.0,279.0,30.107526881720432,284.0,0.29577464788732394,K1990D1999,84.0,200.0,0.9143980435763677,0.053079304274963615,0.31147416041935544,0.28007513535529244
2000-2010,Faculty Issues: Expertise/training,98.0,279.0,35.12544802867383,345.0,0.28405797101449276,K2000D2010,98.0,247.0,0.9143980435763677,0.047586193132649196,0.2975752084840569,0.27054073354492864
2010-2016,Faculty Issues: Expertise/training,40.0,279.0,14.336917562724013,149.0,0.2684563758389262,K2010D2016,40.0,109.0,0.9143980435763677,0.0711560666170894,0.2875586756019032,0.24935407607594917
1980-1989,Faculty Issues: Time,17.0,81.0,20.98765432098765,190.0,0.08947368421052632,K1980D1989,17.0,173.0,0.9462661282940036,0.04058496743640288,0.09310497077062552,0.08584239765042712
1990-1999,Faculty Issues: Time,25.0,81.0,30.864197530864196,284.0,0.0880281690140845,K1990D1999,25.0,259.0,0.9462661282940036,0.032952659235387774,0.09092893127072074,0.08512740675744826
2000-2010,Faculty Issues: Time,28.0,81.0,34.5679012345679,345.0,0.08115942028985507,K2000D2010,28.0,317.0,0.9462661282940036,0.028815628416233835,0.08349807998740448,0.07882076059230565
2010-2016,Faculty Issues: Time,11.0,81.0,13.580246913580247,149.0,0.0738255033557047,K2010D2016,11.0,138.0,0.9462661282940036,0.041986007032594204,0.07692514145878213,0.07072586525262728
1980-1989,Faculities Issues: Access to computer labs,7.0,45.0,15.555555555555555,190.0,0.03684210526315789,K1980D1989,7.0,183.0,0.8834172164496678,0.02678503723641995,0.03782892242449968,0.0358552881018161
1990-1999,Faculities Issues: Access to computer labs,15.0,45.0,33.33333333333333,284.0,0.0528169014084507,K1990D1999,15.0,269.0,0.8834172164496678,0.026013114375982686,0.05419083350577373,0.05144296931112768
2000-2010,Faculities Issues: Access to computer labs,16.0,45.0,35.55555555555556,345.0,0.0463768115942029,K2000D2010,16.0,329.0,0.8834172164496678,0.022191026329698507,0.04740596064137732,0.045347662547028475
2010-2016,Faculities Issues: Access to computer labs,7.0,45.0,15.555555555555555,149.0,0.04697986577181208,K2010D2016,7.0,142.0,0.8834172164496678,0.03397518894209018,0.04857601558788343,0.045383715955740735
1980-1989,Resource Issues: Access to software,14.0,48.0,29.166666666666668,190.0,0.07368421052631578,K1980D1989,14.0,176.0,0.36036504381917533,0.03714822277697451,0.07642144799409285,0.07094697305853871
1990-1999,Resource Issues: Access to software,14.0,48.0,29.166666666666668,284.0,0.04929577464788732,K1990D1999,14.0,270.0,0.36036504381917533,0.02517772471889961,0.05053693009177674,0.0480546192039979
2000-2010,Resource Issues: Access to software,14.0,48.0,29.166666666666668,345.0,0.04057971014492753,K2000D2010,14.0,331.0,0.36036504381917533,0.020820802430408687,0.04142461227253832,0.03973480801731675
2010-2016,Resource Issues: Access to software,6.0,48.0,12.5,149.0,0.040268456375838924,K2010D2016,6.0,143.0,0.36036504381917533,0.03156547524076544,0.04153954933855431,0.038997363413123536
1980-1989,Student Issues: Lack of background skills/knowledge,40.0,183.0,21.85792349726776,190.0,0.21052631578947367,K1980D1989,40.0,150.0,0.791201602019284,0.05796866713046326,0.22273024571167646,0.19832238586727088
1990-1999,Student Issues: Lack of background skills/knowledge,54.0,183.0,29.508196721311474,284.0,0.19014084507042253,K1990D1999,54.0,230.0,0.791201602019284,0.045638501769692905,0.1988185883646599,0.18146310177618516
2000-2010,Student Issues: Lack of background skills/knowledge,64.0,183.0,34.97267759562842,345.0,0.1855072463768116,K2000D2010,64.0,281.0,0.791201602019284,0.041016877470389033,0.19311617437131856,0.17789831838230463
2010-2016,Student Issues: Lack of background skills/knowledge,25.0,183.0,13.661202185792352,149.0,0.16778523489932887,K2010D2016,25.0,124.0,0.791201602019284,0.05999976305551181,0.17785230923750198,0.15771816056115576
1980-1989,Student Issues: Lack of interest,22.0,96.0,22.916666666666664,190.0,0.11578947368421053,K1980D1989,22.0,168.0,0.8318616822087137,0.04549709532741173,0.12105755840633188,0.11052138896208917
1990-1999,Student Issues: Lack of interest,28.0,96.0,29.166666666666668,284.0,0.09859154929577464,K1990D1999,28.0,256.0,0.8318616822087137,0.03467125636682419,0.10200984217701083,0.09517325641453846
2000-2010,Student Issues: Lack of interest,33.0,96.0,34.375,345.0,0.09565217391304348,K2000D2010,33.0,312.0,0.8318616822087137,0.03103514046616776,0.09862075256632909,0.09268359525975788
2010-2016,Student Issues: Lack of interest,13.0,96.0,13.541666666666666,149.0,0.087248322147651,K2010D2016,13.0,136.0,0.8318616822087137,0.04531164391389439,0.09120168705289011,0.0832949572424119
1980-1989,Curriculum Issues: Lack of integration,11.0,77.0,14.285714285714285,190.0,0.05789473684210526,K1980D1989,11.0,179.0,0.39966814836289016,0.033207833865745065,0.05981729564485892,0.0559721780393516
