"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1980-1989","Faculty Issues: Expertise/training",57,279,20.4301075268817,190,0.3,"K1980D1989"
"2","1990-1999","Faculty Issues: Expertise/training",84,279,30.1075268817204,284,0.295774647887324,"K1990D1999"
"3","2000-2010","Faculty Issues: Expertise/training",98,279,35.1254480286738,345,0.284057971014493,"K2000D2010"
"4","2010-2016","Faculty Issues: Expertise/training",40,279,14.336917562724,149,0.268456375838926,"K2010D2016"
"5","1980-1989","Faculty Issues: Time",17,81,20.9876543209877,190,0.0894736842105263,"K1980D1989"
"6","1990-1999","Faculty Issues: Time",25,81,30.8641975308642,284,0.0880281690140845,"K1990D1999"
"7","2000-2010","Faculty Issues: Time",28,81,34.5679012345679,345,0.0811594202898551,"K2000D2010"
"8","2010-2016","Faculty Issues: Time",11,81,13.5802469135802,149,0.0738255033557047,"K2010D2016"
"9","1980-1989","Faculty Issues: Differences of opinion",5,17,29.4117647058824,190,0.0263157894736842,"K1980D1989"
"10","1990-1999","Faculty Issues: Differences of opinion",6,17,35.2941176470588,284,0.0211267605633803,"K1990D1999"
"11","2000-2010","Faculty Issues: Differences of opinion",2,17,11.7647058823529,345,0.00579710144927536,"K2000D2010"
"12","2010-2016","Faculty Issues: Differences of opinion",4,17,23.5294117647059,149,0.0268456375838926,"K2010D2016"
"13","1980-1989","Faculty Issues: Content development",1,13,7.69230769230769,190,0.00526315789473684,"K1980D1989"
"14","1990-1999","Faculty Issues: Content development",4,13,30.7692307692308,284,0.0140845070422535,"K1990D1999"
"15","2000-2010","Faculty Issues: Content development",7,13,53.8461538461538,345,0.0202898550724638,"K2000D2010"
"16","2010-2016","Faculty Issues: Content development",1,13,7.69230769230769,149,0.00671140939597315,"K2010D2016"
"17","1980-1989","Faculty Issues: Too few faculty",3,7,42.8571428571429,190,0.0157894736842105,"K1980D1989"
"18","1990-1999","Faculty Issues: Too few faculty",2,7,28.5714285714286,284,0.00704225352112676,"K1990D1999"
"19","2000-2010","Faculty Issues: Too few faculty",1,7,14.2857142857143,345,0.00289855072463768,"K2000D2010"
"20","2010-2016","Faculty Issues: Too few faculty",1,7,14.2857142857143,149,0.00671140939597315,"K2010D2016"
"21","1980-1989","Faculities Issues: Access to computer labs",7,45,15.5555555555556,190,0.0368421052631579,"K1980D1989"
"22","1990-1999","Faculities Issues: Access to computer labs",15,45,33.3333333333333,284,0.0528169014084507,"K1990D1999"
"23","2000-2010","Faculities Issues: Access to computer labs",16,45,35.5555555555556,345,0.0463768115942029,"K2000D2010"
"24","2010-2016","Faculities Issues: Access to computer labs",7,45,15.5555555555556,149,0.0469798657718121,"K2010D2016"
"25","1980-1989","Faculities Issues: Inadaquate computers",0,5,0,190,0,"K1980D1989"
"26","1990-1999","Faculities Issues: Inadaquate computers",2,5,40,284,0.00704225352112676,"K1990D1999"
"27","2000-2010","Faculities Issues: Inadaquate computers",3,5,60,345,0.00869565217391304,"K2000D2010"
"28","2010-2016","Faculities Issues: Inadaquate computers",0,5,0,149,0,"K2010D2016"
"29","1980-1989","Resource Issues: Access to software",14,48,29.1666666666667,190,0.0736842105263158,"K1980D1989"
"30","1990-1999","Resource Issues: Access to software",14,48,29.1666666666667,284,0.0492957746478873,"K1990D1999"
"31","2000-2010","Resource Issues: Access to software",14,48,29.1666666666667,345,0.0405797101449275,"K2000D2010"
"32","2010-2016","Resource Issues: Access to software",6,48,12.5,149,0.0402684563758389,"K2010D2016"
