"","K1980D1989","K1990D1999","K2000D2009","K2010D2016"
"Faculty Issues: Expertise/training","57","84","98","40"
"Faculty Issues: Time","17","25","28","11"
"Faculty Issues: Differences of opinion","5","6","2","4"
"Faculty Issues: Content development","1","4","7","1"
"Faculty Issues: Too few faculty","3","2","1","1"
"Faculities Issues: Access to computer labs"," 7","15","16"," 7"
"Faculities Issues: Inadaquate computers","0","2","3","0"
"Resource Issues: Access to software","14","14","14"," 6"
"Resource Issues: Funding"," 6","13"," 7"," 2"
"Resource Issues: Software/license fees","0","4","3","0"
"Student Issues: Lack of background skills/knowledge","40","54","64","25"
"Student Issues: Lack of interest","22","28","33","13"
"Student Issues: Intimidated by topic"," 4","10"," 7"," 8"
"Student Issues: Varying student backrounds","5","6","9","1"
"Student Issues: Lack of basic computing skills","1","6","6","4"
"Student Issues: Career prospects","1","1","4","1"
"Curriculum Issues: Lack of integration","11","20","31","15"
"Curriculum Issues: Too much content","15","18","23","10"
"Curriculum Issues: Quickly changing technologies"," 9","18","17"," 4"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum"," 4"," 8","18"," 5"
"Curriculum Issues: Difficulty establishing relevance","3","5","3","1"
"Curriculum Issues: Influence from professional schools","2","2","3","3"
"Institutional Issues: Lack of inter-departmental cooperation","6","3","4","2"
"Institutional Issues: Lack of IT support","2","4","4","2"
