Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1970-1979,Faculty Issues: Expertise/training,8.0,168.0,4.761904761904762,23.0,0.34782608695652173,K1970D1979,8.0,15.0,0.05961591701574012,0.1946466618321039,0.4155292736807318,0.2801229002323117
1980-1989,Faculty Issues: Expertise/training,31.0,168.0,18.452380952380953,73.0,0.4246575342465753,K1980D1989,31.0,42.0,0.05961591701574012,0.11338857384612944,0.47280884642780835,0.3765062220653423
1990-1999,Faculty Issues: Expertise/training,49.0,168.0,29.166666666666668,129.0,0.3798449612403101,K1990D1999,49.0,80.0,0.05961591701574012,0.08375419312958801,0.4116585694833319,0.34803135299728827
2000-2009,Faculty Issues: Expertise/training,58.0,168.0,34.523809523809526,168.0,0.34523809523809523,K2000D2009,58.0,110.0,0.05961591701574012,0.07189430798562127,0.37005874918551207,0.3204174412906784
2010-2016,Faculty Issues: Expertise/training,22.0,168.0,13.095238095238097,98.0,0.22448979591836735,K2010D2016,22.0,76.0,0.05961591701574012,0.08260895226922862,0.24303466275431662,0.20594492908241807
1970-1979,Faculty Issues: Time,7.0,133.0,5.263157894736842,23.0,0.30434782608695654,K1970D1979,7.0,16.0,0.10161685942026459,0.18804654059981005,0.3615793819216813,0.24711627025223173
1980-1989,Faculty Issues: Time,12.0,133.0,9.022556390977442,73.0,0.1643835616438356,K1980D1989,12.0,61.0,0.10161685942026459,0.08501965559730258,0.17835939544065246,0.15040772784701875
1990-1999,Faculty Issues: Time,41.0,133.0,30.82706766917293,129.0,0.3178294573643411,K1990D1999,41.0,88.0,0.10161685942026459,0.08035201831179253,0.3433676957425077,0.2922912189861745
2000-2009,Faculty Issues: Time,51.0,133.0,38.34586466165413,168.0,0.30357142857142855,K2000D2009,51.0,117.0,0.10161685942026459,0.06952839230186572,0.32467826194878063,0.28246459519407646
2010-2016,Faculty Issues: Time,22.0,133.0,16.541353383458645,98.0,0.22448979591836735,K2010D2016,22.0,76.0,0.10161685942026459,0.08260895226922862,0.24303466275431662,0.20594492908241807
1970-1979,Curriculum Issues: No space,6.0,101.0,5.9405940594059405,23.0,0.2608695652173913,K1970D1979,6.0,17.0,0.5040835701051698,0.17945535522247366,0.3076840057102105,0.21405512472457208
1980-1989,Curriculum Issues: No space,15.0,101.0,14.85148514851485,73.0,0.2054794520547945,K1980D1989,15.0,58.0,0.5040835701051698,0.09268798207122558,0.22452492782285455,0.18643397628673447
1990-1999,Curriculum Issues: No space,28.0,101.0,27.722772277227726,129.0,0.21705426356589147,K1990D1999,28.0,101.0,0.5040835701051698,0.07113825831965832,0.23249512583682505,0.2016134012949579
2000-2009,Curriculum Issues: No space,38.0,101.0,37.62376237623762,168.0,0.2261904761904762,K2000D2009,38.0,130.0,0.5040835701051698,0.06326268828636933,0.24049989377905973,0.21188105860189266
2010-2016,Curriculum Issues: No space,14.0,101.0,13.861386138613863,98.0,0.14285714285714285,K2010D2016,14.0,84.0,0.5040835701051698,0.06928075922915335,0.15275439417559333,0.13295989153869237
