"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1970-1979","Faculty Issues: Expertise/training",8,168,4.76190476190476,23,0.347826086956522,"K1970D1979"
"2","1980-1989","Faculty Issues: Expertise/training",31,168,18.452380952381,73,0.424657534246575,"K1980D1989"
"3","1990-1999","Faculty Issues: Expertise/training",49,168,29.1666666666667,129,0.37984496124031,"K1990D1999"
"4","2000-2009","Faculty Issues: Expertise/training",58,168,34.5238095238095,168,0.345238095238095,"K2000D2009"
"5","2010-2016","Faculty Issues: Expertise/training",22,168,13.0952380952381,98,0.224489795918367,"K2010D2016"
"6","1970-1979","Faculty Issues: Time",7,133,5.26315789473684,23,0.304347826086957,"K1970D1979"
"7","1980-1989","Faculty Issues: Time",12,133,9.02255639097744,73,0.164383561643836,"K1980D1989"
"8","1990-1999","Faculty Issues: Time",41,133,30.8270676691729,129,0.317829457364341,"K1990D1999"
"9","2000-2009","Faculty Issues: Time",51,133,38.3458646616541,168,0.303571428571429,"K2000D2009"
"10","2010-2016","Faculty Issues: Time",22,133,16.5413533834586,98,0.224489795918367,"K2010D2016"
"11","1970-1979","Faculty Issues: Curriculum design/integration",0,30,0,23,0,"K1970D1979"
"12","1980-1989","Faculty Issues: Curriculum design/integration",3,30,10,73,0.0410958904109589,"K1980D1989"
"13","1990-1999","Faculty Issues: Curriculum design/integration",12,30,40,129,0.0930232558139535,"K1990D1999"
"14","2000-2009","Faculty Issues: Curriculum design/integration",9,30,30,168,0.0535714285714286,"K2000D2009"
"15","2010-2016","Faculty Issues: Curriculum design/integration",6,30,20,98,0.0612244897959184,"K2010D2016"
"16","1970-1979","Faculty Issues: Lack of interest",0,8,0,23,0,"K1970D1979"
"17","1980-1989","Faculty Issues: Lack of interest",0,8,0,73,0,"K1980D1989"
"18","1990-1999","Faculty Issues: Lack of interest",3,8,37.5,129,0.0232558139534884,"K1990D1999"
"19","2000-2009","Faculty Issues: Lack of interest",3,8,37.5,168,0.0178571428571429,"K2000D2009"
"20","2010-2016","Faculty Issues: Lack of interest",2,8,25,98,0.0204081632653061,"K2010D2016"
"21","1970-1979","Faculty Issues: New Faculty",0,3,0,23,0,"K1970D1979"
"22","1980-1989","Faculty Issues: New Faculty",0,3,0,73,0,"K1980D1989"
"23","1990-1999","Faculty Issues: New Faculty",0,3,0,129,0,"K1990D1999"
"24","2000-2009","Faculty Issues: New Faculty",1,3,33.3333333333333,168,0.00595238095238095,"K2000D2009"
"25","2010-2016","Faculty Issues: New Faculty",2,3,66.6666666666667,98,0.0204081632653061,"K2010D2016"
