Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1980-1989,Faculty Issues: Expertise/training,31.0,160.0,19.375,73.0,0.4246575342465753,K1980D1989,31.0,42.0,0.02850176942576379,0.11338857384612944,0.47280884642780835,0.3765062220653423
1990-1999,Faculty Issues: Expertise/training,49.0,160.0,30.625000000000004,129.0,0.3798449612403101,K1990D1999,49.0,80.0,0.02850176942576379,0.08375419312958801,0.4116585694833319,0.34803135299728827
2000-2009,Faculty Issues: Expertise/training,58.0,160.0,36.25,168.0,0.34523809523809523,K2000D2009,58.0,110.0,0.02850176942576379,0.07189430798562127,0.37005874918551207,0.3204174412906784
2010-2016,Faculty Issues: Expertise/training,22.0,160.0,13.750000000000002,98.0,0.22448979591836735,K2010D2016,22.0,76.0,0.02850176942576379,0.08260895226922862,0.24303466275431662,0.20594492908241807
1980-1989,Faculty Issues: Time,12.0,126.0,9.523809523809524,73.0,0.1643835616438356,K1980D1989,12.0,61.0,0.054275659868114064,0.08501965559730258,0.17835939544065246,0.15040772784701875
1990-1999,Faculty Issues: Time,41.0,126.0,32.53968253968254,129.0,0.3178294573643411,K1990D1999,41.0,88.0,0.054275659868114064,0.08035201831179253,0.3433676957425077,0.2922912189861745
2000-2009,Faculty Issues: Time,51.0,126.0,40.476190476190474,168.0,0.30357142857142855,K2000D2009,51.0,117.0,0.054275659868114064,0.06952839230186572,0.32467826194878063,0.28246459519407646
2010-2016,Faculty Issues: Time,22.0,126.0,17.46031746031746,98.0,0.22448979591836735,K2010D2016,22.0,76.0,0.054275659868114064,0.08260895226922862,0.24303466275431662,0.20594492908241807
1980-1989,Curriculum Issues: No space,15.0,95.0,15.789473684210526,73.0,0.2054794520547945,K1980D1989,15.0,58.0,0.4057457291353018,0.09268798207122558,0.22452492782285455,0.18643397628673447
1990-1999,Curriculum Issues: No space,28.0,95.0,29.47368421052631,129.0,0.21705426356589147,K1990D1999,28.0,101.0,0.4057457291353018,0.07113825831965832,0.23249512583682505,0.2016134012949579
2000-2009,Curriculum Issues: No space,38.0,95.0,40.0,168.0,0.2261904761904762,K2000D2009,38.0,130.0,0.4057457291353018,0.06326268828636933,0.24049989377905973,0.21188105860189266
2010-2016,Curriculum Issues: No space,14.0,95.0,14.736842105263156,98.0,0.14285714285714285,K2010D2016,14.0,84.0,0.4057457291353018,0.06928075922915335,0.15275439417559333,0.13295989153869237
1980-1989,Curriculum Issues: Incompatible with current curriculum,14.0,49.0,28.57142857142857,73.0,0.1917808219178082,K1980D1989,14.0,59.0,0.027784847799338895,0.09031373941681452,0.20910126509363564,0.17446037874198078
1990-1999,Curriculum Issues: Incompatible with current curriculum,12.0,49.0,24.489795918367346,129.0,0.09302325581395349,K1990D1999,12.0,117.0,0.027784847799338895,0.05012415675144644,0.097685968069902,0.08836054355800498
2000-2009,Curriculum Issues: Incompatible with current curriculum,18.0,49.0,36.734693877551024,168.0,0.10714285714285714,K2000D2009,18.0,150.0,0.027784847799338895,0.046769857911767715,0.1121539133476894,0.10213180093802487
2010-2016,Curriculum Issues: Incompatible with current curriculum,5.0,49.0,10.204081632653061,98.0,0.05102040816326531,K2010D2016,5.0,93.0,0.027784847799338895,0.04356477284944269,0.05324310065558381,0.048797715670946804
1980-1989,Resource Issues: Access to exercises,5.0,36.0,13.88888888888889,73.0,0.0684931506849315,K1980D1989,5.0,68.0,0.01731000895711752,0.057943304502954006,0.0724618701714352,0.06452443119842781
1990-1999,Resource Issues: Access to exercises,18.0,36.0,50.0,129.0,0.13953488372093023,K1990D1999,18.0,111.0,0.01731000895711752,0.05979450397036511,0.14787830287958584,0.13119146456227462
2000-2009,Resource Issues: Access to exercises,8.0,36.0,22.22222222222222,168.0,0.047619047619047616,K2000D2009,8.0,160.0,0.01731000895711752,0.03220246769720241,0.04915249846177154,0.04608559677632369
2010-2016,Resource Issues: Access to exercises,5.0,36.0,13.88888888888889,98.0,0.05102040816326531,K2010D2016,5.0,93.0,0.01731000895711752,0.04356477284944269,0.05324310065558381,0.048797715670946804
1980-1989,Student Issues: Background knowledge,11.0,49.0,22.448979591836736,73.0,0.1506849315068493,K1980D1989,11.0,62.0,0.39441306645478647,0.08206462478624496,0.16305083387189992,0.1383190291417987
1990-1999,Student Issues: Background knowledge,12.0,49.0,24.489795918367346,129.0,0.09302325581395349,K1990D1999,12.0,117.0,0.39441306645478647,0.05012415675144644,0.097685968069902,0.08836054355800498
2000-2009,Student Issues: Background knowledge,14.0,49.0,28.57142857142857,168.0,0.08333333333333333,K2000D2009,14.0,154.0,0.39441306645478647,0.04179348113792941,0.08681612342816078,0.07985054323850588
2010-2016,Student Issues: Background knowledge,12.0,49.0,24.489795918367346,98.0,0.12244897959183673,K2010D2016,12.0,86.0,0.39441306645478647,0.06490061708030594,0.13039599392820073,0.11450196525547274
