"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","Non-underrepresented","Faculty Issues: Expertise/training",122,139,87.7697841726619,880,0.138636363636364,"Not_underrepresented_in_STEM"
"2","underrepresented","Faculty Issues: Expertise/training",17,139,12.2302158273381,81,0.209876543209877,"Underrepresented_in_STEM"
"3","Non-underrepresented","Faculty Issues: Time",63,69,91.304347826087,880,0.0715909090909091,"Not_underrepresented_in_STEM"
"4","underrepresented","Faculty Issues: Time",6,69,8.69565217391304,81,0.0740740740740741,"Underrepresented_in_STEM"
"5","Non-underrepresented","Faculty Issues: Too few faculty",40,41,97.5609756097561,880,0.0454545454545455,"Not_underrepresented_in_STEM"
"6","underrepresented","Faculty Issues: Too few faculty",1,41,2.4390243902439,81,0.0123456790123457,"Underrepresented_in_STEM"
"7","Non-underrepresented","Faculty Issues: Lack of interest",25,27,92.5925925925926,880,0.0284090909090909,"Not_underrepresented_in_STEM"
"8","underrepresented","Faculty Issues: Lack of interest",2,27,7.40740740740741,81,0.0246913580246914,"Underrepresented_in_STEM"
"9","Non-underrepresented","Curriculum Issues: No space",41,44,93.1818181818182,880,0.0465909090909091,"Not_underrepresented_in_STEM"
"10","underrepresented","Curriculum Issues: No space",3,44,6.81818181818182,81,0.037037037037037,"Underrepresented_in_STEM"
"11","Non-underrepresented","Curriculum Issues: Incompatible with current curriculum",21,23,91.304347826087,880,0.0238636363636364,"Not_underrepresented_in_STEM"
"12","underrepresented","Curriculum Issues: Incompatible with current curriculum",2,23,8.69565217391304,81,0.0246913580246914,"Underrepresented_in_STEM"
"13","Non-underrepresented","Curriculum Issues: Integration needed at every level",16,18,88.8888888888889,880,0.0181818181818182,"Not_underrepresented_in_STEM"
"14","underrepresented","Curriculum Issues: Integration needed at every level",2,18,11.1111111111111,81,0.0246913580246914,"Underrepresented_in_STEM"
"15","Non-underrepresented","Curriculum Issues: Bioinformatics curriculum is under development",14,16,87.5,880,0.0159090909090909,"Not_underrepresented_in_STEM"
"16","underrepresented","Curriculum Issues: Bioinformatics curriculum is under development",2,16,12.5,81,0.0246913580246914,"Underrepresented_in_STEM"
"17","Non-underrepresented","Curriculum Issues: Not required for life sci/pre-med majors",11,11,100,880,0.0125,"Not_underrepresented_in_STEM"
"18","underrepresented","Curriculum Issues: Not required for life sci/pre-med majors",0,11,0,81,0,"Underrepresented_in_STEM"
"19","Non-underrepresented","Curriculum Issues: Class size",4,4,100,880,0.00454545454545455,"Not_underrepresented_in_STEM"
"20","underrepresented","Curriculum Issues: Class size",0,4,0,81,0,"Underrepresented_in_STEM"
"21","Non-underrepresented","Curriculum Issues: Too few seats",3,3,100,880,0.00340909090909091,"Not_underrepresented_in_STEM"
"22","underrepresented","Curriculum Issues: Too few seats",0,3,0,81,0,"Underrepresented_in_STEM"
"23","Non-underrepresented","Student Issues: Lack of interest",29,33,87.8787878787879,880,0.0329545454545455,"Not_underrepresented_in_STEM"
"24","underrepresented","Student Issues: Lack of interest",4,33,12.1212121212121,81,0.0493827160493827,"Underrepresented_in_STEM"
"25","Non-underrepresented","Student Issues: Background knowledge",24,26,92.3076923076923,880,0.0272727272727273,"Not_underrepresented_in_STEM"
"26","underrepresented","Student Issues: Background knowledge",2,26,7.69230769230769,81,0.0246913580246914,"Underrepresented_in_STEM"
"27","Non-underrepresented","Institutional: Institutional inertia",21,23,91.304347826087,880,0.0238636363636364,"Not_underrepresented_in_STEM"
"28","underrepresented","Institutional: Institutional inertia",2,23,8.69565217391304,81,0.0246913580246914,"Underrepresented_in_STEM"
"29","Non-underrepresented","Institutional: Inter-departmental cooperation",11,12,91.6666666666667,880,0.0125,"Not_underrepresented_in_STEM"
"30","underrepresented","Institutional: Inter-departmental cooperation",1,12,8.33333333333333,81,0.0123456790123457,"Underrepresented_in_STEM"
"31","Non-underrepresented","Institutional: IT support",6,7,85.7142857142857,880,0.00681818181818182,"Not_underrepresented_in_STEM"
"32","underrepresented","Institutional: IT support",1,7,14.2857142857143,81,0.0123456790123457,"Underrepresented_in_STEM"
"33","Non-underrepresented","Institutional: State regulation",2,2,100,880,0.00227272727272727,"Not_underrepresented_in_STEM"
"34","underrepresented","Institutional: State regulation",0,2,0,81,0,"Underrepresented_in_STEM"
"35","Non-underrepresented","Resource Issues: Funding",20,23,86.9565217391304,880,0.0227272727272727,"Not_underrepresented_in_STEM"
"36","underrepresented","Resource Issues: Funding",3,23,13.0434782608696,81,0.037037037037037,"Underrepresented_in_STEM"
"37","Non-underrepresented","Resource Issues: Access to software",7,8,87.5,880,0.00795454545454545,"Not_underrepresented_in_STEM"
"38","underrepresented","Resource Issues: Access to software",1,8,12.5,81,0.0123456790123457,"Underrepresented_in_STEM"
"39","Non-underrepresented","Resource Issues: Access to bioinformatics lesson plans/curricula",4,4,100,880,0.00454545454545455,"Not_underrepresented_in_STEM"
"40","underrepresented","Resource Issues: Access to bioinformatics lesson plans/curricula",0,4,0,81,0,"Underrepresented_in_STEM"
"41","Non-underrepresented","Facilities: Access to computer(s)/labs",15,17,88.2352941176471,880,0.0170454545454545,"Not_underrepresented_in_STEM"
"42","underrepresented","Facilities: Access to computer(s)/labs",2,17,11.7647058823529,81,0.0246913580246914,"Underrepresented_in_STEM"
"43","Non-underrepresented","Facilities: Servers",3,3,100,880,0.00340909090909091,"Not_underrepresented_in_STEM"
"44","underrepresented","Facilities: Servers",0,3,0,81,0,"Underrepresented_in_STEM"
