"","Not_underrepresented_in_STEM","Underrepresented_in_STEM"
"Faculty Issues: Expertise/training","23"," 3"
"Faculty Issues: Time","8","0"
"Faculty Issues: No interest in topic","1","0"
"Faculty Issues: No comp-sci faculty","1","0"
"Facilities Issues: Access to computer labs","130"," 15"
"Facilities Issues: Inadaquate computers","23"," 2"
"Facilities Issues: Access to servers","11"," 0"
"Facilities Issues: Access to internet","13"," 2"
"Resource Issues: Access to operating systems","42"," 4"
"Resource Issues: Apropriate software","37"," 5"
"Resource Issues: Access to high-performance computing","52"," 8"
"Resource Issues: Funding","20"," 0"
"Institutional Issues: Access to IT support","108"," 10"
"Institutional Issues: Subscriptions/licenses","2","0"
"Institutional Issues: No support from comp-sci faculty","4","0"
"Student Issues: Access to software off-campus","10"," 0"
"Student Issues: Basic computing knowledge","5","0"
"Student Issues: Access to computers Off-campus","12"," 0"
"Student Issues: No interest in bioinformatics","0","0"
"Curriculum Issues: New program development required","4","0"
"Curriculum Issues: Class size","3","0"
"Curriculum Issues: Access to bioinformatics lesson plans","2","0"
