"","category_key","variable","value","response_count","Yes_percentage","No_percentage","response_stratafying_cat","percentage_of_n","proportion_error","ymax_y","ymin_y","ymax_n","ymin_n","chi_values"
"1","American.Indian.or.Alaskan.Native","Yes",1,2,1,0,2,1,0,1,1,0,0,0.157299207050284
"2","Asian","Yes",0.421052631578947,57,0.421052631578947,0.578947368421053,65,0.876923076923077,0.0798657321651755,0.454680308280074,0.387424954877821,0.625185423885102,0.532709312957004,0.233230222782185
"3","Black.or.African.American","Yes",0.586206896551724,29,0.586206896551724,0.413793103448276,34,0.852941176470588,0.119045700964767,0.655992307462105,0.516421485641343,0.463053393502662,0.364532813393889,0.353160353315988
"4","Hispanic","Yes",0.6,35,0.6,0.4,42,0.833333333333333,0.112708636940208,0.667625182164125,0.532374817835875,0.445083454776083,0.354916545223917,0.236723570637857
"5","Native.Hawaiian.or.Pacific.Islander","Yes",0.5,2,0.5,0.5,3,0.666666666666667,0.533434630706145,0.766717315353073,0.233282684646927,0.766717315353073,0.233282684646927,1
"6","White","Yes",0.537313432835821,670,0.537313432835821,0.462686567164179,815,0.822085889570552,0.0262562730642094,0.551421281049426,0.523205584622216,0.474834992014783,0.450538142313575,0.0534004322494558
"7","American.Indian.or.Alaskan.Native","No",0,2,1,0,2,1,0,1,1,0,0,0.157299207050284
"8","Asian","No",0.578947368421053,57,0.421052631578947,0.578947368421053,65,0.876923076923077,0.0798657321651755,0.454680308280074,0.387424954877821,0.625185423885102,0.532709312957004,0.233230222782185
"9","Black.or.African.American","No",0.413793103448276,29,0.586206896551724,0.413793103448276,34,0.852941176470588,0.119045700964767,0.655992307462105,0.516421485641343,0.463053393502662,0.364532813393889,0.353160353315988
"10","Hispanic","No",0.4,35,0.6,0.4,42,0.833333333333333,0.112708636940208,0.667625182164125,0.532374817835875,0.445083454776083,0.354916545223917,0.236723570637857
"11","Native.Hawaiian.or.Pacific.Islander","No",0.5,2,0.5,0.5,3,0.666666666666667,0.533434630706145,0.766717315353073,0.233282684646927,0.766717315353073,0.233282684646927,1
"12","White","No",0.462686567164179,670,0.537313432835821,0.462686567164179,815,0.822085889570552,0.0262562730642094,0.551421281049426,0.523205584622216,0.474834992014783,0.450538142313575,0.0534004322494558
