"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_B.S. (or equivalent)","Faculty Issues: Expertise/training",0,145,0,6,0,"Bachelors"
"2","2_M.S. (or equivalent)","Faculty Issues: Expertise/training",9,145,6.20689655172414,112,0.0803571428571429,"Masters"
"3","3_Professional degree (e.g., M.D.)","Faculty Issues: Expertise/training",1,145,0.689655172413793,10,0.1,"Professional.Degree"
"4","4_Ph.D. (or equivalent)","Faculty Issues: Expertise/training",135,145,93.1034482758621,918,0.147058823529412,"Doctoral"
"5","1_B.S. (or equivalent)","Faculty Issues: Time",0,72,0,6,0,"Bachelors"
"6","2_M.S. (or equivalent)","Faculty Issues: Time",4,72,5.55555555555556,112,0.0357142857142857,"Masters"
"7","3_Professional degree (e.g., M.D.)","Faculty Issues: Time",0,72,0,10,0,"Professional.Degree"
"8","4_Ph.D. (or equivalent)","Faculty Issues: Time",68,72,94.4444444444444,918,0.0740740740740741,"Doctoral"
"9","1_B.S. (or equivalent)","Faculty Issues: Too few faculty",0,43,0,6,0,"Bachelors"
"10","2_M.S. (or equivalent)","Faculty Issues: Too few faculty",2,43,4.65116279069767,112,0.0178571428571429,"Masters"
"11","3_Professional degree (e.g., M.D.)","Faculty Issues: Too few faculty",0,43,0,10,0,"Professional.Degree"
"12","4_Ph.D. (or equivalent)","Faculty Issues: Too few faculty",41,43,95.3488372093023,918,0.0446623093681917,"Doctoral"
"13","1_B.S. (or equivalent)","Faculty Issues: Lack of interest",0,31,0,6,0,"Bachelors"
"14","2_M.S. (or equivalent)","Faculty Issues: Lack of interest",2,31,6.45161290322581,112,0.0178571428571429,"Masters"
"15","3_Professional degree (e.g., M.D.)","Faculty Issues: Lack of interest",0,31,0,10,0,"Professional.Degree"
"16","4_Ph.D. (or equivalent)","Faculty Issues: Lack of interest",29,31,93.5483870967742,918,0.0315904139433551,"Doctoral"
"17","1_B.S. (or equivalent)","Curriculum Issues: No space",0,50,0,6,0,"Bachelors"
"18","2_M.S. (or equivalent)","Curriculum Issues: No space",4,50,8,112,0.0357142857142857,"Masters"
"19","3_Professional degree (e.g., M.D.)","Curriculum Issues: No space",0,50,0,10,0,"Professional.Degree"
"20","4_Ph.D. (or equivalent)","Curriculum Issues: No space",46,50,92,918,0.0501089324618736,"Doctoral"
"21","1_B.S. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",0,26,0,6,0,"Bachelors"
"22","2_M.S. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",1,26,3.84615384615385,112,0.00892857142857143,"Masters"
"23","3_Professional degree (e.g., M.D.)","Curriculum Issues: Incompatible with current curriculum",2,26,7.69230769230769,10,0.2,"Professional.Degree"
"24","4_Ph.D. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",23,26,88.4615384615385,918,0.0250544662309368,"Doctoral"
"25","1_B.S. (or equivalent)","Curriculum Issues: Integration needed at every level",0,22,0,6,0,"Bachelors"
"26","2_M.S. (or equivalent)","Curriculum Issues: Integration needed at every level",3,22,13.6363636363636,112,0.0267857142857143,"Masters"
"27","3_Professional degree (e.g., M.D.)","Curriculum Issues: Integration needed at every level",1,22,4.54545454545455,10,0.1,"Professional.Degree"
"28","4_Ph.D. (or equivalent)","Curriculum Issues: Integration needed at every level",18,22,81.8181818181818,918,0.0196078431372549,"Doctoral"
"29","1_B.S. (or equivalent)","Curriculum Issues: Bioinformatics curriculum is under development",0,18,0,6,0,"Bachelors"
"30","2_M.S. (or equivalent)","Curriculum Issues: Bioinformatics curriculum is under development",3,18,16.6666666666667,112,0.0267857142857143,"Masters"
"31","3_Professional degree (e.g., M.D.)","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,10,0.1,"Professional.Degree"
"32","4_Ph.D. (or equivalent)","Curriculum Issues: Bioinformatics curriculum is under development",14,18,77.7777777777778,918,0.0152505446623094,"Doctoral"
"33","1_B.S. (or equivalent)","Curriculum Issues: Not required for life sci/pre-med majors",0,13,0,6,0,"Bachelors"
"34","2_M.S. (or equivalent)","Curriculum Issues: Not required for life sci/pre-med majors",2,13,15.3846153846154,112,0.0178571428571429,"Masters"
"35","3_Professional degree (e.g., M.D.)","Curriculum Issues: Not required for life sci/pre-med majors",0,13,0,10,0,"Professional.Degree"
"36","4_Ph.D. (or equivalent)","Curriculum Issues: Not required for life sci/pre-med majors",11,13,84.6153846153846,918,0.0119825708061002,"Doctoral"
"37","1_B.S. (or equivalent)","Curriculum Issues: Class size",0,4,0,6,0,"Bachelors"
"38","2_M.S. (or equivalent)","Curriculum Issues: Class size",0,4,0,112,0,"Masters"
"39","3_Professional degree (e.g., M.D.)","Curriculum Issues: Class size",0,4,0,10,0,"Professional.Degree"
"40","4_Ph.D. (or equivalent)","Curriculum Issues: Class size",4,4,100,918,0.00435729847494553,"Doctoral"
"41","1_B.S. (or equivalent)","Curriculum Issues: Too few seats",0,3,0,6,0,"Bachelors"
"42","2_M.S. (or equivalent)","Curriculum Issues: Too few seats",1,3,33.3333333333333,112,0.00892857142857143,"Masters"
"43","3_Professional degree (e.g., M.D.)","Curriculum Issues: Too few seats",0,3,0,10,0,"Professional.Degree"
"44","4_Ph.D. (or equivalent)","Curriculum Issues: Too few seats",2,3,66.6666666666667,918,0.00217864923747277,"Doctoral"
"45","1_B.S. (or equivalent)","Student Issues: Lack of interest",0,38,0,6,0,"Bachelors"
"46","2_M.S. (or equivalent)","Student Issues: Lack of interest",5,38,13.1578947368421,112,0.0446428571428571,"Masters"
"47","3_Professional degree (e.g., M.D.)","Student Issues: Lack of interest",1,38,2.63157894736842,10,0.1,"Professional.Degree"
"48","4_Ph.D. (or equivalent)","Student Issues: Lack of interest",32,38,84.2105263157895,918,0.0348583877995643,"Doctoral"
"49","1_B.S. (or equivalent)","Student Issues: Background knowledge",0,30,0,6,0,"Bachelors"
"50","2_M.S. (or equivalent)","Student Issues: Background knowledge",2,30,6.66666666666667,112,0.0178571428571429,"Masters"
"51","3_Professional degree (e.g., M.D.)","Student Issues: Background knowledge",1,30,3.33333333333333,10,0.1,"Professional.Degree"
