"","Bachelors","Masters","Professional.Degree","Doctoral"
"Faculty Issues: Expertise/training","  0","  9","  1","135"
"Faculty Issues: Time"," 0"," 4"," 0","68"
"Faculty Issues: Too few faculty"," 0"," 2"," 0","41"
"Faculty Issues: Lack of interest"," 0"," 2"," 0","29"
"Curriculum Issues: No space"," 0"," 4"," 0","46"
"Curriculum Issues: Incompatible with current curriculum"," 0"," 1"," 2","23"
"Curriculum Issues: Integration needed at every level"," 0"," 3"," 1","18"
"Curriculum Issues: Bioinformatics curriculum is under development"," 0"," 3"," 1","14"
"Curriculum Issues: Not required for life sci/pre-med majors"," 0"," 2"," 0","11"
"Curriculum Issues: Class size","0","0","0","4"
"Curriculum Issues: Too few seats","0","1","0","2"
"Student Issues: Lack of interest"," 0"," 5"," 1","32"
"Student Issues: Background knowledge"," 0"," 2"," 1","27"
"Institutional: Institutional inertia"," 0"," 2"," 0","22"
"Institutional: Inter-departmental cooperation"," 0"," 1"," 0","14"
"Institutional: IT support","0","0","0","7"
"Institutional: State regulation","0","0","0","1"
"Resource Issues: Funding"," 0"," 1"," 1","23"
"Resource Issues: Access to software"," 0"," 0"," 0","10"
"Resource Issues: Access to bioinformatics lesson plans/curricula","0","1","0","3"
"Facilities: Access to computer(s)/labs"," 0"," 1"," 0","18"
"Facilities: Servers","0","0","0","3"
