"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_B.S. (or equivalent)","Faculty Issues: Expertise/training",0,28,0,6,0,"Bachelors"
"2","2_M.S. (or equivalent)","Faculty Issues: Expertise/training",5,28,17.8571428571429,112,0.0446428571428571,"Masters"
"3","3_Professional degree (e.g., M.D.)","Faculty Issues: Expertise/training",0,28,0,10,0,"Professional.Degree"
"4","4_Ph.D. (or equivalent)","Faculty Issues: Expertise/training",23,28,82.1428571428571,918,0.0250544662309368,"Doctoral"
"5","1_B.S. (or equivalent)","Faculty Issues: Time",1,8,12.5,6,0.166666666666667,"Bachelors"
"6","2_M.S. (or equivalent)","Faculty Issues: Time",0,8,0,112,0,"Masters"
"7","3_Professional degree (e.g., M.D.)","Faculty Issues: Time",0,8,0,10,0,"Professional.Degree"
"8","4_Ph.D. (or equivalent)","Faculty Issues: Time",7,8,87.5,918,0.00762527233115468,"Doctoral"
"9","1_B.S. (or equivalent)","Faculty Issues: No interest in topic",0,1,0,6,0,"Bachelors"
"10","2_M.S. (or equivalent)","Faculty Issues: No interest in topic",0,1,0,112,0,"Masters"
"11","3_Professional degree (e.g., M.D.)","Faculty Issues: No interest in topic",0,1,0,10,0,"Professional.Degree"
"12","4_Ph.D. (or equivalent)","Faculty Issues: No interest in topic",1,1,100,918,0.00108932461873638,"Doctoral"
"13","1_B.S. (or equivalent)","Faculty Issues: No comp-sci faculty",0,1,0,6,0,"Bachelors"
"14","2_M.S. (or equivalent)","Faculty Issues: No comp-sci faculty",0,1,0,112,0,"Masters"
"15","3_Professional degree (e.g., M.D.)","Faculty Issues: No comp-sci faculty",0,1,0,10,0,"Professional.Degree"
"16","4_Ph.D. (or equivalent)","Faculty Issues: No comp-sci faculty",1,1,100,918,0.00108932461873638,"Doctoral"
"17","1_B.S. (or equivalent)","Facilities Issues: Access to computer labs",0,160,0,6,0,"Bachelors"
"18","2_M.S. (or equivalent)","Facilities Issues: Access to computer labs",16,160,10,112,0.142857142857143,"Masters"
"19","3_Professional degree (e.g., M.D.)","Facilities Issues: Access to computer labs",3,160,1.875,10,0.3,"Professional.Degree"
"20","4_Ph.D. (or equivalent)","Facilities Issues: Access to computer labs",141,160,88.125,918,0.15359477124183,"Doctoral"
"21","1_B.S. (or equivalent)","Facilities Issues: Inadaquate computers",0,26,0,6,0,"Bachelors"
"22","2_M.S. (or equivalent)","Facilities Issues: Inadaquate computers",3,26,11.5384615384615,112,0.0267857142857143,"Masters"
"23","3_Professional degree (e.g., M.D.)","Facilities Issues: Inadaquate computers",0,26,0,10,0,"Professional.Degree"
"24","4_Ph.D. (or equivalent)","Facilities Issues: Inadaquate computers",23,26,88.4615384615385,918,0.0250544662309368,"Doctoral"
"25","1_B.S. (or equivalent)","Facilities Issues: Access to servers",0,11,0,6,0,"Bachelors"
"26","2_M.S. (or equivalent)","Facilities Issues: Access to servers",1,11,9.09090909090909,112,0.00892857142857143,"Masters"
"27","3_Professional degree (e.g., M.D.)","Facilities Issues: Access to servers",0,11,0,10,0,"Professional.Degree"
