"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_B.S. (or equivalent)","Faculty Issues: Expertise/training",0,296,0,6,0,"Bachelors"
"2","2_M.S. (or equivalent)","Faculty Issues: Expertise/training",34,296,11.4864864864865,112,0.303571428571429,"Masters"
"3","3_Professional degree (e.g., M.D.)","Faculty Issues: Expertise/training",0,296,0,10,0,"Professional_Degree"
"4","4_Ph.D. (or equivalent)","Faculty Issues: Expertise/training",262,296,88.5135135135135,918,0.285403050108932,"Doctoral"
"5","1_B.S. (or equivalent)","Faculty Issues: Time",0,90,0,6,0,"Bachelors"
"6","2_M.S. (or equivalent)","Faculty Issues: Time",11,90,12.2222222222222,112,0.0982142857142857,"Masters"
"7","3_Professional degree (e.g., M.D.)","Faculty Issues: Time",0,90,0,10,0,"Professional_Degree"
"8","4_Ph.D. (or equivalent)","Faculty Issues: Time",79,90,87.7777777777778,918,0.0860566448801743,"Doctoral"
"9","1_B.S. (or equivalent)","Faculty Issues: Differences of opinion",0,17,0,6,0,"Bachelors"
"10","2_M.S. (or equivalent)","Faculty Issues: Differences of opinion",3,17,17.6470588235294,112,0.0267857142857143,"Masters"
"11","3_Professional degree (e.g., M.D.)","Faculty Issues: Differences of opinion",1,17,5.88235294117647,10,0.1,"Professional_Degree"
"12","4_Ph.D. (or equivalent)","Faculty Issues: Differences of opinion",13,17,76.4705882352941,918,0.014161220043573,"Doctoral"
"13","1_B.S. (or equivalent)","Faculty Issues: Content development",0,13,0,6,0,"Bachelors"
"14","2_M.S. (or equivalent)","Faculty Issues: Content development",2,13,15.3846153846154,112,0.0178571428571429,"Masters"
"15","3_Professional degree (e.g., M.D.)","Faculty Issues: Content development",0,13,0,10,0,"Professional_Degree"
"16","4_Ph.D. (or equivalent)","Faculty Issues: Content development",11,13,84.6153846153846,918,0.0119825708061002,"Doctoral"
"17","1_B.S. (or equivalent)","Faculty Issues: Too few faculty",0,9,0,6,0,"Bachelors"
