"","Bachelors","Masters","Professional_Degree","Doctoral"
"Faculty Issues: Expertise/training","  0"," 34","  0","262"
"Faculty Issues: Time"," 0","11"," 0","79"
"Faculty Issues: Differences of opinion"," 0"," 3"," 1","13"
"Faculty Issues: Content development"," 0"," 2"," 0","11"
"Faculty Issues: Too few faculty","0","0","0","9"
"Faculities Issues: Access to computer labs"," 0"," 7"," 0","41"
"Faculities Issues: Inadaquate computers","0","0","0","6"
"Resource Issues: Access to software"," 0"," 7"," 0","42"
"Resource Issues: Funding"," 0"," 2"," 0","26"
"Resource Issues: Software/license fees","0","0","0","7"
"Student Issues: Lack of background skills/knowledge","  1"," 19","  1","181"
"Student Issues: Lack of interest"," 2"," 9"," 0","91"
"Student Issues: Intimidated by topic"," 0"," 3"," 0","30"
"Student Issues: Varying student backrounds"," 0"," 2"," 0","20"
"Student Issues: Lack of basic computing skills"," 0"," 1"," 0","16"
"Student Issues: Career prospects","0","1","1","5"
"Curriculum Issues: Lack of integration"," 1"," 9"," 0","74"
"Curriculum Issues: Too much content"," 2"," 6"," 0","64"
"Curriculum Issues: Quickly changing technologies"," 0"," 3"," 0","49"
"Curriculum Issues: Access to bioinformatics lesson plans/curriculum"," 0"," 4"," 0","32"
"Curriculum Issues: Difficulty establishing relevance"," 0"," 1"," 0","11"
"Curriculum Issues: Influence from professional schools"," 0"," 0"," 0","11"
"Institutional Issues: Lack of inter-departmental cooperation"," 0"," 0"," 1","14"
"Institutional Issues: Lack of IT support"," 0"," 2"," 0","10"
