"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_B.S. (or equivalent)","Faculty Issues: Expertise/training",0,175,0,5,0,"Bachelors"
"2","2_M.S. (or equivalent)","Faculty Issues: Expertise/training",21,175,12,81,0.259259259259259,"Masters"
"3","3_Professional degree (e.g., M.D.)","Faculty Issues: Expertise/training",1,175,0.571428571428571,4,0.25,"Professional_Degree"
"4","4_Ph.D. (or equivalent)","Faculty Issues: Expertise/training",153,175,87.4285714285714,412,0.371359223300971,"Doctoral"
"5","1_B.S. (or equivalent)","Faculty Issues: Time",1,134,0.746268656716418,5,0.2,"Bachelors"
"6","2_M.S. (or equivalent)","Faculty Issues: Time",20,134,14.9253731343284,81,0.246913580246914,"Masters"
"7","3_Professional degree (e.g., M.D.)","Faculty Issues: Time",0,134,0,4,0,"Professional_Degree"
"8","4_Ph.D. (or equivalent)","Faculty Issues: Time",113,134,84.3283582089552,412,0.274271844660194,"Doctoral"
"9","1_B.S. (or equivalent)","Faculty Issues: Curriculum design/integration",0,32,0,5,0,"Bachelors"
"10","2_M.S. (or equivalent)","Faculty Issues: Curriculum design/integration",2,32,6.25,81,0.0246913580246914,"Masters"
"11","3_Professional degree (e.g., M.D.)","Faculty Issues: Curriculum design/integration",0,32,0,4,0,"Professional_Degree"
"12","4_Ph.D. (or equivalent)","Faculty Issues: Curriculum design/integration",30,32,93.75,412,0.0728155339805825,"Doctoral"
"13","1_B.S. (or equivalent)","Faculty Issues: Lack of interest",0,9,0,5,0,"Bachelors"
"14","2_M.S. (or equivalent)","Faculty Issues: Lack of interest",1,9,11.1111111111111,81,0.0123456790123457,"Masters"
"15","3_Professional degree (e.g., M.D.)","Faculty Issues: Lack of interest",0,9,0,4,0,"Professional_Degree"
"16","4_Ph.D. (or equivalent)","Faculty Issues: Lack of interest",8,9,88.8888888888889,412,0.0194174757281553,"Doctoral"
"17","1_B.S. (or equivalent)","Faculty Issues: New Faculty",0,4,0,5,0,"Bachelors"
"18","2_M.S. (or equivalent)","Faculty Issues: New Faculty",0,4,0,81,0,"Masters"
"19","3_Professional degree (e.g., M.D.)","Faculty Issues: New Faculty",0,4,0,4,0,"Professional_Degree"
"20","4_Ph.D. (or equivalent)","Faculty Issues: New Faculty",4,4,100,412,0.00970873786407767,"Doctoral"
"21","1_B.S. (or equivalent)","Curriculum Issues: No space",0,100,0,5,0,"Bachelors"
"22","2_M.S. (or equivalent)","Curriculum Issues: No space",13,100,13,81,0.160493827160494,"Masters"
"23","3_Professional degree (e.g., M.D.)","Curriculum Issues: No space",1,100,1,4,0.25,"Professional_Degree"
"24","4_Ph.D. (or equivalent)","Curriculum Issues: No space",86,100,86,412,0.20873786407767,"Doctoral"
"25","1_B.S. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",1,52,1.92307692307692,5,0.2,"Bachelors"
"26","2_M.S. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",13,52,25,81,0.160493827160494,"Masters"
"27","3_Professional degree (e.g., M.D.)","Curriculum Issues: Incompatible with current curriculum",2,52,3.84615384615385,4,0.5,"Professional_Degree"
"28","4_Ph.D. (or equivalent)","Curriculum Issues: Incompatible with current curriculum",36,52,69.2307692307692,412,0.087378640776699,"Doctoral"
"29","1_B.S. (or equivalent)","Curriculum Issues: Time needed to develop",0,33,0,5,0,"Bachelors"
"30","2_M.S. (or equivalent)","Curriculum Issues: Time needed to develop",4,33,12.1212121212121,81,0.0493827160493827,"Masters"
"31","3_Professional degree (e.g., M.D.)","Curriculum Issues: Time needed to develop",0,33,0,4,0,"Professional_Degree"
"32","4_Ph.D. (or equivalent)","Curriculum Issues: Time needed to develop",29,33,87.8787878787879,412,0.0703883495145631,"Doctoral"
"33","1_B.S. (or equivalent)","Curriculum Issues: No control",1,24,4.16666666666667,5,0.2,"Bachelors"
"34","2_M.S. (or equivalent)","Curriculum Issues: No control",7,24,29.1666666666667,81,0.0864197530864197,"Masters"
"35","3_Professional degree (e.g., M.D.)","Curriculum Issues: No control",0,24,0,4,0,"Professional_Degree"
"36","4_Ph.D. (or equivalent)","Curriculum Issues: No control",16,24,66.6666666666667,412,0.0388349514563107,"Doctoral"
"37","1_B.S. (or equivalent)","Curriculum Issues: Covered elsewhere",0,15,0,5,0,"Bachelors"
"38","2_M.S. (or equivalent)","Curriculum Issues: Covered elsewhere",2,15,13.3333333333333,81,0.0246913580246914,"Masters"
"39","3_Professional degree (e.g., M.D.)","Curriculum Issues: Covered elsewhere",0,15,0,4,0,"Professional_Degree"
"40","4_Ph.D. (or equivalent)","Curriculum Issues: Covered elsewhere",13,15,86.6666666666667,412,0.0315533980582524,"Doctoral"
"41","1_B.S. (or equivalent)","Curriculum Issues: Class size",0,8,0,5,0,"Bachelors"
"42","2_M.S. (or equivalent)","Curriculum Issues: Class size",0,8,0,81,0,"Masters"
"43","3_Professional degree (e.g., M.D.)","Curriculum Issues: Class size",0,8,0,4,0,"Professional_Degree"
"44","4_Ph.D. (or equivalent)","Curriculum Issues: Class size",8,8,100,412,0.0194174757281553,"Doctoral"
"45","1_B.S. (or equivalent)","Curriculum Issues: Plan for future coverage",0,9,0,5,0,"Bachelors"
"46","2_M.S. (or equivalent)","Curriculum Issues: Plan for future coverage",1,9,11.1111111111111,81,0.0123456790123457,"Masters"
"47","3_Professional degree (e.g., M.D.)","Curriculum Issues: Plan for future coverage",0,9,0,4,0,"Professional_Degree"
"48","4_Ph.D. (or equivalent)","Curriculum Issues: Plan for future coverage",8,9,88.8888888888889,412,0.0194174757281553,"Doctoral"
"49","1_B.S. (or equivalent)","Curriculum Issues: Too much content",0,5,0,5,0,"Bachelors"
"50","2_M.S. (or equivalent)","Curriculum Issues: Too much content",0,5,0,81,0,"Masters"
"51","3_Professional degree (e.g., M.D.)","Curriculum Issues: Too much content",0,5,0,4,0,"Professional_Degree"
"52","4_Ph.D. (or equivalent)","Curriculum Issues: Too much content",5,5,100,412,0.0121359223300971,"Doctoral"
"53","1_B.S. (or equivalent)","Curriculum Issues: Content requires several courses",0,1,0,5,0,"Bachelors"
"54","2_M.S. (or equivalent)","Curriculum Issues: Content requires several courses",0,1,0,81,0,"Masters"
"55","3_Professional degree (e.g., M.D.)","Curriculum Issues: Content requires several courses",0,1,0,4,0,"Professional_Degree"
"56","4_Ph.D. (or equivalent)","Curriculum Issues: Content requires several courses",1,1,100,412,0.00242718446601942,"Doctoral"
"57","1_B.S. (or equivalent)","Resource Issues: Access to exercises",0,39,0,5,0,"Bachelors"
"58","2_M.S. (or equivalent)","Resource Issues: Access to exercises",2,39,5.12820512820513,81,0.0246913580246914,"Masters"
"59","3_Professional degree (e.g., M.D.)","Resource Issues: Access to exercises",0,39,0,4,0,"Professional_Degree"
"60","4_Ph.D. (or equivalent)","Resource Issues: Access to exercises",37,39,94.8717948717949,412,0.0898058252427184,"Doctoral"
"61","1_B.S. (or equivalent)","Resource Issues: Access to lesson plans",0,35,0,5,0,"Bachelors"
"62","2_M.S. (or equivalent)","Resource Issues: Access to lesson plans",3,35,8.57142857142857,81,0.037037037037037,"Masters"
"63","3_Professional degree (e.g., M.D.)","Resource Issues: Access to lesson plans",0,35,0,4,0,"Professional_Degree"
"64","4_Ph.D. (or equivalent)","Resource Issues: Access to lesson plans",32,35,91.4285714285714,412,0.0776699029126214,"Doctoral"
"65","1_B.S. (or equivalent)","Resource Issues: Access to intro content",0,16,0,5,0,"Bachelors"
"66","2_M.S. (or equivalent)","Resource Issues: Access to intro content",2,16,12.5,81,0.0246913580246914,"Masters"
"67","3_Professional degree (e.g., M.D.)","Resource Issues: Access to intro content",0,16,0,4,0,"Professional_Degree"
"68","4_Ph.D. (or equivalent)","Resource Issues: Access to intro content",14,16,87.5,412,0.0339805825242718,"Doctoral"
"69","1_B.S. (or equivalent)","Resource Issues: Unable to vet content",0,17,0,5,0,"Bachelors"
"70","2_M.S. (or equivalent)","Resource Issues: Unable to vet content",4,17,23.5294117647059,81,0.0493827160493827,"Masters"
"71","3_Professional degree (e.g., M.D.)","Resource Issues: Unable to vet content",0,17,0,4,0,"Professional_Degree"
"72","4_Ph.D. (or equivalent)","Resource Issues: Unable to vet content",13,17,76.4705882352941,412,0.0315533980582524,"Doctoral"
"73","1_B.S. (or equivalent)","Resource Issues: Funding",1,10,10,5,0.2,"Bachelors"
"74","2_M.S. (or equivalent)","Resource Issues: Funding",3,10,30,81,0.037037037037037,"Masters"
"75","3_Professional degree (e.g., M.D.)","Resource Issues: Funding",0,10,0,4,0,"Professional_Degree"
"76","4_Ph.D. (or equivalent)","Resource Issues: Funding",6,10,60,412,0.0145631067961165,"Doctoral"
"77","1_B.S. (or equivalent)","Resource Issues: No appropriate textbook",0,9,0,5,0,"Bachelors"
"78","2_M.S. (or equivalent)","Resource Issues: No appropriate textbook",3,9,33.3333333333333,81,0.037037037037037,"Masters"
"79","3_Professional degree (e.g., M.D.)","Resource Issues: No appropriate textbook",1,9,11.1111111111111,4,0.25,"Professional_Degree"
"80","4_Ph.D. (or equivalent)","Resource Issues: No appropriate textbook",5,9,55.5555555555556,412,0.0121359223300971,"Doctoral"
"81","1_B.S. (or equivalent)","Resource Issues: No access to online exercises",0,5,0,5,0,"Bachelors"
"82","2_M.S. (or equivalent)","Resource Issues: No access to online exercises",1,5,20,81,0.0123456790123457,"Masters"
"83","3_Professional degree (e.g., M.D.)","Resource Issues: No access to online exercises",0,5,0,4,0,"Professional_Degree"
"84","4_Ph.D. (or equivalent)","Resource Issues: No access to online exercises",4,5,80,412,0.00970873786407767,"Doctoral"
"85","1_B.S. (or equivalent)","Resource Issues: No qualified TAs",0,1,0,5,0,"Bachelors"
"86","2_M.S. (or equivalent)","Resource Issues: No qualified TAs",1,1,100,81,0.0123456790123457,"Masters"
"87","3_Professional degree (e.g., M.D.)","Resource Issues: No qualified TAs",0,1,0,4,0,"Professional_Degree"
"88","4_Ph.D. (or equivalent)","Resource Issues: No qualified TAs",0,1,0,412,0,"Doctoral"
"89","1_B.S. (or equivalent)","Student Issues: Background knowledge",1,51,1.96078431372549,5,0.2,"Bachelors"
"90","2_M.S. (or equivalent)","Student Issues: Background knowledge",12,51,23.5294117647059,81,0.148148148148148,"Masters"
"91","3_Professional degree (e.g., M.D.)","Student Issues: Background knowledge",0,51,0,4,0,"Professional_Degree"
"92","4_Ph.D. (or equivalent)","Student Issues: Background knowledge",38,51,74.5098039215686,412,0.0922330097087379,"Doctoral"
"93","1_B.S. (or equivalent)","Student Issues: Interest in topic",0,13,0,5,0,"Bachelors"
"94","2_M.S. (or equivalent)","Student Issues: Interest in topic",4,13,30.7692307692308,81,0.0493827160493827,"Masters"
"95","3_Professional degree (e.g., M.D.)","Student Issues: Interest in topic",0,13,0,4,0,"Professional_Degree"
"96","4_Ph.D. (or equivalent)","Student Issues: Interest in topic",9,13,69.2307692307692,412,0.0218446601941748,"Doctoral"
"97","1_B.S. (or equivalent)","Facilities: Access to equipment",0,18,0,5,0,"Bachelors"
"98","2_M.S. (or equivalent)","Facilities: Access to equipment",3,18,16.6666666666667,81,0.037037037037037,"Masters"
"99","3_Professional degree (e.g., M.D.)","Facilities: Access to equipment",0,18,0,4,0,"Professional_Degree"
"100","4_Ph.D. (or equivalent)","Facilities: Access to equipment",15,18,83.3333333333333,412,0.0364077669902913,"Doctoral"
"101","1_B.S. (or equivalent)","Institutional: Inertia",0,3,0,5,0,"Bachelors"
"102","2_M.S. (or equivalent)","Institutional: Inertia",0,3,0,81,0,"Masters"
"103","3_Professional degree (e.g., M.D.)","Institutional: Inertia",0,3,0,4,0,"Professional_Degree"
"104","4_Ph.D. (or equivalent)","Institutional: Inertia",3,3,100,412,0.00728155339805825,"Doctoral"
"105","1_B.S. (or equivalent)","State Restrictions",0,1,0,5,0,"Bachelors"
"106","2_M.S. (or equivalent)","State Restrictions",1,1,100,81,0.0123456790123457,"Masters"
"107","3_Professional degree (e.g., M.D.)","State Restrictions",0,1,0,4,0,"Professional_Degree"
"108","4_Ph.D. (or equivalent)","State Restrictions",0,1,0,412,0,"Doctoral"
"109","1_B.S. (or equivalent)","Accreditation",0,1,0,5,0,"Bachelors"
"110","2_M.S. (or equivalent)","Accreditation",1,1,100,81,0.0123456790123457,"Masters"
"111","3_Professional degree (e.g., M.D.)","Accreditation",0,1,0,4,0,"Professional_Degree"
"112","4_Ph.D. (or equivalent)","Accreditation",0,1,0,412,0,"Doctoral"
