"","Bachelors","Masters","Professional.Degree","Doctoral"
"Faculty Issues: Expertise/training","  0"," 21","  1","153"
"Faculty Issues: Time","  1"," 20","  0","113"
"Faculty Issues: Curriculum design/integration"," 0"," 2"," 0","30"
"Faculty Issues: Lack of interest","0","1","0","8"
"Faculty Issues: New Faculty","0","0","0","4"
"Curriculum Issues: No space"," 0","13"," 1","86"
"Curriculum Issues: Incompatible with current curriculum"," 1","13"," 2","36"
"Curriculum Issues: Time needed to develop"," 0"," 4"," 0","29"
"Curriculum Issues: No control"," 1"," 7"," 0","16"
"Curriculum Issues: Covered elsewhere"," 0"," 2"," 0","13"
"Curriculum Issues: Class size","0","0","0","8"
"Curriculum Issues: Plan for future coverage","0","1","0","8"
"Curriculum Issues: Too much content","0","0","0","5"
"Curriculum Issues: Content requires several courses","0","0","0","1"
"Resource Issues: Access to exercises"," 0"," 2"," 0","37"
"Resource Issues: Access to lesson plans"," 0"," 3"," 0","32"
"Resource Issues: Access to intro content"," 0"," 2"," 0","14"
"Resource Issues: Unable to vet content"," 0"," 4"," 0","13"
"Resource Issues: Funding","1","3","0","6"
"Resource Issues: No appropriate textbook","0","3","1","5"
"Resource Issues: No access to online exercises","0","1","0","4"
"Resource Issues: No qualified TAs","0","1","0","0"
"Student Issues: Background knowledge"," 1","12"," 0","38"
"Student Issues: Interest in topic","0","4","0","9"
"Facilities: Access to equipment"," 0"," 3"," 0","15"
"Institutional: Inertia","0","0","0","3"
"State Restrictions","0","1","0","0"
"Accreditation","0","1","0","0"
