"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no_training_experience","Faculty Issues: Expertise/training",18,146,12.3287671232877,103,0.174757281553398,"No_Training"
"2","2_No_formal_training_self_taught","Faculty Issues: Expertise/training",65,146,44.5205479452055,469,0.138592750533049,"SelfDtaught"
"3","3_short_workshop","Faculty Issues: Expertise/training",43,146,29.4520547945205,231,0.186147186147186,"Short_workshops"
"4","4_some_undergraduate_courses","Faculty Issues: Expertise/training",2,146,1.36986301369863,31,0.0645161290322581,"Some_undergraduate_coursework"
"5","6_undergraduate_certificate","Faculty Issues: Expertise/training",0,146,0,5,0,"Undergraduate_certificate"
"6","7_undergraduate_degree","Faculty Issues: Expertise/training",0,146,0,10,0,"Undergraduate_degree"
"7","8_post_graduate_degree","Faculty Issues: Expertise/training",10,146,6.84931506849315,148,0.0675675675675676,"PostDgraduate_certificate"
"8","9_graduate.course_or_degree","Faculty Issues: Expertise/training",8,146,5.47945205479452,55,0.145454545454545,"Graduate_course_or_degree"
"9","1_no_training_experience","Faculty Issues: Time",3,72,4.16666666666667,103,0.029126213592233,"No_Training"
"10","2_No_formal_training_self_taught","Faculty Issues: Time",37,72,51.3888888888889,469,0.0788912579957356,"SelfDtaught"
"11","3_short_workshop","Faculty Issues: Time",20,72,27.7777777777778,231,0.0865800865800866,"Short_workshops"
"12","4_some_undergraduate_courses","Faculty Issues: Time",2,72,2.77777777777778,31,0.0645161290322581,"Some_undergraduate_coursework"
"13","6_undergraduate_certificate","Faculty Issues: Time",0,72,0,5,0,"Undergraduate_certificate"
"14","7_undergraduate_degree","Faculty Issues: Time",0,72,0,10,0,"Undergraduate_degree"
"15","8_post_graduate_degree","Faculty Issues: Time",7,72,9.72222222222222,148,0.0472972972972973,"PostDgraduate_certificate"
"16","9_graduate.course_or_degree","Faculty Issues: Time",3,72,4.16666666666667,55,0.0545454545454545,"Graduate_course_or_degree"
"17","1_no_training_experience","Faculty Issues: Too few faculty",2,43,4.65116279069767,103,0.0194174757281553,"No_Training"
"18","2_No_formal_training_self_taught","Faculty Issues: Too few faculty",21,43,48.8372093023256,469,0.0447761194029851,"SelfDtaught"
"19","3_short_workshop","Faculty Issues: Too few faculty",9,43,20.9302325581395,231,0.038961038961039,"Short_workshops"
"20","4_some_undergraduate_courses","Faculty Issues: Too few faculty",2,43,4.65116279069767,31,0.0645161290322581,"Some_undergraduate_coursework"
"21","6_undergraduate_certificate","Faculty Issues: Too few faculty",0,43,0,5,0,"Undergraduate_certificate"
