"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"Faculty Issues: Expertise/training","18","43"," 2"," 0"," 0","10"," 8","65"
"Faculty Issues: Time"," 3","20"," 2"," 0"," 0"," 7"," 3","37"
"Faculty Issues: Too few faculty"," 2"," 9"," 2"," 0"," 1"," 5"," 3","21"
"Faculty Issues: Lack of interest"," 2","10"," 1"," 0"," 0"," 3"," 2","13"
"Curriculum Issues: No space"," 3","10"," 1"," 0"," 0"," 9"," 2","25"
"Curriculum Issues: Incompatible with current curriculum"," 1"," 6"," 0"," 0"," 0"," 3"," 2","14"
"Curriculum Issues: Integration needed at every level","2","8","0","0","0","2","2","8"
"Curriculum Issues: Bioinformatics curriculum is under development","1","4","1","0","2","3","1","6"
"Curriculum Issues: Not required for life sci/pre-med majors","0","5","0","0","0","2","1","5"
"Curriculum Issues: Class size","1","2","0","0","0","0","0","1"
"Curriculum Issues: Too few seats","0","0","0","0","0","0","0","3"
"Student Issues: Lack of interest"," 2","14"," 1"," 0"," 2"," 4"," 2","13"
"Student Issues: Background knowledge"," 2","12"," 1"," 0"," 1"," 2"," 4"," 8"
"Institutional: Institutional inertia","3","4","0","0","0","6","3","9"
"Institutional: Inter-departmental cooperation","0","7","1","0","0","1","1","5"
"Institutional: IT support","1","2","0","0","0","0","0","4"
"Institutional: State regulation","0","0","0","0","0","1","1","0"
"Resource Issues: Funding"," 3"," 5"," 0"," 0"," 0"," 5"," 1","11"
"Resource Issues: Access to software","1","2","1","0","0","0","1","5"
"Resource Issues: Access to bioinformatics lesson plans/curricula","1","2","0","0","0","0","0","1"
"Facilities: Access to computer(s)/labs","1","9","0","0","0","1","0","8"
"Facilities: Servers","0","1","0","0","0","0","0","2"
