"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","Formal Training","Faculty Issues: Expertise/training",20,146,13.6986301369863,249,0.0803212851405622,"Formal_Training"
"2","No Training","Faculty Issues: Expertise/training",18,146,12.3287671232877,103,0.174757281553398,"No_Training"
"3","Self Taught","Faculty Issues: Expertise/training",65,146,44.5205479452055,469,0.138592750533049,"SelfDTaught"
"4","Workshops and Bootcamps","Faculty Issues: Expertise/training",43,146,29.4520547945205,231,0.186147186147186,"Workshops_and_Bootcamps"
"5","Formal Training","Faculty Issues: Time",12,72,16.6666666666667,249,0.0481927710843374,"Formal_Training"
"6","No Training","Faculty Issues: Time",3,72,4.16666666666667,103,0.029126213592233,"No_Training"
"7","Self Taught","Faculty Issues: Time",37,72,51.3888888888889,469,0.0788912579957356,"SelfDTaught"
"8","Workshops and Bootcamps","Faculty Issues: Time",20,72,27.7777777777778,231,0.0865800865800866,"Workshops_and_Bootcamps"
"9","Formal Training","Faculty Issues: Too few faculty",11,43,25.5813953488372,249,0.0441767068273092,"Formal_Training"
"10","No Training","Faculty Issues: Too few faculty",2,43,4.65116279069767,103,0.0194174757281553,"No_Training"
"11","Self Taught","Faculty Issues: Too few faculty",21,43,48.8372093023256,469,0.0447761194029851,"SelfDTaught"
"12","Workshops and Bootcamps","Faculty Issues: Too few faculty",9,43,20.9302325581395,231,0.038961038961039,"Workshops_and_Bootcamps"
"13","Formal Training","Faculty Issues: Lack of interest",6,31,19.3548387096774,249,0.0240963855421687,"Formal_Training"
"14","No Training","Faculty Issues: Lack of interest",2,31,6.45161290322581,103,0.0194174757281553,"No_Training"
"15","Self Taught","Faculty Issues: Lack of interest",13,31,41.9354838709677,469,0.0277185501066098,"SelfDTaught"
"16","Workshops and Bootcamps","Faculty Issues: Lack of interest",10,31,32.258064516129,231,0.0432900432900433,"Workshops_and_Bootcamps"
"17","Formal Training","Curriculum Issues: No space",12,50,24,249,0.0481927710843374,"Formal_Training"
"18","No Training","Curriculum Issues: No space",3,50,6,103,0.029126213592233,"No_Training"
"19","Self Taught","Curriculum Issues: No space",25,50,50,469,0.0533049040511727,"SelfDTaught"
"20","Workshops and Bootcamps","Curriculum Issues: No space",10,50,20,231,0.0432900432900433,"Workshops_and_Bootcamps"
"21","Formal Training","Curriculum Issues: Incompatible with current curriculum",5,26,19.2307692307692,249,0.0200803212851406,"Formal_Training"
"22","No Training","Curriculum Issues: Incompatible with current curriculum",1,26,3.84615384615385,103,0.00970873786407767,"No_Training"
"23","Self Taught","Curriculum Issues: Incompatible with current curriculum",14,26,53.8461538461538,469,0.0298507462686567,"SelfDTaught"
"24","Workshops and Bootcamps","Curriculum Issues: Incompatible with current curriculum",6,26,23.0769230769231,231,0.025974025974026,"Workshops_and_Bootcamps"
"25","Formal Training","Curriculum Issues: Integration needed at every level",4,22,18.1818181818182,249,0.0160642570281124,"Formal_Training"
"26","No Training","Curriculum Issues: Integration needed at every level",2,22,9.09090909090909,103,0.0194174757281553,"No_Training"
"27","Self Taught","Curriculum Issues: Integration needed at every level",8,22,36.3636363636364,469,0.0170575692963753,"SelfDTaught"
"28","Workshops and Bootcamps","Curriculum Issues: Integration needed at every level",8,22,36.3636363636364,231,0.0346320346320346,"Workshops_and_Bootcamps"
"29","Formal Training","Curriculum Issues: Bioinformatics curriculum is under development",7,18,38.8888888888889,249,0.0281124497991968,"Formal_Training"
"30","No Training","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,103,0.00970873786407767,"No_Training"
"31","Self Taught","Curriculum Issues: Bioinformatics curriculum is under development",6,18,33.3333333333333,469,0.0127931769722814,"SelfDTaught"
"32","Workshops and Bootcamps","Curriculum Issues: Bioinformatics curriculum is under development",4,18,22.2222222222222,231,0.0173160173160173,"Workshops_and_Bootcamps"
"33","Formal Training","Curriculum Issues: Not required for life sci/pre-med majors",3,13,23.0769230769231,249,0.0120481927710843,"Formal_Training"
"34","No Training","Curriculum Issues: Not required for life sci/pre-med majors",0,13,0,103,0,"No_Training"
"35","Self Taught","Curriculum Issues: Not required for life sci/pre-med majors",5,13,38.4615384615385,469,0.0106609808102345,"SelfDTaught"
"36","Workshops and Bootcamps","Curriculum Issues: Not required for life sci/pre-med majors",5,13,38.4615384615385,231,0.0216450216450216,"Workshops_and_Bootcamps"
"37","Formal Training","Curriculum Issues: Class size",0,4,0,249,0,"Formal_Training"
"38","No Training","Curriculum Issues: Class size",1,4,25,103,0.00970873786407767,"No_Training"
"39","Self Taught","Curriculum Issues: Class size",1,4,25,469,0.00213219616204691,"SelfDTaught"
"40","Workshops and Bootcamps","Curriculum Issues: Class size",2,4,50,231,0.00865800865800866,"Workshops_and_Bootcamps"
"41","Formal Training","Curriculum Issues: Too few seats",0,3,0,249,0,"Formal_Training"
"42","No Training","Curriculum Issues: Too few seats",0,3,0,103,0,"No_Training"
"43","Self Taught","Curriculum Issues: Too few seats",3,3,100,469,0.00639658848614072,"SelfDTaught"
"44","Workshops and Bootcamps","Curriculum Issues: Too few seats",0,3,0,231,0,"Workshops_and_Bootcamps"
"45","Formal Training","Student Issues: Lack of interest",9,38,23.6842105263158,249,0.036144578313253,"Formal_Training"
"46","No Training","Student Issues: Lack of interest",2,38,5.26315789473684,103,0.0194174757281553,"No_Training"
"47","Self Taught","Student Issues: Lack of interest",13,38,34.2105263157895,469,0.0277185501066098,"SelfDTaught"
"48","Workshops and Bootcamps","Student Issues: Lack of interest",14,38,36.8421052631579,231,0.0606060606060606,"Workshops_and_Bootcamps"
"49","Formal Training","Student Issues: Background knowledge",8,30,26.6666666666667,249,0.0321285140562249,"Formal_Training"
"50","No Training","Student Issues: Background knowledge",2,30,6.66666666666667,103,0.0194174757281553,"No_Training"
"51","Self Taught","Student Issues: Background knowledge",8,30,26.6666666666667,469,0.0170575692963753,"SelfDTaught"
"52","Workshops and Bootcamps","Student Issues: Background knowledge",12,30,40,231,0.051948051948052,"Workshops_and_Bootcamps"
"53","Formal Training","Institutional: Institutional inertia",9,25,36,249,0.036144578313253,"Formal_Training"
"54","No Training","Institutional: Institutional inertia",3,25,12,103,0.029126213592233,"No_Training"
"55","Self Taught","Institutional: Institutional inertia",9,25,36,469,0.0191897654584222,"SelfDTaught"
"56","Workshops and Bootcamps","Institutional: Institutional inertia",4,25,16,231,0.0173160173160173,"Workshops_and_Bootcamps"
"57","Formal Training","Institutional: Inter-departmental cooperation",3,15,20,249,0.0120481927710843,"Formal_Training"
"58","No Training","Institutional: Inter-departmental cooperation",0,15,0,103,0,"No_Training"
"59","Self Taught","Institutional: Inter-departmental cooperation",5,15,33.3333333333333,469,0.0106609808102345,"SelfDTaught"
"60","Workshops and Bootcamps","Institutional: Inter-departmental cooperation",7,15,46.6666666666667,231,0.0303030303030303,"Workshops_and_Bootcamps"
"61","Formal Training","Institutional: IT support",0,7,0,249,0,"Formal_Training"
"62","No Training","Institutional: IT support",1,7,14.2857142857143,103,0.00970873786407767,"No_Training"
"63","Self Taught","Institutional: IT support",4,7,57.1428571428571,469,0.00852878464818763,"SelfDTaught"
"64","Workshops and Bootcamps","Institutional: IT support",2,7,28.5714285714286,231,0.00865800865800866,"Workshops_and_Bootcamps"
"65","Formal Training","Institutional: State regulation",2,2,100,249,0.00803212851405622,"Formal_Training"
"66","No Training","Institutional: State regulation",0,2,0,103,0,"No_Training"
"67","Self Taught","Institutional: State regulation",0,2,0,469,0,"SelfDTaught"
"68","Workshops and Bootcamps","Institutional: State regulation",0,2,0,231,0,"Workshops_and_Bootcamps"
"69","Formal Training","Resource Issues: Funding",6,25,24,249,0.0240963855421687,"Formal_Training"
"70","No Training","Resource Issues: Funding",3,25,12,103,0.029126213592233,"No_Training"
"71","Self Taught","Resource Issues: Funding",11,25,44,469,0.023454157782516,"SelfDTaught"
"72","Workshops and Bootcamps","Resource Issues: Funding",5,25,20,231,0.0216450216450216,"Workshops_and_Bootcamps"
"73","Formal Training","Resource Issues: Access to software",2,10,20,249,0.00803212851405622,"Formal_Training"
"74","No Training","Resource Issues: Access to software",1,10,10,103,0.00970873786407767,"No_Training"
"75","Self Taught","Resource Issues: Access to software",5,10,50,469,0.0106609808102345,"SelfDTaught"
"76","Workshops and Bootcamps","Resource Issues: Access to software",2,10,20,231,0.00865800865800866,"Workshops_and_Bootcamps"
"77","Formal Training","Resource Issues: Access to bioinformatics lesson plans/curricula",0,4,0,249,0,"Formal_Training"
