"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Faculty Issues: Expertise/training","20","18","65","43"
"Faculty Issues: Time","12"," 3","37","20"
"Faculty Issues: Too few faculty","11"," 2","21"," 9"
"Faculty Issues: Lack of interest"," 6"," 2","13","10"
"Curriculum Issues: No space","12"," 3","25","10"
"Curriculum Issues: Incompatible with current curriculum"," 5"," 1","14"," 6"
"Curriculum Issues: Integration needed at every level","4","2","8","8"
"Curriculum Issues: Bioinformatics curriculum is under development","7","1","6","4"
"Curriculum Issues: Not required for life sci/pre-med majors","3","0","5","5"
"Curriculum Issues: Class size","0","1","1","2"
"Curriculum Issues: Too few seats","0","0","3","0"
"Student Issues: Lack of interest"," 9"," 2","13","14"
"Student Issues: Background knowledge"," 8"," 2"," 8","12"
"Institutional: Institutional inertia","9","3","9","4"
"Institutional: Inter-departmental cooperation","3","0","5","7"
"Institutional: IT support","0","1","4","2"
"Institutional: State regulation","2","0","0","0"
"Resource Issues: Funding"," 6"," 3","11"," 5"
"Resource Issues: Access to software","2","1","5","2"
"Resource Issues: Access to bioinformatics lesson plans/curricula","0","1","1","2"
"Facilities: Access to computer(s)/labs","1","1","8","9"
"Facilities: Servers","0","0","2","1"
