"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_no_training_experience","Faculty Issues: Expertise/training",5,28,17.8571428571429,103,0.0485436893203883,"No_Training"
"2","2_No_formal_training_self_taught","Faculty Issues: Expertise/training",12,28,42.8571428571429,469,0.0255863539445629,"SelfDtaught"
"3","3_short_workshop","Faculty Issues: Expertise/training",9,28,32.1428571428571,231,0.038961038961039,"Short_workshops"
"4","4_some_undergraduate_courses","Faculty Issues: Expertise/training",1,28,3.57142857142857,31,0.032258064516129,"Some_undergraduate_coursework"
"5","6_undergraduate_certificate","Faculty Issues: Expertise/training",0,28,0,5,0,"Undergraduate_certificate"
"6","7_undergraduate_degree","Faculty Issues: Expertise/training",0,28,0,10,0,"Undergraduate_degree"
"7","8_post_graduate_degree","Faculty Issues: Expertise/training",1,28,3.57142857142857,148,0.00675675675675676,"PostDgraduate_certificate"
"8","9_graduate.course_or_degree","Faculty Issues: Expertise/training",0,28,0,55,0,"Graduate_course_or_degree"
"9","1_no_training_experience","Faculty Issues: Time",0,8,0,103,0,"No_Training"
"10","2_No_formal_training_self_taught","Faculty Issues: Time",4,8,50,469,0.00852878464818763,"SelfDtaught"
"11","3_short_workshop","Faculty Issues: Time",1,8,12.5,231,0.00432900432900433,"Short_workshops"
"12","4_some_undergraduate_courses","Faculty Issues: Time",0,8,0,31,0,"Some_undergraduate_coursework"
"13","6_undergraduate_certificate","Faculty Issues: Time",0,8,0,5,0,"Undergraduate_certificate"
"14","7_undergraduate_degree","Faculty Issues: Time",0,8,0,10,0,"Undergraduate_degree"
"15","8_post_graduate_degree","Faculty Issues: Time",2,8,25,148,0.0135135135135135,"PostDgraduate_certificate"
"16","9_graduate.course_or_degree","Faculty Issues: Time",1,8,12.5,55,0.0181818181818182,"Graduate_course_or_degree"
"17","1_no_training_experience","Faculty Issues: No interest in topic",0,1,0,103,0,"No_Training"
"18","2_No_formal_training_self_taught","Faculty Issues: No interest in topic",1,1,100,469,0.00213219616204691,"SelfDtaught"
"19","3_short_workshop","Faculty Issues: No interest in topic",0,1,0,231,0,"Short_workshops"
"20","4_some_undergraduate_courses","Faculty Issues: No interest in topic",0,1,0,31,0,"Some_undergraduate_coursework"
"21","6_undergraduate_certificate","Faculty Issues: No interest in topic",0,1,0,5,0,"Undergraduate_certificate"
"22","7_undergraduate_degree","Faculty Issues: No interest in topic",0,1,0,10,0,"Undergraduate_degree"
"23","8_post_graduate_degree","Faculty Issues: No interest in topic",0,1,0,148,0,"PostDgraduate_certificate"
"24","9_graduate.course_or_degree","Faculty Issues: No interest in topic",0,1,0,55,0,"Graduate_course_or_degree"
"25","1_no_training_experience","Faculty Issues: No comp-sci faculty",0,1,0,103,0,"No_Training"
"26","2_No_formal_training_self_taught","Faculty Issues: No comp-sci faculty",0,1,0,469,0,"SelfDtaught"
"27","3_short_workshop","Faculty Issues: No comp-sci faculty",0,1,0,231,0,"Short_workshops"
