"","No_Training","SelfDtaught","Short_workshops","Some_undergraduate_coursework","Undergraduate_certificate","Undergraduate_degree","PostDgraduate_certificate","Graduate_course_or_degree"
"Faculty Issues: Expertise/training"," 5"," 9"," 1"," 0"," 0"," 1"," 0","12"
"Faculty Issues: Time","0","1","0","0","0","2","1","4"
"Faculty Issues: No interest in topic","0","0","0","0","0","0","0","1"
"Faculty Issues: No comp-sci faculty","0","0","0","0","0","1","0","0"
"Facilities Issues: Access to computer labs","17","48"," 5"," 0"," 3","23"," 5","61"
"Facilities Issues: Inadaquate computers"," 1"," 9"," 2"," 0"," 0"," 3"," 1","10"
"Facilities Issues: Access to servers","0","4","0","0","0","1","0","6"
"Facilities Issues: Access to internet","0","4","0","0","1","5","0","5"
"Resource Issues: Access to operating systems"," 2","19"," 1"," 1"," 0"," 8"," 3","19"
"Resource Issues: Apropriate software"," 1","13"," 0"," 0"," 0"," 7"," 6","17"
"Resource Issues: Access to high-performance computing"," 5","23"," 1"," 0"," 1"," 9"," 3","24"
"Resource Issues: Funding"," 0"," 4"," 1"," 0"," 1"," 2"," 0","13"
"Institutional Issues: Access to IT support"," 5","52"," 4"," 1"," 1","16"," 7","41"
"Institutional Issues: Subscriptions/licenses","0","1","0","0","0","1","0","1"
"Institutional Issues: No support from comp-sci faculty","0","0","0","0","0","1","0","3"
"Student Issues: Access to software off-campus","1","2","2","0","0","1","0","4"
"Student Issues: Basic computing knowledge","0","1","1","0","0","2","0","2"
"Student Issues: Access to computers Off-campus","2","1","2","0","0","1","0","6"
"Student Issues: No interest in bioinformatics","0","0","0","0","0","0","0","0"
"Curriculum Issues: New program development required","1","2","0","0","0","0","0","1"
"Curriculum Issues: Class size","1","0","0","0","0","1","0","1"
"Curriculum Issues: Access to bioinformatics lesson plans","1","0","0","0","0","0","0","1"
