Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
No Training,Facilities Issues: Access to computer labs,17.0,162.0,10.493827160493826,103.0,0.1650485436893204,No_Training,17.0,86.0,0.0586102379899857,0.071691214923999,0.1768810743078445,0.1532160130707963
Self Taught,Facilities Issues: Access to computer labs,61.0,162.0,37.65432098765432,469.0,0.1300639658848614,SelfDTaught,61.0,408.0,0.0586102379899857,0.030442746129866635,0.13402347017893787,0.12610446159078495
Workshops and Bootcamps,Facilities Issues: Access to computer labs,48.0,162.0,29.629629629629626,231.0,0.2077922077922078,Workshops_and_Bootcamps,48.0,183.0,0.0586102379899857,0.05232102996931513,0.21866411012349407,0.19692030546092154
Formal Training,Facilities Issues: Access to computer labs,36.0,162.0,22.22222222222222,249.0,0.14457831325301204,Formal_Training,36.0,213.0,0.0586102379899857,0.043680753607500004,0.15089360293120482,0.13826302357481926
No Training,Resource Issues: Access to high-performance computing,5.0,66.0,7.575757575757576,103.0,0.04854368932038835,No_Training,5.0,98.0,0.07423220526886436,0.0415040324517794,0.05055844817727084,0.046528930463505855
Self Taught,Resource Issues: Access to high-performance computing,24.0,66.0,36.36363636363637,469.0,0.0511727078891258,SelfDTaught,24.0,445.0,0.07423220526886436,0.019942263635025347,0.052193207520768885,0.05015220825748271
Workshops and Bootcamps,Resource Issues: Access to high-performance computing,23.0,66.0,34.84848484848485,231.0,0.09956709956709957,Workshops_and_Bootcamps,23.0,208.0,0.07423220526886436,0.038612303100263694,0.10341161459439856,0.09572258453980058
Formal Training,Resource Issues: Access to high-performance computing,14.0,66.0,21.21212121212121,249.0,0.05622489959839357,Formal_Training,14.0,235.0,0.07423220526886436,0.02861192113850055,0.05783360199172292,0.05461619720506423
No Training,Institutional Issues: Access to IT support,5.0,127.0,3.937007874015748,103.0,0.04854368932038835,No_Training,5.0,98.0,2.2804266779348274e-7,0.0415040324517794,0.05055844817727084,0.046528930463505855
Self Taught,Institutional Issues: Access to IT support,41.0,127.0,32.28346456692913,469.0,0.08742004264392324,SelfDTaught,41.0,428.0,2.2804266779348274e-7,0.025562459649412977,0.08965471395655848,0.08518537133128799
Workshops and Bootcamps,Institutional Issues: Access to IT support,52.0,127.0,40.94488188976378,231.0,0.22510822510822512,Workshops_and_Bootcamps,52.0,179.0,2.2804266779348274e-7,0.05385900283797454,0.23723232964318042,0.21298412057326982
Formal Training,Institutional Issues: Access to IT support,29.0,127.0,22.83464566929134,249.0,0.11646586345381527,Formal_Training,29.0,220.0,2.2804266779348274e-7,0.039843676906732614,0.12110629168793272,0.11182543521969782
