"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","No Training","Faculty Issues: Expertise/training",5,28,17.8571428571429,103,0.0485436893203883,"No_Training"
"2","Self Taught","Faculty Issues: Expertise/training",12,28,42.8571428571429,469,0.0255863539445629,"SelfDTaught"
"3","Workshops and Bootcamps","Faculty Issues: Expertise/training",9,28,32.1428571428571,231,0.038961038961039,"Workshops_and_Bootcamps"
"4","Formal Training","Faculty Issues: Expertise/training",2,28,7.14285714285714,249,0.00803212851405622,"Formal_Training"
"5","No Training","Faculty Issues: Time",0,8,0,103,0,"No_Training"
"6","Self Taught","Faculty Issues: Time",4,8,50,469,0.00852878464818763,"SelfDTaught"
"7","Workshops and Bootcamps","Faculty Issues: Time",1,8,12.5,231,0.00432900432900433,"Workshops_and_Bootcamps"
"8","Formal Training","Faculty Issues: Time",3,8,37.5,249,0.0120481927710843,"Formal_Training"
"9","No Training","Faculty Issues: No interest in topic",0,1,0,103,0,"No_Training"
"10","Self Taught","Faculty Issues: No interest in topic",1,1,100,469,0.00213219616204691,"SelfDTaught"
"11","Workshops and Bootcamps","Faculty Issues: No interest in topic",0,1,0,231,0,"Workshops_and_Bootcamps"
"12","Formal Training","Faculty Issues: No interest in topic",0,1,0,249,0,"Formal_Training"
"13","No Training","Faculty Issues: No comp-sci faculty",0,1,0,103,0,"No_Training"
"14","Self Taught","Faculty Issues: No comp-sci faculty",0,1,0,469,0,"SelfDTaught"
"15","Workshops and Bootcamps","Faculty Issues: No comp-sci faculty",0,1,0,231,0,"Workshops_and_Bootcamps"
"16","Formal Training","Faculty Issues: No comp-sci faculty",1,1,100,249,0.00401606425702811,"Formal_Training"
"17","No Training","Facilities Issues: Access to computer labs",17,162,10.4938271604938,103,0.16504854368932,"No_Training"
"18","Self Taught","Facilities Issues: Access to computer labs",61,162,37.6543209876543,469,0.130063965884861,"SelfDTaught"
"19","Workshops and Bootcamps","Facilities Issues: Access to computer labs",48,162,29.6296296296296,231,0.207792207792208,"Workshops_and_Bootcamps"
