"","Formal_Training","No_Training","SelfDTaught","Workshops_and_Bootcamps"
"Faculty Issues: Expertise/training"," 2"," 5","12"," 9"
"Faculty Issues: Time","3","0","4","1"
"Faculty Issues: No interest in topic","0","0","1","0"
"Faculty Issues: No comp-sci faculty","1","0","0","0"
"Facilities Issues: Access to computer labs","36","17","61","48"
"Facilities Issues: Inadaquate computers"," 6"," 1","10"," 9"
"Facilities Issues: Access to servers","1","0","6","4"
"Facilities Issues: Access to internet","6","0","5","4"
"Resource Issues: Access to operating systems","13"," 2","19","19"
"Resource Issues: Apropriate software","13"," 1","17","13"
"Resource Issues: Access to high-performance computing","14"," 5","24","23"
"Resource Issues: Funding"," 4"," 0","13"," 4"
"Institutional Issues: Access to IT support","29"," 5","41","52"
"Institutional Issues: Subscriptions/licenses","1","0","1","1"
"Institutional Issues: No support from comp-sci faculty","1","0","3","0"
"Student Issues: Access to software off-campus","3","1","4","2"
"Student Issues: Basic computing knowledge","3","0","2","1"
"Student Issues: Access to computers Off-campus","3","2","6","1"
"Student Issues: No interest in bioinformatics","0","0","0","0"
"Curriculum Issues: New program development required","0","1","1","2"
"Curriculum Issues: Class size","1","1","1","0"
"Curriculum Issues: Access to bioinformatics lesson plans","0","1","1","0"
